;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909499024;20.10.2016;3M NEW VENTURES;RECIPROCAL LABS CORPORATION;US;3845 / 7372 / 8731;Minority stake unknown %
2.;1909308448;13.11.2015;3M NEW VENTURES;VARENTEC INC.;US;3612 / 7372;Minority stake unknown %
3.;1909297219;14.10.2015;3M NEW VENTURES;IMPEL NEUROPHARMA INC.;US;3841 / 8731;Minority stake unknown %
4.;1909138120;25.08.2014;3M NEW VENTURES;SMART ENERGY INSTRUMENTS INC.;CA;3823;Minority stake unknown %
5.;1601415070;26.10.2012;3M NEW VENTURES;MERSIVE TECHNOLOGIES INC.;US;7371 / 7372;Minority stake unknown %
6.;1601151253;15.01.2010;3M NEW VENTURES;ENERGY INC.;US;3829;Minority stake unknown %
7.;1601160106;12.02.2010;3M NEW VENTURES;MAMA SUSTAINABLE INCUBATION AG;DE;7389;Minority stake unknown %
8.;1601221160;07.10.2010;3M NEW VENTURES;PRINTECHNOLOGICS GMBH;DE;7371;Minority stake unknown %
9.;1601223751;21.10.2010;3M NEW VENTURES;PERCEPTIVE PIXEL INC.;US;3575 / 7371 / 7379 / 8299;Minority stake unknown %
10.;1601254255;10.03.2011;3M NEW VENTURES;MOTIONID TECHNOLOGIES AG;DE;7371;Minority stake unknown %
11.;1601271398;17.05.2011;3M NEW VENTURES;GONANO TECHNOLOGIES INC.;US;8731;Minority stake unknown %
12.;1601273474;24.05.2011;3M NEW VENTURES;ECOVATIVE DESIGN LLC;US;3086 / 3089 / 5961 / 5999 / 8731;Minority stake unknown %
13.;1601275256;31.05.2011;3M NEW VENTURES;TXTR GMBH;DE;5942 / 5961 / 7371 / 7372;Minority stake unknown %
14.;1601301274;12.09.2011;3M NEW VENTURES;PIXEL QI CORPORATION;US;3679 / 8731;Minority stake unknown %
15.;1601336316;23.01.2012;3M NEW VENTURES;HYDRONOVATION INC.;US;3589 / 3599 / 3634 / 3635 / 3639;Minority stake unknown %
16.;1601388825;20.07.2012;3M NEW VENTURES;7AC TECHNOLOGIES INC.;US;3585;Minority stake unknown %
17.;1601427014;26.11.2012;3M NEW VENTURES;VOCALZOOM SYSTEMS LTD;IL;3651;Minority stake unknown %
18.;1909031662;16.10.2013;3M NEW VENTURES;TAKADU LTD;IL;7374;Minority stake
19.;1601361749;16.04.2012;3M NEW VENTURES;ZEPHYR TECHNOLOGY CORPORATION;US;3575 / 3669;Minority stake unknown %
20.;1909185131;07.01.2015;3M NEW VENTURES;VOCALZOOM SYSTEMS LTD;IL;3651;Minority stake unknown %
