;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601203774;15.07.2010;ABB TECHNOLOGY VENTURES LTD;TRILLIANT INC.;US;7371
2.;1601328523;14.12.2011;ABB TECHNOLOGY VENTURES LTD;GREENVOLTS INC.;US;1711 / 4911
3.;1909463141;18.09.2017;ABB TECHNOLOGY VENTURES LTD;CAMBRIDGE MEDICAL ROBOTICS LTD;GB;3841 / 8731
4.;1941010209;05.12.2017;ABB TECHNOLOGY VENTURES LTD;KESPRY INC.;US;7374
5.;1941076924;02.05.2018;ABB TECHNOLOGY VENTURES LTD;SOFT ROBOTICS INC.;US;3559 / 7371 / 8731
6.;1941021180;08.01.2018;ABB TECHNOLOGY VENTURES LTD;ELEMENT ANALYTICS INC.;US;7374
7.;1941118311;23.07.2018;ABB TECHNOLOGY VENTURES LTD;MINESENSE TECHNOLOGIES LTD;CA;7374
8.;1601230204;24.11.2010;ABB TECHNOLOGY VENTURES LTD;AQUAMARINE POWER LTD;GB;1623 / 4911 / 8731
9.;1909547492;03.08.2017;ABB TECHNOLOGY VENTURES LTD;ENBALA POWER NETWORKS LTD;CA;7374
10.;1941056146;02.05.2017;ABB TECHNOLOGY VENTURES LTD;BONSAI AI INC.;US;7374
11.;1601203686;20.09.2010;ABB TECHNOLOGY VENTURES LTD;POWER ASSURE INC.;US;7371
12.;1601433547;13.12.2012;ABB TECHNOLOGY VENTURES LTD;SCOTRENEWABLES TIDAL POWER LTD;GB;8731
13.;1601456361;13.03.2013;ABB TECHNOLOGY VENTURES LTD;SCOTRENEWABLES TIDAL POWER LTD;GB;8731
14.;1909165300;04.11.2014;ABB TECHNOLOGY VENTURES LTD;VICARIOUS FPC INC.;US;7371 / 7372
15.;1601303563;27.09.2011;ABB TECHNOLOGY VENTURES LTD;AQUAMARINE POWER LTD;GB;1623 / 4911 / 8731
16.;1909500938;25.10.2016;ABB TECHNOLOGY VENTURES LTD;POINTGRAB LTD;IL;7372
17.;1601468985;25.04.2013;ABB TECHNOLOGY VENTURES LTD;ROMO WIND HOLDING AG;CH;3823 / 8711
18.;1601363524;04.04.2012;ABB TECHNOLOGY VENTURES LTD;TAKADU LTD;IL;7374
19.;1909321278;15.12.2015;ABB TECHNOLOGY VENTURES LTD;POINTGRAB LTD;IL;7372
20.;1601274355;12.05.2011;ABB TECHNOLOGY VENTURES LTD;VALIDUS DC SYSTEMS LLC;US;3679
21.;1909028522;07.10.2013;ABB TECHNOLOGY VENTURES LTD;GRABIT INC.;US;3569 / 8731
22.;1909080184;05.03.2014;ABB TECHNOLOGY VENTURES LTD;PERSIMMON TECHNOLOGIES CORPORATION;US;3589 / 3599 / 8731
23.;1943038367;31.05.2018;ABB TECHNOLOGY VENTURES LTD;STELLAPPS TECHNOLOGIES PVT LTD;IN;7371 / 7372
