;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1941115242;27.07.2018;ABBOTT BIOTECH VENTURES INC.;ALECTOR LLC;US;8731
2.;1941119719;10.08.2018;ABBOTT BIOTECH VENTURES INC.;ARTIOS PHARMA LTD;GB;8731
3.;1941100137;27.06.2018;ABBOTT BIOTECH VENTURES INC.;CARISMA THERAPEUTICS INC.;US;8731
4.;1909456480;30.06.2016;ABBOTT BIOTECH VENTURES INC.;MORPHIC THERAPEUTICS;US;2834
5.;1941014193;15.12.2017;ABBOTT BIOTECH VENTURES INC.;JNANA THERAPEUTICS INC.;US;8731
6.;1909637296;04.10.2017;ABBOTT BIOTECH VENTURES INC.;PALLEON PHARMACEUTICALS INC.;US;2834 / 8731
7.;1909323856;22.12.2015;ABBOTT BIOTECH VENTURES INC.;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731
8.;1601299991;13.09.2011;ABBOTT BIOTECH VENTURES INC.;AM-PHARMA BV;NL;8731
9.;1909608583;24.07.2017;ABBOTT BIOTECH VENTURES INC.;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731
10.;1909487382;21.09.2016;ABBOTT BIOTECH VENTURES INC.;ARTIOS PHARMA LTD;GB;8731
11.;1601307228;04.10.2011;ABBOTT BIOTECH VENTURES INC.;CREABILIS SA;LU;8731
12.;1909609181;25.07.2017;ABBOTT BIOTECH VENTURES INC.;RODEO THERAPEUTICS CORPORATION;US;8731
13.;1943051754;14.08.2018;ABBOTT BIOTECH VENTURES INC.;PARAGEN BIO PTY LTD;AU;2833
14.;1601327641;31.07.2013;ABBOTT BIOTECH VENTURES INC.;AURASENSE THERAPEUTICS LLC;US;2834 / 7371 / 8731
15.;1601330023;04.01.2012;ABBOTT BIOTECH VENTURES INC.;NEUROGENETIC PHARMACEUTICALS INC.;US;2834 / 8731
16.;1909590820;12.06.2017;ABBOTT BIOTECH VENTURES INC.;CARMA THERAPEUTICS INC.;US;8731
