;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941115242;27.07.2018;ABBVIE BIOTECH VENTURES INC.;ALECTOR LLC;US;8731;Minority stake unknown %
2.;1941119719;10.08.2018;ABBVIE BIOTECH VENTURES INC.;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
3.;1941100137;27.06.2018;ABBVIE BIOTECH VENTURES INC.;CARISMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
4.;1909456480;30.06.2016;ABBVIE BIOTECH VENTURES INC.;MORPHIC THERAPEUTICS;US;2834;Minority stake unknown %
5.;1941014193;15.12.2017;ABBVIE BIOTECH VENTURES INC.;JNANA THERAPEUTICS INC.;US;8731;Minority stake unknown %
6.;1909637296;04.10.2017;ABBVIE BIOTECH VENTURES INC.;PALLEON PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
7.;1909323856;22.12.2015;ABBVIE BIOTECH VENTURES INC.;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
8.;1909608583;24.07.2017;ABBVIE BIOTECH VENTURES INC.;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
9.;1909487382;21.09.2016;ABBVIE BIOTECH VENTURES INC.;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
10.;1601307228;04.10.2011;ABBVIE BIOTECH VENTURES INC.;CREABILIS SA;LU;8731;Minority stake unknown %
11.;1909609181;25.07.2017;ABBVIE BIOTECH VENTURES INC.;RODEO THERAPEUTICS CORPORATION;US;8731;Minority stake unknown %
12.;1943051754;14.08.2018;ABBVIE BIOTECH VENTURES INC.;PARAGEN BIO PTY LTD;AU;2833;Minority stake unknown %
13.;1601327641;31.07.2013;ABBVIE BIOTECH VENTURES INC.;AURASENSE THERAPEUTICS LLC;US;2834 / 7371 / 8731;Minority stake unknown %
14.;1601330023;04.01.2012;ABBVIE BIOTECH VENTURES INC.;NEUROGENETIC PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
15.;1909590820;12.06.2017;ABBVIE BIOTECH VENTURES INC.;CARMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
