;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601125646;23.06.2008;ADOBE VENTURES INC.;ARCOT SYSTEMS INC.;US;7371
2.;1601134467;12.02.2001;ADOBE VENTURES INC.;SHUTTERFLY INC.;US;5961 / 7374
3.;602462;04.12.2007;ADOBE VENTURES INC.;TUVOX INC.;US;7371 / 7372
4.;1601128293;02.01.2002;ADOBE VENTURES INC.;COVALENT TECHNOLOGIES;US;7371
5.;274613;16.01.2001;ADOBE VENTURES INC.;KINECTA CORPORATION;US;7371
6.;117649;13.11.2001;ADOBE VENTURES INC.;HAHT COMMERCE INC.;US;7334 / 7371 / 7372 / 7389 / 8748
7.;135262;28.10.2002;ADOBE VENTURES INC.;KONTIKI;US;7371 / 7383 / 8231 / 8999
8.;195798;01.02.2000;ADOBE VENTURES INC.;PICTUREIQ CORPORATION;US;7371 / 7372
9.;291558;08.11.2004;ADOBE VENTURES INC.;TUVOX INC.;US;7371 / 7372
10.;1601116249;22.09.2009;ADOBE VENTURES INC.;OVERSIGHT SYSTEMS INC.;US;7374
11.;1601166450;14.07.2006;ADOBE VENTURES INC.;DECISIONVIEW INC.;US;7371 / 7372 / 8731
12.;226016;16.02.2004;ADOBE VENTURES INC.;ABOVE ALL SOFTWARE INC.;US;7371 / 7372
13.;342939;10.05.2005;ADOBE VENTURES INC.;ARCOT SYSTEMS INC.;US;7371
14.;167648;19.05.2003;ADOBE VENTURES INC.;BIZ360 INC.;US;7371
15.;156704;14.09.2000;ADOBE VENTURES INC.;CARDIFF SOFTWARE INC.;US;7371 / 7372
16.;322865;01.03.2005;ADOBE VENTURES INC.;MOVARIS;US;7371
17.;300738;07.12.2004;ADOBE VENTURES INC.;KONTIKI;US;7371 / 7383 / 8231 / 8999
18.;1601101956;22.09.2004;ADOBE VENTURES INC.;OVERSIGHT SYSTEMS INC.;US;7374
19.;163202;07.02.2000;ADOBE VENTURES INC.;DIGITAL FOUNTAIN INC.;US;3661 / 5045
20.;236518;19.01.2001;ADOBE VENTURES INC.;NETCLERK INC.;US;4899 / 7322 / 7323 / 7334 / 7338 / 7389 / 8999
21.;165047;05.05.2003;ADOBE VENTURES INC.;BELLAMAX INC.;US;7384
22.;167659;12.11.2001;ADOBE VENTURES INC.;BIZ360 INC.;US;7371
23.;208349;25.11.2003;ADOBE VENTURES INC.;TUVOX INC.;US;7371 / 7372
24.;195783;09.08.2002;ADOBE VENTURES INC.;PICTUREIQ CORPORATION;US;7371 / 7372
25.;117659;08.04.2002;ADOBE VENTURES INC.;HAHT COMMERCE INC.;US;7334 / 7371 / 7372 / 7389 / 8748
26.;119931;28.04.2002;ADOBE VENTURES INC.;TUVOX INC.;US;7371 / 7372
27.;1601311487;25.10.2011;ADOBE VENTURES INC.;PLAYJAM LTD;GB;7374 / 8999
28.;1601116470;30.06.2005;ADOBE VENTURES INC.;BELLAMAX INC.;US;7384
29.;638068;31.01.2008;ADOBE VENTURES INC.;BUNCHBALL INC.;US;7371
30.;638078;30.10.2006;ADOBE VENTURES INC.;BUNCHBALL INC.;US;7371
31.;269497;09.08.2004;ADOBE VENTURES INC.;FIVE ACROSS INC.;US;7371
32.;154247;17.02.2003;ADOBE VENTURES INC.;ENGAGE INC.;US;7371 / 7372
33.;1601101935;10.12.2008;ADOBE VENTURES INC.;DECISIONVIEW INC.;US;7371 / 7372 / 8731
