;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1907019024;30.06.2013;ALIBABA CAPITAL PARTNERS;TRAVICE INC.;CN;7372
2.;1907187507;31.03.2014;ALIBABA CAPITAL PARTNERS;DUITANG INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;7374
3.;1907019031;21.04.2014;ALIBABA CAPITAL PARTNERS;TRAVICE INC.;CN;7372
4.;1907213938;09.06.2014;ALIBABA CAPITAL PARTNERS;ZHEJIANG ALOG TECHNOLOGY SUPPLY CHAIN MANAGEMENT CO., LTD;CN;4225 / 7371 / 7372 / 7374
5.;1909506202;21.08.2014;ALIBABA CAPITAL PARTNERS;HANGZHOU SHUXIONG NETWORK CO., LTD;CN;3669 / 7372 / 8742
6.;1907064520;17.09.2014;ALIBABA CAPITAL PARTNERS;BEIJING BAISHUN HUANIAN CULTURE BROADCASTING CO., LTD;CN;7372 / 7374
7.;1909194085;29.01.2015;ALIBABA CAPITAL PARTNERS;OUYA INC.;US;3942
8.;1907222421;24.08.2015;ALIBABA CAPITAL PARTNERS;HANGZHOU DT DREAM TECHNOLOGY CO., LTD;CN;7374
9.;1909279619;28.08.2015;ALIBABA CAPITAL PARTNERS;SHENGHUOBANJING (BEIJING) INFORMATION TECHNOLOGY CO., LTD;CN;7372
10.;1943027106;09.09.2015;ALIBABA CAPITAL PARTNERS;ALIBABA SPORTS GROUP;CN;7374
11.;1907106663;29.09.2015;ALIBABA CAPITAL PARTNERS;ONE 97 COMMUNICATIONS LTD;IN;7372 / 7374
12.;1943033645;23.11.2015;ALIBABA CAPITAL PARTNERS;BEIJING YUNZONG INFORMATION TECHNOLOGY CO., LTD;CN;7374 / 8742
13.;1907139235;29.01.2016;ALIBABA CAPITAL PARTNERS;SHANGHAI HUANCHENG NETWORK TECHNOLOGY CO., LTD;CN;7374
14.;1943053694;01.03.2016;ALIBABA CAPITAL PARTNERS;BANMA NETWORK TECHNOLOGY CO., LTD;CN;7371
15.;1909504271;09.05.2016;ALIBABA CAPITAL PARTNERS;LILUYOU PET INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;7372
16.;1907165949;22.07.2016;ALIBABA CAPITAL PARTNERS;SHANGHAI DIANWOBA INFORMATION TECHNOLOGY CO., LTD;CN;7372 / 7374
17.;1907170375;08.08.2016;ALIBABA CAPITAL PARTNERS;HANGZHOU XIANQU SHANGOU NETWORK TECHNOLOGY CO., LTD;CN;7372
18.;1907233925;10.08.2016;ALIBABA CAPITAL PARTNERS;HANGZHOU YAGU TECHNOLOGY CO., LTD;CN;7372 / 7374
19.;1907142425;30.09.2016;ALIBABA CAPITAL PARTNERS;GRAND LEADER TECHNOLOGY LTD;HK;7372 / 7374
20.;1907142071;01.12.2016;ALIBABA CAPITAL PARTNERS;SUZHOU AISPEECH INFORMATION TECHNOLOGY CO., LTD;CN;7373
21.;1907191313;06.01.2017;ALIBABA CAPITAL PARTNERS;MWEE (SHANGHAI) INFORMATION TECHNOLOGY CO., LTD;CN;7372
22.;1907193509;18.01.2017;ALIBABA CAPITAL PARTNERS;SHANGHAI YUNZHOU INFORMATION TECHNOLOGY CO., LTD;CN;7371 / 7372
23.;1907222423;08.06.2017;ALIBABA CAPITAL PARTNERS;HANGZHOU DT DREAM TECHNOLOGY CO., LTD;CN;7374
24.;1907224242;19.06.2017;ALIBABA CAPITAL PARTNERS;GUANGZHOU NEWSLETTER INFORMATION TECHNOLOGY CO., LTD;CN;7374
25.;1907236240;18.08.2017;ALIBABA CAPITAL PARTNERS;BEIJING CAMBRICON TECHNOLOGY CO., LTD;CN;3674 / 7371 / 7372
26.;1907238100;28.08.2017;ALIBABA CAPITAL PARTNERS;SHANGHAI QINIU INFORMATION TECHNOLOGY CO., LTD;CN;7374
27.;1907239290;06.09.2017;ALIBABA CAPITAL PARTNERS;BEIJING SHANGSHI XIAOZHONG TECHNOLOGY CO., LTD;CN;7374
28.;1907249076;01.11.2017;ALIBABA CAPITAL PARTNERS;SOUCHE HOLDINGS LTD;CN;7372 / 7374
29.;1943005455;28.11.2017;ALIBABA CAPITAL PARTNERS;BEIJING SENSETIME TECHNOLOGY DEVELOPMENT CO., LTD;CN;7371 / 7372 / 7373
30.;1943009113;26.12.2017;ALIBABA CAPITAL PARTNERS;THELAND XINYUN (SHANGHAI) E-COMMERCE CO., LTD;CN;5143 / 5961 / 7374
31.;1943009610;27.12.2017;ALIBABA CAPITAL PARTNERS;DIEJING DIGITAL TECHNOLOGY (SHANGHAI) CO., LTD;CN;7371
32.;1943010489;05.01.2018;ALIBABA CAPITAL PARTNERS;HANGZHOU MOREDIAN TECHNOLOGY CO., LTD;CN;7371 / 7372
33.;1943016138;02.02.2018;ALIBABA CAPITAL PARTNERS;ZHEJIANG GANJIE E-COMMERCE CO., LTD;CN;7374
34.;1943017575;11.02.2018;ALIBABA CAPITAL PARTNERS;BEIJING EASYHOME E-COMMERCE CO., LTD;CN;7374
35.;1907222579;13.03.2018;ALIBABA CAPITAL PARTNERS;BEIJING BIKELOCK TECHNOLOGY CO., LTD;CN;7372 / 7374
36.;1943033342;11.05.2018;ALIBABA CAPITAL PARTNERS;MWEE (SHANGHAI) INFORMATION TECHNOLOGY CO., LTD;CN;7372
37.;1943037054;31.05.2018;ALIBABA CAPITAL PARTNERS;SHENZHEN AUTHINE NETWORK TECHNOLOGY CO., LTD;CN;7372 / 7374
38.;1943036770;31.05.2018;ALIBABA CAPITAL PARTNERS;BEIJING SENSETIME TECHNOLOGY DEVELOPMENT CO., LTD;CN;7371 / 7372 / 7373
39.;1943031321;01.06.2018;ALIBABA CAPITAL PARTNERS;XINGYIN INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;5961 / 7372 / 7374
40.;1943039639;20.06.2018;ALIBABA CAPITAL PARTNERS;BEIJING CAMBRICON TECHNOLOGY CO., LTD;CN;3674 / 7371 / 7372
41.;1943015039;02.08.2018;ALIBABA CAPITAL PARTNERS;GUANGZHOU CHENGXING ZHIDONG MOTORS TECHNOLOGY CO., LTD;CN;3711 / 7371
42.;1943053941;03.09.2018;ALIBABA CAPITAL PARTNERS;SOUCHE HOLDINGS LTD;CN;7372 / 7374
43.;1943054953;06.09.2018;ALIBABA CAPITAL PARTNERS;SHENZHEN HUISHOUBAO TECHNOLOGY CO., LTD;CN;7374
44.;1943064344;19.10.2018;ALIBABA CAPITAL PARTNERS;SHENZHEN HUOLE TECHNOLOGY DEVELOPMENT CO., LTD;CN;3861
45.;1943073148;03.12.2018;ALIBABA CAPITAL PARTNERS;SHANGHAI YUNZHOU INFORMATION TECHNOLOGY CO., LTD;CN;7371 / 7372
