;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1907214612;08.09.2017;AMGEN VENTURES LLC;NEXTCODE (SHANGHAI) BIOTECHNOLOGY CO., LTD;CN;8731
2.;1941115242;27.07.2018;AMGEN VENTURES LLC;ALECTOR LLC;US;8731
3.;1941113867;26.07.2018;AMGEN VENTURES LLC;SUTRO BIOPHARMA INC.;US;2834 / 8731
4.;1601209445;05.01.2011;AMGEN VENTURES LLC;TETRALOGIC PHARMACEUTICALS CORPORATION;US;2834 / 8731
5.;1909263477;23.07.2015;AMGEN VENTURES LLC;RA PHARMACEUTICALS INC.;US;2834 / 8731
6.;452277;16.06.2006;AMGEN VENTURES LLC;VLST CORPORATION;US;2834 / 8731
7.;1909052720;10.01.2014;AMGEN VENTURES LLC;ATARA BIOTHERAPEUTICS INC.;US;8731
8.;1941011180;06.12.2017;AMGEN VENTURES LLC;OBSIDIAN THERAPEUTICS INC.;US;8731
9.;526241;25.03.2013;AMGEN VENTURES LLC;THERACLONE SCIENCES INC.;US;2834 / 8731
10.;1601470642;29.04.2013;AMGEN VENTURES LLC;OPSONA THERAPEUTICS LTD;IE;2834 / 8731
11.;441382;09.05.2006;AMGEN VENTURES LLC;AVIDIA INC.;US;2834 / 8731
12.;1909412462;08.03.2016;AMGEN VENTURES LLC;TIZONA THERAPEUTICS INC.;US;8731
13.;1909393998;20.07.2016;AMGEN VENTURES LLC;AKILI INTERACTIVE LABS INC.;US;7371 / 7372
14.;1909306232;10.11.2015;AMGEN VENTURES LLC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731
15.;1601200750;30.06.2010;AMGEN VENTURES LLC;CALISTOGA PHARMACEUTICALS INC.;US;2834 / 8731
16.;1601121174;08.12.2009;AMGEN VENTURES LLC;EPIZYME INC.;US;2834 / 8731
17.;1601229127;08.05.2012;AMGEN VENTURES LLC;SUTRO BIOPHARMA INC.;US;2834 / 8731
18.;450060;12.06.2006;AMGEN VENTURES LLC;TETRALOGIC PHARMACEUTICALS CORPORATION;US;2834 / 8731
19.;1909185685;08.01.2015;AMGEN VENTURES LLC;SURFACE ONCOLOGY INC.;US;2834 / 8731
20.;1909165940;10.11.2014;AMGEN VENTURES LLC;ZIARCO GROUP LTD;GB;2834 / 8731
21.;589064;26.10.2007;AMGEN VENTURES LLC;ALLOZYNE INC.;US;2834 / 8731
22.;1909653571;14.11.2017;AMGEN VENTURES LLC;SYAPSE INC.;US;7371 / 7372 / 7374
23.;1909647096;30.10.2017;AMGEN VENTURES LLC;KYMERA THERAPEUTICS LLC;US;8731
24.;1601075049;05.05.2009;AMGEN VENTURES LLC;CALISTOGA PHARMACEUTICALS INC.;US;2834 / 8731
25.;1601296843;30.08.2011;AMGEN VENTURES LLC;ARDELYX INC.;US;2834 / 8731
26.;1909328463;07.01.2016;AMGEN VENTURES LLC;ALECTOR LLC;US;8731
27.;1601354116;15.05.2012;AMGEN VENTURES LLC;CYTOS BIOTECHNOLOGY AG;CH;2834 / 8731
28.;341404;05.05.2005;AMGEN VENTURES LLC;AVIDIA INC.;US;2834 / 8731
29.;1601164153;16.05.2012;AMGEN VENTURES LLC;RA PHARMACEUTICALS INC.;US;2834 / 8731
30.;1909413276;10.01.2016;AMGEN VENTURES LLC;TIZONA THERAPEUTICS INC.;US;8731
31.;1601364131;27.06.2014;AMGEN VENTURES LLC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731
32.;394071;10.11.2005;AMGEN VENTURES LLC;PTC THERAPEUTICS INC.;US;2834 / 8731
33.;1909162486;31.10.2014;AMGEN VENTURES LLC;IMAGO BIOSCIENCES INC.;US;2834 / 8731
34.;1909051496;11.12.2013;AMGEN VENTURES LLC;SUTRO BIOPHARMA INC.;US;2834 / 8731
35.;1909231530;11.05.2015;AMGEN VENTURES LLC;PRECISION BIOSCIENCES INC.;US;2834 / 8731
36.;1909651092;08.11.2017;AMGEN VENTURES LLC;FORTUNA FIX INC.;CA;8731
37.;562811;03.08.2007;AMGEN VENTURES LLC;ISB ACCELERATOR CORPORATION;US;6799 / 7322 / 7323 / 7334 / 7338 / 7389 / 8731 / 8732 / 8733 / 8734 / 8742 / 8748
38.;626705;31.12.2006;AMGEN VENTURES LLC;TRINITY BIOSYSTEMS INC.;US;2834 / 8731
39.;520574;05.03.2007;AMGEN VENTURES LLC;CALISTOGA PHARMACEUTICALS INC.;US;2834 / 8731
40.;1909029243;18.11.2013;AMGEN VENTURES LLC;CYTOS BIOTECHNOLOGY AG;CH;2834 / 8731
41.;443467;16.05.2006;AMGEN VENTURES LLC;VIRON THERAPEUTICS INC.;CA;2834 / 8731
42.;550497;25.06.2007;AMGEN VENTURES LLC;ARGOLYN BIOSCIENCE INC.;US;2834 / 8731
43.;1909527616;06.01.2017;AMGEN VENTURES LLC;SITEONE THERAPEUTICS INC.;US;2834 / 8731
44.;1601411145;12.09.2008;AMGEN VENTURES LLC;SYNOVEX CORPORATION;US;2834 / 8731
