;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601274715;31.05.2011;AOL VENTURES;OPENX TECHNOLOGIES INC.;US;7371 / 7372 / 7374
2.;1601167725;11.03.2010;AOL VENTURES;BETAWORKS STUDIO LLC;US;6799
3.;1601445608;11.02.2013;AOL VENTURES;SAILTHRU INC.;US;7374
4.;1909565156;06.04.2017;AOL VENTURES;CRUNCHBASE INC.;US;7372 / 7374
5.;1909069774;06.02.2014;AOL VENTURES;VUNGLE INC.;US;7372 / 7374
6.;1601174408;05.04.2010;AOL VENTURES;BRIGHTCOVE INC.;US;7374
7.;1601224526;07.10.2010;AOL VENTURES;BITLY INC.;US;7372
8.;1601465359;16.04.2013;AOL VENTURES;SOCIALFLOW INC.;US;7372 / 7374
9.;1601301954;20.09.2011;AOL VENTURES;SAILTHRU INC.;US;7374
10.;1601026376;20.12.2011;AOL VENTURES;APPSSAVVY;US;7311 / 8742
11.;1909159342;22.10.2014;AOL VENTURES;GLAMSQUAD INC.;US;7372 / 7374
12.;1601261771;08.04.2011;AOL VENTURES;SOCIALFLOW INC.;US;7372 / 7374
13.;1909011365;15.08.2013;AOL VENTURES;VUNGLE INC.;US;7372 / 7374
14.;1909076119;25.02.2014;AOL VENTURES;SPREE COMMERCE INC.;US;7374
15.;1601321204;31.10.2011;AOL VENTURES;NEWSCRED INC.;US;7372 / 7374
16.;1601163011;31.03.2010;AOL VENTURES;PASTFUTURE INC.;US;7371 / 7374
17.;1909092685;10.04.2014;AOL VENTURES;SCOUTMOB INC.;US;7374
18.;1601210342;01.06.2010;AOL VENTURES;METAMARKETS GROUP INC.;US;7372 / 7374
19.;1941026040;21.12.2017;AOL VENTURES;SPLITTY TRAVEL LTD;IL;7374
20.;1909150193;26.09.2014;AOL VENTURES;MOVIEPASS INC.;US;7372 / 7389
21.;1601366818;02.05.2012;AOL VENTURES;VUNGLE INC.;US;7372 / 7374
22.;1601341401;08.02.2012;AOL VENTURES;TASTEMAKERX INC.;US;7374
23.;1601307425;10.10.2011;AOL VENTURES;SPREE COMMERCE INC.;US;7374
24.;1909150205;18.04.2011;AOL VENTURES;MOVIEPASS INC.;US;7372 / 7389
25.;1909482510;06.09.2016;AOL VENTURES;REACTFUL INC.;US;7374
26.;1601479708;29.05.2013;AOL VENTURES;TRACKMAVEN INC.;US;7374
27.;1601453981;07.03.2013;AOL VENTURES;TASTEMAKERX INC.;US;7374
28.;1601284978;27.06.2011;AOL VENTURES;IMPERMIUM CORPORATION;US;7374
29.;1601124934;01.09.2002;AOL VENTURES;ONECHANNEL;US;7371 / 7372
30.;1601278929;16.06.2011;AOL VENTURES;SHOPOBOT INC.;US;7374 / 8999
31.;1601288111;12.07.2011;AOL VENTURES;CRITTERCISM INC.;US;7372 / 7374
32.;1601493970;03.07.2013;AOL VENTURES;SOLVE MEDIA INC.;US;7371 / 7374
