;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601267815;10.11.2011;APPLIED VENTURES LLC;VARIAN SEMICONDUCTOR EQUIPMENT ASSOCIATES INC.;US;3559 / 3674 / 5084
2.;1601349215;05.03.2012;APPLIED VENTURES LLC;APPLIED MATERIALS INC.;US;3559 / 7372
3.;550608;23.08.2007;APPLIED VENTURES LLC;HCT SHAPING SYSTEMS SA;CH;3541 / 3542 / 3545 / 3553 / 3555 / 3556 / 3559 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
4.;440330;07.07.2006;APPLIED VENTURES LLC;APPLIED FILMS CORPORATION;US;3589 / 3599
5.;594958;31.01.2008;APPLIED VENTURES LLC;BACCINI SPA;IT;3674
6.;491454;30.03.2007;APPLIED VENTURES LLC;BROOKS SOFTWARE;US;7371 / 7372
7.;272720;14.12.2004;APPLIED VENTURES LLC;METRON TECHNOLOGY NV;NL;3674 / 7322 / 7323 / 7334 / 7338 / 7389 / 8742
8.;1601173105;03.06.2010;APPLIED VENTURES LLC;ENPHASE ENERGY INC.;US;3612 / 3822 / 7371 / 7372 / 8243
9.;1907227334;26.06.2017;APPLIED VENTURES LLC;VNI SOLUTION CO., LTD;KR;3559
10.;1601282318;28.03.2012;APPLIED VENTURES LLC;SEMPRIUS INC.;US;3674 / 3679 / 8731
11.;493191;08.05.2007;APPLIED VENTURES LLC;SOLAICX;US;3553 / 3555 / 3556 / 3559 / 3674 / 8731
12.;1909431283;26.04.2016;APPLIED VENTURES LLC;RAYVIO CORPORATION;US;3674
13.;1941147067;05.11.2018;APPLIED VENTURES LLC;SYNTIANT CORPORATION;US;3674
14.;1909602808;10.07.2017;APPLIED VENTURES LLC;INPRIA CORPORATION;US;3674 / 8731
15.;1601076411;18.05.2009;APPLIED VENTURES LLC;ENPHASE ENERGY INC.;US;3612 / 3822 / 7371 / 7372 / 8243
16.;1941029078;23.01.2018;APPLIED VENTURES LLC;ULTIVUE INC.;US;8731
17.;1601210448;17.08.2010;APPLIED VENTURES LLC;INFINITE POWER SOLUTIONS INC.;US;3691
18.;1601054414;24.02.2009;APPLIED VENTURES LLC;SAGE ELECTROCHROMICS INC.;US;3231 / 5099
19.;572324;;APPLIED VENTURES LLC;CLEAREDGE POWER INC.;US;3629 / 3699
20.;616584;23.01.2008;APPLIED VENTURES LLC;FAT SPANIEL TECHNOLOGIES INC.;US;7371 / 7372
21.;557249;17.07.2007;APPLIED VENTURES LLC;SAGE ELECTROCHROMICS INC.;US;3231 / 5099
22.;1601108078;27.08.2009;APPLIED VENTURES LLC;CLEAREDGE POWER INC.;US;3629 / 3699
23.;1601024777;08.09.2008;APPLIED VENTURES LLC;ENPHASE ENERGY INC.;US;3612 / 3822 / 7371 / 7372 / 8243
24.;1601169141;17.03.2010;APPLIED VENTURES LLC;IOSIL ENERGY CORPORATION;US;3674 / 8731
25.;1601009446;04.08.2008;APPLIED VENTURES LLC;INNOLUME GMBH;DE;3674
26.;1601034703;03.12.2008;APPLIED VENTURES LLC;INFINITE POWER SOLUTIONS INC.;US;3691
27.;1601118305;30.06.2006;APPLIED VENTURES LLC;MENARA NETWORKS INC.;US;3661
28.;1941126852;29.08.2018;APPLIED VENTURES LLC;AVEGANT CORPORATION;US;3575 / 3679
29.;1941015071;29.01.2016;APPLIED VENTURES LLC;SOLIDENERGY SYSTEMS CORPORATION;US;2834
30.;1601105238;18.08.2009;APPLIED VENTURES LLC;ADVANCED INQUIRY SYSTEMS INC.;US;3829
31.;1601155019;25.01.2010;APPLIED VENTURES LLC;CLEAREDGE POWER INC.;US;3629 / 3699
32.;1601366942;02.05.2012;APPLIED VENTURES LLC;INFINITE POWER SOLUTIONS INC.;US;3691
33.;1601300968;26.01.2012;APPLIED VENTURES LLC;MTPV LLC;US;3499 / 3674 / 8731
34.;1601176578;13.04.2010;APPLIED VENTURES LLC;LIQUAVISTA BV;NL;3661 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731
35.;1601016195;16.07.2008;APPLIED VENTURES LLC;WAKONDA TECHNOLOGIES INC.;US;3674 / 4911
36.;1909208351;10.03.2015;APPLIED VENTURES LLC;RAYVIO CORPORATION;US;3674
37.;1601029514;31.10.2008;APPLIED VENTURES LLC;KOTAKURJA PVT LTD;IN;1731 / 3674
38.;1601085589;09.06.2009;APPLIED VENTURES LLC;SEMPRIUS INC.;US;3674 / 3679 / 8731
39.;1601056901;23.07.2008;APPLIED VENTURES LLC;ACTACELL INC.;US;3692 / 8731
40.;1601101573;30.06.2008;APPLIED VENTURES LLC;ADESTO TECHNOLOGIES CORPORATION;US;3674
41.;1909055891;29.12.2013;APPLIED VENTURES LLC;INPRIA CORPORATION;US;3674 / 8731
42.;1601212214;23.08.2010;APPLIED VENTURES LLC;BT IMAGING PTY LTD;AU;3827 / 3829
43.;1601402865;12.09.2012;APPLIED VENTURES LLC;AVENTA TECHNOLOGIES INC.;US;3559
44.;90954;25.02.2002;APPLIED VENTURES LLC;ORAMIR SEMICONDUCTOR EQUIPMENT;IL;3553 / 3555 / 3556 / 3559
45.;164788;29.04.2003;APPLIED VENTURES LLC;BOXER CROSS INC.;US;3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845
46.;256115;14.06.2004;APPLIED VENTURES LLC;TORREX EQUIPMENT CORPORATION;US;3674
47.;304392;16.12.2004;APPLIED VENTURES LLC;ATMI INC'S TREATMENT SYSTEMS BUSINESS;US;3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845
48.;443647;20.07.2006;APPLIED VENTURES LLC;SOKUDO CO. LTD;JP;3559
49.;561470;01.08.2007;APPLIED VENTURES LLC;GROUP IV SEMICONDUCTOR INC.;CA;3674 / 8731
50.;570237;09.11.2007;APPLIED VENTURES LLC;BOC EDWARDS' KACHINA SEMICONDUCTOR EQUIPMENT PARTS CLEANING AND REFURBISHMENT BUSINESS;US;8711
51.;607796;06.11.2007;APPLIED VENTURES LLC;PLEXTRONICS INC.;US;2821 / 3674
52.;1601127889;26.10.2009;APPLIED VENTURES LLC;LIQUAVISTA BV;NL;3661 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731
53.;1601132436;06.11.2009;APPLIED VENTURES LLC;ADVENT SOLAR INC.'S ASSETS;US;3674 / 8731
54.;1601174925;07.04.2010;APPLIED VENTURES LLC;TESSOLVE SERVICES PVT LTD;IN;8711 / 8734
55.;1909063058;21.01.2014;APPLIED VENTURES LLC;PASSPORT SYSTEMS INC.;US;3823 / 7371 / 7372 / 8731
56.;1909487189;16.09.2016;APPLIED VENTURES LLC;NORSK TITANIUM AS;NO;3441
57.;129499;29.03.2000;APPLIED VENTURES LLC;ETEC SYSTEMS INC.;US;3674
