;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1941129116;06.09.2018;ASTELLAS VENTURE MANAGEMENT LLC;TWENTYEIGHT-SEVEN INC.;US;8731
2.;1601307804;09.04.2013;ASTELLAS VENTURE MANAGEMENT LLC;CLEAVE BIOSCIENCES INC.;US;2834 / 8731
3.;479963;28.09.2006;ASTELLAS VENTURE MANAGEMENT LLC;ATHENAGEN INC.;US;2834 / 8731
4.;1601476933;20.05.2013;ASTELLAS VENTURE MANAGEMENT LLC;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731
5.;567598;09.08.2007;ASTELLAS VENTURE MANAGEMENT LLC;NEREUS PHARMACEUTICALS INC.;US;2834 / 8731
6.;1909412462;08.03.2016;ASTELLAS VENTURE MANAGEMENT LLC;TIZONA THERAPEUTICS INC.;US;8731
7.;1601111371;14.12.2009;ASTELLAS VENTURE MANAGEMENT LLC;EVOLVA AG;CH;8731
8.;1909323856;22.12.2015;ASTELLAS VENTURE MANAGEMENT LLC;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731
9.;1601121174;08.12.2009;ASTELLAS VENTURE MANAGEMENT LLC;EPIZYME INC.;US;2834 / 8731
10.;1909608583;24.07.2017;ASTELLAS VENTURE MANAGEMENT LLC;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731
11.;1909471890;08.08.2016;ASTELLAS VENTURE MANAGEMENT LLC;CLEAVE BIOSCIENCES INC.;US;2834 / 8731
12.;1909052626;03.04.2014;ASTELLAS VENTURE MANAGEMENT LLC;CRESCENDO BIOLOGICS LTD;GB;8731
13.;1909155957;14.10.2014;ASTELLAS VENTURE MANAGEMENT LLC;BICYCLE THERAPEUTICS LTD;GB;8731
14.;1601285703;14.07.2011;ASTELLAS VENTURE MANAGEMENT LLC;VERASTEM INC.;US;2834 / 8731
15.;1601400589;05.09.2012;ASTELLAS VENTURE MANAGEMENT LLC;F2G LTD;GB;8731
16.;1601134678;16.11.2009;ASTELLAS VENTURE MANAGEMENT LLC;FATE THERAPEUTICS INC.;US;2834 / 8731
17.;371944;23.08.2005;ASTELLAS VENTURE MANAGEMENT LLC;ALBA THERAPEUTICS CORPORATION;US;2833 / 2834 / 2835 / 2836 / 8731
18.;1909413276;10.01.2016;ASTELLAS VENTURE MANAGEMENT LLC;TIZONA THERAPEUTICS INC.;US;8731
19.;1601147398;05.01.2010;ASTELLAS VENTURE MANAGEMENT LLC;SILENCE THERAPEUTICS PLC;GB;8731
20.;1909155807;14.10.2014;ASTELLAS VENTURE MANAGEMENT LLC;RAZE THERAPEUTICS INC.;US;2834 / 8731
21.;1601025831;07.01.2009;ASTELLAS VENTURE MANAGEMENT LLC;INTRADIGM CORPORATION;US;2834 / 8731
22.;1601132065;05.06.2008;ASTELLAS VENTURE MANAGEMENT LLC;COMENTIS INC.;US;8731
23.;1601198585;22.06.2010;ASTELLAS VENTURE MANAGEMENT LLC;NEREUS PHARMACEUTICALS INC.;US;2834 / 8731
24.;1601093127;07.07.2009;ASTELLAS VENTURE MANAGEMENT LLC;VIAMET PHARMACEUTICALS HOLDINGS LLC;US;2834 / 8731
25.;419160;13.02.2006;ASTELLAS VENTURE MANAGEMENT LLC;LECTUS THERAPEUTICS LTD;GB;2834 / 8731
26.;1601365967;;ASTELLAS VENTURE MANAGEMENT LLC;TELSAR PHARMA INC.;US;8731
27.;1601030724;18.08.2008;ASTELLAS VENTURE MANAGEMENT LLC;F2G LTD;GB;8731
28.;347040;24.05.2005;ASTELLAS VENTURE MANAGEMENT LLC;PROLYSIS LTD;GB;2834 / 8731
29.;430059;23.03.2006;ASTELLAS VENTURE MANAGEMENT LLC;F2G LTD;GB;8731
30.;258983;23.06.2004;ASTELLAS VENTURE MANAGEMENT LLC;FULCRUM PHARMACEUTICALS INC.;US;2834 / 8731
31.;1943047109;30.07.2018;ASTELLAS VENTURE MANAGEMENT LLC;HEARTSEED KK;JP;8731
32.;1601428572;10.12.2012;ASTELLAS VENTURE MANAGEMENT LLC;BICYCLE THERAPEUTICS LTD;GB;8731
33.;1909521152;15.12.2016;ASTELLAS VENTURE MANAGEMENT LLC;ONCORUS INC.;US;6732 / 8731
34.;1601449921;26.02.2013;ASTELLAS VENTURE MANAGEMENT LLC;DECIMMUNE THERAPEUTICS INC.;US;2836 / 8731
35.;1601218930;27.09.2010;ASTELLAS VENTURE MANAGEMENT LLC;DECIMMUNE THERAPEUTICS INC.;US;2836 / 8731
36.;228893;;ASTELLAS VENTURE MANAGEMENT LLC;REVIVICOR HOLDINGS INC.;US;8731
37.;148194;29.01.2003;ASTELLAS VENTURE MANAGEMENT LLC;APTUS PHARMACEUTICALS INC.;US;8731
38.;1909179358;16.12.2014;ASTELLAS VENTURE MANAGEMENT LLC;CRESCENDO BIOLOGICS LTD;GB;8731
