;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941094167;11.06.2018;ASTER CAPITAL EUROPE SAS;OTCLAROTY LTD;IL;7371 / 7374;Minority stake unknown %
2.;1909110454;05.06.2014;ASTER CAPITAL EUROPE SAS;AVANTIUM TECHNOLOGIES BV;NL;8731;Minority stake unknown %
3.;1601277134;09.06.2011;ASTER CAPITAL EUROPE SAS;AVANTIUM TECHNOLOGIES BV;NL;8731;Minority stake unknown %
4.;1601034013;17.11.2008;ASTER CAPITAL EUROPE SAS;SOLAIREDIRECT SAS;FR;1731 / 3674 / 4911;Minority stake unknown %
5.;1907070593;30.10.2014;ASTER CAPITAL EUROPE SAS;DIGITAL LUMENS INC.;US;3648 / 7372;Minority stake unknown %
6.;1941130907;11.09.2018;ASTER CAPITAL EUROPE SAS;COSMO COMPANY SAS, THE;FR;7372 / 7374;Minority stake unknown %
7.;1601266434;14.04.2011;ASTER CAPITAL EUROPE SAS;IOXUS INC.;US;3675 / 3676 / 3677;Minority stake unknown %
8.;1909000624;07.04.2014;ASTER CAPITAL EUROPE SAS;IOXUS INC.;US;3675 / 3676 / 3677;Minority stake unknown %
9.;1909490475;26.09.2016;ASTER CAPITAL EUROPE SAS;FINALCAD SAS;FR;7371 / 7372 / 7374;Minority stake unknown %
10.;1941021180;08.01.2018;ASTER CAPITAL EUROPE SAS;ELEMENT ANALYTICS INC.;US;7374;Minority stake unknown %
11.;580960;27.09.2007;ASTER CAPITAL EUROPE SAS;CONSUMERPOWERLINE INC.;US;6282 / 6799;Minority stake unknown %
12.;1601449599;25.02.2013;ASTER CAPITAL EUROPE SAS;FIBERIO TECHNOLOGY CORPORATION;US;3299 / 8731;Minority stake unknown %
13.;173562;16.06.2003;ASTER CAPITAL EUROPE SAS;ENGINION AG;DE;4911;Minority stake unknown %
14.;1941061997;04.04.2018;ASTER CAPITAL EUROPE SAS;QMERIT INC.;US;7372 / 7374;Minority stake unknown %
15.;152071;21.02.2003;ASTER CAPITAL EUROPE SAS;TEEM PHOTONICS SA;FR;3827 / 3851 / 3861;Minority stake unknown %
16.;1601072885;29.07.2009;ASTER CAPITAL EUROPE SAS;CPOWER INC.;US;8999;Minority stake unknown %
17.;317569;12.02.2007;ASTER CAPITAL EUROPE SAS;MICROBRIDGE TECHNOLOGIES INC.;CA;3674 / 8731;Minority stake unknown %
18.;1909394581;25.01.2016;ASTER CAPITAL EUROPE SAS;CUSTOMERMATRIX INC.;US;7374;Minority stake unknown %
