;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909470198;04.08.2016;AUTODESK VENTURES;FORMLABS INC.;US;3575 / 7371 / 7372 / 7374
2.;1909530424;13.01.2017;AUTODESK VENTURES;MOON EXPRESS INC.;US;3761
3.;1909263771;24.07.2015;AUTODESK VENTURES;VOXEL8 INC.;US;3575
4.;1909636136;14.11.2017;AUTODESK VENTURES;ASSEMBLE SYSTEMS INC.;US;7371 / 7372
5.;1909275866;31.12.2013;AUTODESK VENTURES;CARBON3D INC.;US;2821 / 3089
6.;1601323375;06.12.2011;AUTODESK VENTURES;GEHRY TECHNOLOGIES INC.;US;7371 / 8711 / 8712 / 8742
7.;1909219978;09.04.2015;AUTODESK VENTURES;CARBON3D INC.;US;2821 / 3089
8.;1941122135;15.08.2018;AUTODESK VENTURES;RHUMBIX INC.;US;7374
9.;1601122364;21.03.2007;AUTODESK VENTURES;PULSE ENTERTAINMENT INC.;US;7371
10.;1909286205;15.09.2015;AUTODESK VENTURES;SOURCE3 CORPORATION;US;7374
11.;1601049434;15.12.2000;AUTODESK VENTURES;IZOIC INC.;US;7371
12.;1601049614;15.12.2000;AUTODESK VENTURES;ALCHEMEDIA TECHNOLOGIES INC.;US;7371 / 7372
13.;1601049622;15.12.2000;AUTODESK VENTURES;FACILITY INFORMATION SYSTEMS;US;7371
14.;1909542915;14.02.2017;AUTODESK VENTURES;CONDUCTOR TECHNOLOGIES INC.;US;7374
15.;1909547147;22.02.2017;AUTODESK VENTURES;JUMPER LABS LTD;IL;7371
