;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;502943;03.01.2007;BASF VENTURE CAPITAL GMBH;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
2.;1601329327;22.12.2011;BASF VENTURE CAPITAL GMBH;SION POWER CORPORATION;US;3692 / 8731;Minority stake unknown %
3.;399413;21.12.2005;BASF VENTURE CAPITAL GMBH;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
4.;1601007114;04.08.2008;BASF VENTURE CAPITAL GMBH;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
5.;1601326241;30.04.2012;BASF VENTURE CAPITAL GMBH;NANOH2O INC.;US;2821;Minority stake unknown %
6.;1909118558;08.05.2014;BASF VENTURE CAPITAL GMBH;ARCADIA BIOSCIENCES INC.;US;8731;Minority stake unknown %
7.;167861;19.05.2003;BASF VENTURE CAPITAL GMBH;CATALYTIC SOLUTIONS INC.;US;3479;Minority stake unknown %
8.;1601339151;01.02.2012;BASF VENTURE CAPITAL GMBH;SOLIDIA TECHNOLOGIES INC.;US;3272 / 3448 / 8731;Minority stake unknown %
9.;1601138631;26.11.2009;BASF VENTURE CAPITAL GMBH;HELIATEK GMBH;DE;3674 / 8731;Minority stake unknown %
10.;1601276317;30.03.2012;BASF VENTURE CAPITAL GMBH;FRX POLYMERS INC.;US;2821 / 3089;Minority stake unknown %
11.;1909305928;09.11.2015;BASF VENTURE CAPITAL GMBH;QD VISION INC.;US;3674 / 5065;Minority stake unknown %
12.;1601222963;08.10.2010;BASF VENTURE CAPITAL GMBH;ASPEN AEROGELS INC.;US;2819;Minority stake unknown %
13.;584268;10.10.2007;BASF VENTURE CAPITAL GMBH;LUCA TECHNOLOGIES INC.;US;2911 / 8731;Minority stake unknown %
14.;1909061521;07.05.2014;BASF VENTURE CAPITAL GMBH;FRX POLYMERS INC.;US;2821 / 3089;Minority stake unknown %
15.;1601350873;12.03.2012;BASF VENTURE CAPITAL GMBH;ALLYLIX INC.;US;2869 / 2899 / 8731;Minority stake unknown %
16.;1601029284;28.10.2008;BASF VENTURE CAPITAL GMBH;ARCADIA BIOSCIENCES INC.;US;8731;Minority stake unknown %
17.;1601074612;04.05.2009;BASF VENTURE CAPITAL GMBH;SDCMATERIALS INC.;US;8731;Minority stake unknown %
18.;1941088990;30.05.2018;BASF VENTURE CAPITAL GMBH;ECOROBOTIX LTD;CH;8731;Minority stake unknown %
19.;511753;30.01.2007;BASF VENTURE CAPITAL GMBH;ULTRACELL CORPORATION;US;3691 / 3692;Minority stake unknown %
20.;516259;15.02.2007;BASF VENTURE CAPITAL GMBH;DATALASE LTD;GB;2893 / 3555 / 3575 / 7372;Minority stake unknown %
21.;411130;19.01.2006;BASF VENTURE CAPITAL GMBH;RPO INC.;US;3674;Minority stake unknown %
22.;1909572243;01.03.2017;BASF VENTURE CAPITAL GMBH;P2 SCIENCE INC.;US;2869 / 2899;Minority stake unknown %
23.;1909594753;20.06.2017;BASF VENTURE CAPITAL GMBH;SLIPS TECHNOLOGIES INC.;US;3479;Minority stake unknown %
24.;322323;28.02.2005;BASF VENTURE CAPITAL GMBH;SCIONA LTD;GB;8731 / 8734;Minority stake unknown %
25.;1909652022;07.11.2017;BASF VENTURE CAPITAL GMBH;NBD NANOTECHNOLOGIES INC.;US;2851 / 2899;Minority stake unknown %
26.;377008;10.01.2006;BASF VENTURE CAPITAL GMBH;AGION TECHNOLOGIES INC.;US;8731;Minority stake unknown %
27.;550147;25.06.2007;BASF VENTURE CAPITAL GMBH;ADVANCED BIONUTRITION CORPORATION;US;2047 / 2048 / 8731;Minority stake unknown %
28.;180296;22.07.2003;BASF VENTURE CAPITAL GMBH;MICROEMISSIVE DISPLAYS LTD;GB;3571 / 3572 / 3575 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
29.;308888;13.01.2005;BASF VENTURE CAPITAL GMBH;ADVANCED BIONUTRITION CORPORATION;US;2047 / 2048 / 8731;Minority stake unknown %
30.;242108;19.04.2004;BASF VENTURE CAPITAL GMBH;OXONICA LTD;GB;8731 / 8732 / 8733;Minority stake unknown %
31.;315236;03.02.2005;BASF VENTURE CAPITAL GMBH;CAVIS MICROCAPS GMBH;DE;2834 / 8731;Minority stake unknown %
32.;435536;05.04.2006;BASF VENTURE CAPITAL GMBH;SCIONA LTD;GB;8731 / 8734;Minority stake unknown %
33.;556944;26.06.2007;BASF VENTURE CAPITAL GMBH;SDCMATERIALS INC.;US;8731;Minority stake unknown %
34.;640188;08.05.2008;BASF VENTURE CAPITAL GMBH;DEUTSCHE ROHSTOFF AG;DE;1061 / 1099 / 1311;Minority stake unknown %
35.;278913;27.09.2004;BASF VENTURE CAPITAL GMBH;SCIONA LTD;GB;8731 / 8734;Minority stake unknown %
36.;169374;27.05.2003;BASF VENTURE CAPITAL GMBH;ANAWAH INC.;US;2011 / 2013 / 2015 / 2021 / 2022 / 2023 / 2024 / 2026 / 2032 / 2033 / 2034 / 2035 / 2037 / 2038 / 2041 / 2043 / 2044 / 2045 / 2046 / 2047 / 2048 / 2051 / 2052 / 2053 / 2062 / 2063 / 2064 / 2066 / 2068 / 2075 / 2077 / 2079 / 2083 / 2087 / 2091 / 2095 / 2096 / 2098 / 2099 / 5461 / 8731;Minority stake unknown %
37.;119299;10.06.2002;BASF VENTURE CAPITAL GMBH;OXONICA LTD;GB;8731 / 8732 / 8733;Minority stake unknown %
38.;1601157398;04.02.2010;BASF VENTURE CAPITAL GMBH;QUANTIAM TECHNOLOGIES INC.;CA;8731;Minority stake unknown %
39.;316821;07.02.2005;BASF VENTURE CAPITAL GMBH;OXONICA LTD;GB;8731 / 8732 / 8733;Minority stake unknown %
40.;1941100323;26.06.2018;BASF VENTURE CAPITAL GMBH;RE'FLEKT GMBH;DE;7371 / 7372;Minority stake unknown %
41.;1941145985;17.07.2018;BASF VENTURE CAPITAL GMBH;LACTIPS SAS;FR;2821;Capital Increase unknown stake %
42.;552589;27.06.2007;BASF VENTURE CAPITAL GMBH;HELIATEK GMBH;DE;3674 / 8731;Minority stake unknown %
43.;1601080911;26.05.2009;BASF VENTURE CAPITAL GMBH;ULTRACELL CORPORATION;US;3691 / 3692;Minority stake unknown %
44.;1909523083;20.12.2016;BASF VENTURE CAPITAL GMBH;SMARTKEM LTD;GB;2893 / 3674 / 8731;Minority stake unknown %
