;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1941126065;28.08.2018;BAXTER VENTURES;OUTSET MEDICAL INC.;US;3845
2.;1601431310;19.12.2012;BAXTER VENTURES;REGADO BIOSCIENCES INC.;US;2834 / 8731
3.;1909050062;19.02.2014;BAXTER VENTURES;COVAGEN AG;CH;2834 / 8731
4.;1601470642;29.04.2013;BAXTER VENTURES;OPSONA THERAPEUTICS LTD;IE;2834 / 8731
5.;1909228371;30.04.2015;BAXTER VENTURES;MIRNA THERAPEUTICS INC.;US;8731
6.;1909283134;08.09.2015;BAXTER VENTURES;LABORATORIS SANIFIT SL;ES;8731
7.;1601430491;17.12.2012;BAXTER VENTURES;NAUREX INC.;US;2834 / 8731
8.;1909582854;31.10.2017;BAXTER VENTURES;VITALCONNECT INC.;US;3845 / 7371 / 7372
9.;1909218336;07.04.2015;BAXTER VENTURES;TRUE NORTH THERAPEUTICS INC.;US;8731
10.;1909231530;11.05.2015;BAXTER VENTURES;PRECISION BIOSCIENCES INC.;US;2834 / 8731
11.;1909016623;17.06.2014;BAXTER VENTURES;TRUE NORTH THERAPEUTICS INC.;US;8731
12.;1909450991;20.06.2016;BAXTER VENTURES;KIT CHECK INC.;US;7372 / 7374
13.;1909294235;06.10.2015;BAXTER VENTURES;TVA MEDICAL INC.;US;3841 / 8731
14.;1601483836;10.06.2013;BAXTER VENTURES;OCULAR THERAPEUTIX INC.;US;2833 / 8731
15.;1909410076;23.05.2016;BAXTER VENTURES;MEDASENSE BIOMETRICS LTD;IL;3841
16.;1909295238;08.10.2015;BAXTER VENTURES;OPSONIX INC.;US;8731
17.;1601409877;08.10.2012;BAXTER VENTURES;GLIKNIK INC.;US;2834 / 8731
18.;1601441637;29.01.2013;BAXTER VENTURES;ZYTOPROTEC GMBH;AT;2834 / 8731
