;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601153696;25.01.2010;BEKAERT VENTURING;CYMBET CORPORATION;US;3674 / 3691;Minority stake unknown %
2.;485754;;BEKAERT VENTURING;SHOUGANG CONCORD CENTURY HOLDINGS LTD;HK;3312 / 3313 / 3325 / 3399 / 6719;Capital Increase 18.85%
3.;1601054414;24.02.2009;BEKAERT VENTURING;SAGE ELECTROCHROMICS INC.;US;3231 / 5099;Minority stake unknown %
4.;271512;21.12.2004;BEKAERT VENTURING;CYMBET CORPORATION;US;3674 / 3691;Minority stake unknown %
5.;557249;17.07.2007;BEKAERT VENTURING;SAGE ELECTROCHROMICS INC.;US;3231 / 5099;Minority stake unknown %
6.;101932;09.11.2001;BEKAERT VENTURING;SOREVI SAVOIE SA;FR;2851 / 3479;Minority stake 48.7%
8.;1601408872;03.11.2006;BEKAERT VENTURING;PROCABLES SA;PE;3315;Minority stake increased from 46% to 48%
9.;1601408904;31.12.2002;BEKAERT VENTURING;PRECISION SURFACE TECHNOLOGY PTE LTD;SG;2851 / 3089 / 3499 / 3544 / 8711;Minority stake increased from 26% to 33%
10.;1601409757;31.12.2002;BEKAERT VENTURING;PRODUCTOS DE ACERO CASSADÓ SA;PE;3315;Minority stake increased from 40% to 42%
;;;;;;;
