;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601093688;08.07.2009;BEST BUY CAPITAL;CONTROL4 CORPORATION;US;3575 / 3822 / 7371 / 7372 / 7374;Minority stake unknown %
2.;1601114071;30.09.2008;BEST BUY CAPITAL;AVNERA CORPORATION;US;3674;Minority stake unknown %
3.;1601237178;06.01.2011;BEST BUY CAPITAL;ZEO INC.;US;3823 / 3845 / 7371 / 7372 / 8731;Minority stake unknown %
4.;1601045163;22.01.2009;BEST BUY CAPITAL;IMVU INC.;US;8999;Minority stake unknown %
5.;1601151098;15.01.2010;BEST BUY CAPITAL;AVERNA TECHNOLOGIES INC.;CA;3829 / 7371 / 7372;Minority stake unknown %
6.;1909114481;16.06.2014;BEST BUY CAPITAL;VALENCELL INC.;US;3829;Minority stake unknown %
7.;1601279560;20.06.2011;BEST BUY CAPITAL;VALENCELL INC.;US;3829;Minority stake unknown %
8.;1601077599;13.05.2009;BEST BUY CAPITAL;DASHWIRE INC.;US;7371 / 7372;Minority stake unknown %
9.;1601111627;09.09.2009;BEST BUY CAPITAL;BRAMMO INC.;US;3751 / 7371 / 7372 / 7374;Minority stake unknown %
10.;1601147603;05.01.2010;BEST BUY CAPITAL;SIBEAM INC.;US;3575 / 3661 / 3674;Minority stake unknown %
11.;1909043637;18.09.2013;BEST BUY CAPITAL;XINGTERA INC.;US;3674;Minority stake 5%
12.;1909044101;27.08.2013;BEST BUY CAPITAL;VALENCELL INC.;US;3829;Minority stake 5%
