;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601130416;02.11.2009;BIOGEN IDEC NEW VENTURES;PROBIODRUG AG;DE;2834 / 8731;Minority stake unknown %
2.;1601129385;29.10.2009;BIOGEN IDEC NEW VENTURES;VIRDANTE PHARMACEUTICALS INC.;US;2833 / 8731;Minority stake unknown %
3.;583417;09.10.2007;BIOGEN IDEC NEW VENTURES;OPTHERION INC.;US;2834;Minority stake unknown %
4.;628126;05.03.2008;BIOGEN IDEC NEW VENTURES;PANGENETICS BV;NL;2834 / 8731;Minority stake unknown %
5.;1601011417;22.04.2008;BIOGEN IDEC NEW VENTURES;RESOLVYX PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
6.;1601202316;08.09.2010;BIOGEN IDEC NEW VENTURES;IPIERIAN INC.;US;2834 / 8731;Minority stake unknown %
7.;1909016623;17.06.2014;BIOGEN IDEC NEW VENTURES;TRUE NORTH THERAPEUTICS INC.;US;8731;Minority stake unknown %
8.;1601046601;16.01.2009;BIOGEN IDEC NEW VENTURES;HYDRA BIOSCIENCES INC.;US;2834 / 8731;Minority stake unknown %
9.;1601329534;04.01.2012;BIOGEN IDEC NEW VENTURES;PROBIODRUG AG;DE;2834 / 8731;Minority stake unknown %
10.;1601266614;18.02.2011;BIOGEN IDEC NEW VENTURES;CALCIMEDICA INC.;US;8731;Minority stake unknown %
11.;652608;22.04.2008;BIOGEN IDEC NEW VENTURES;CAMBRIA PHARMACEUTICALS INC.;US;8731;Minority stake unknown %
