;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909606833;19.07.2017;BMW I VENTURES LLC;NAUTO INC.;US;3651 / 7374;Minority stake unknown %
2.;1941131718;13.09.2018;BMW I VENTURES LLC;SHIFT TECHNOLOGIES INC.;US;7374;Minority stake unknown %
3.;1909550474;02.03.2017;BMW I VENTURES LLC;CHARGEPOINT INC.;US;5541;Minority stake unknown %
4.;1909591268;13.06.2017;BMW I VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
5.;1941047700;05.02.2018;BMW I VENTURES LLC;FAIR FINANCIAL CORPORATION;US;7372 / 7374;Minority stake unknown %
6.;1941043881;21.02.2018;BMW I VENTURES LLC;MOOVIT APP GLOBAL LTD;IL;7371 / 7372 / 7374;Minority stake unknown %
7.;1909182558;25.12.2014;BMW I VENTURES LLC;TRANZMATE LTD;IL;7372 / 7374;Minority stake unknown %
8.;1909539713;06.02.2017;BMW I VENTURES LLC;DESKTOP METAL INC.;US;3589 / 3599;Minority stake unknown %
9.;1909607221;19.07.2017;BMW I VENTURES LLC;SHIFT TECHNOLOGIES INC.;US;7374;Minority stake unknown %
10.;1941108665;10.07.2018;BMW I VENTURES LLC;XOMETRY INC.;US;7372 / 7374;Minority stake unknown %
11.;1941106862;10.07.2018;BMW I VENTURES LLC;XOMETRY INC.;US;7372 / 7374;Minority stake unknown %
12.;1909102374;12.05.2014;BMW I VENTURES LLC;CHARGEPOINT INC.;US;5541;Minority stake unknown %
13.;1941093248;04.06.2018;BMW I VENTURES LLC;CAROOBI GMBH;DE;7374;Minority stake unknown %
14.;1941055393;20.03.2018;BMW I VENTURES LLC;BLACKMORE SENSORS & ANALYTICS INC.;US;3825 / 7372;Minority stake unknown %
15.;1941047692;05.09.2017;BMW I VENTURES LLC;FAIR FINANCIAL CORPORATION;US;7372 / 7374;Minority stake unknown %
16.;1941066570;12.04.2018;BMW I VENTURES LLC;MAPILLARY AB;SE;7372 / 7374;Capital Increase unknown stake %
17.;1909598573;28.06.2017;BMW I VENTURES LLC;XOMETRY INC.;US;7372 / 7374;Minority stake unknown %
18.;1909399355;04.02.2016;BMW I VENTURES LLC;ZENDRIVE INC.;US;7372;Minority stake unknown %
19.;1909423906;06.04.2016;BMW I VENTURES LLC;RIDECELL INC.;US;7372;Minority stake unknown %
20.;1941044456;26.02.2018;BMW I VENTURES LLC;MAY MOBILITY INC.;US;3711;Minority stake unknown %
21.;1909654358;08.11.2017;BMW I VENTURES LLC;SCOOP TECHNOLOGIES INC.;US;7372;Minority stake unknown %
22.;1909631588;19.09.2017;BMW I VENTURES LLC;DSP CONCEPTS INC.;US;3651 / 7371 / 7372;Minority stake unknown %
23.;1601495595;10.07.2013;BMW I VENTURES LLC;LIFE360 INC.;US;7372;Minority stake unknown %
24.;1601453667;10.07.2013;BMW I VENTURES LLC;LIFE360 INC.;US;7372;Minority stake unknown %
25.;1909443108;25.05.2016;BMW I VENTURES LLC;SCOOP TECHNOLOGIES INC.;US;7372;Minority stake unknown %
26.;1601251772;01.03.2011;BMW I VENTURES LLC;MYCITYWAY INC.;US;7371;Minority stake unknown %
27.;1909003703;25.07.2013;BMW I VENTURES LLC;CHARGEMASTER PLC;GB;3629 / 3699;Minority stake 2%
28.;1601389475;24.07.2012;BMW I VENTURES LLC;COULOMB TECHNOLOGIES INC.;US;4911;Minority stake unknown %
29.;1601420531;13.11.2012;BMW I VENTURES LLC;EMBARKE INC.;US;7371;Minority stake
30.;1909074518;19.02.2014;BMW I VENTURES LLC;RIDECELL INC.;US;7372;Minority stake unknown %
31.;1909281430;02.09.2015;BMW I VENTURES LLC;GRAB A BUCKET INC.;US;7374;Minority stake unknown %
32.;1909604605;03.07.2017;BMW I VENTURES LLC;CAROOBI GMBH;DE;7374;Minority stake unknown %
33.;1909172805;25.11.2014;BMW I VENTURES LLC;INNER CIRCLE TECHNOLOGIES INC.;US;7371;Minority stake unknown %
