;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601414641;24.10.2012;BP VENTURES;BRIGHTSOURCE ENERGY INC.;US;1623 / 3674;Minority stake unknown %
2.;1909588609;12.04.2017;BP VENTURES;PELOTON TECHNOLOGY INC.;US;3669;Minority stake unknown %
3.;1601381710;25.06.2013;BP VENTURES;SKYONIC CORPORATION;US;1541 / 3624 / 8731;Minority stake unknown %
4.;1601339151;01.02.2012;BP VENTURES;SOLIDIA TECHNOLOGIES INC.;US;3272 / 3448 / 8731;Minority stake unknown %
5.;1941090613;22.05.2018;BP VENTURES;STOREDOT LTD;IL;3679 / 3691;Minority stake unknown %
6.;1909631439;19.09.2017;BP VENTURES;FLY VICTOR LTD;GB;7372 / 7374;Minority stake unknown %
7.;1909590324;07.06.2017;BP VENTURES;BEYOND LIMITS INC.;US;7371 / 7372;Minority stake unknown %
8.;1941032483;30.01.2018;BP VENTURES;FLY VICTOR LTD;GB;7372 / 7374;Minority stake unknown %
9.;1909144769;11.09.2014;BP VENTURES;LIQUID LIGHT INC.;US;2899 / 8731;Minority stake unknown %
10.;1601311469;25.10.2011;BP VENTURES;CHROMATIN INC.;US;0139 / 0191 / 8731;Minority stake unknown %
11.;1941058475;15.03.2018;BP VENTURES;DROVER LTD;GB;7514;Minority stake unknown %
12.;1941099749;11.06.2018;BP VENTURES;SILICON MICROGRAVITY LTD;GB;7374;Minority stake unknown %
13.;1941109027;10.07.2018;BP VENTURES;VOLTAWARE SERVICES LTD;GB;7372 / 7374;Minority stake unknown %
14.;1909042230;12.11.2013;BP VENTURES;FOTECH SOLUTIONS LTD;GB;3823;Minority stake unknown %
15.;1909177086;09.12.2014;BP VENTURES;SOLIDIA TECHNOLOGIES INC.;US;3272 / 3448 / 8731;Minority stake unknown %
16.;1907055344;16.07.2014;BP VENTURES;BIOSYNTHETIC TECHNOLOGIES LLC;US;2992;Minority stake unknown %
