;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601255570;31.03.2011;CHEVRON TECHNOLOGY VENTURES LLC;BRIGHTSOURCE ENERGY INC.;US;1623 / 3674;Minority stake unknown %
2.;1601000981;14.05.2008;CHEVRON TECHNOLOGY VENTURES LLC;BRIGHTSOURCE ENERGY INC.;US;1623 / 3674;Minority stake unknown %
3.;1601414641;24.10.2012;CHEVRON TECHNOLOGY VENTURES LLC;BRIGHTSOURCE ENERGY INC.;US;1623 / 3674;Minority stake unknown %
4.;471425;24.08.2006;CHEVRON TECHNOLOGY VENTURES LLC;CODEXIS INC.;US;2833 / 2834 / 2869 / 2899 / 8731;Minority stake unknown %
5.;1941019090;19.12.2017;CHEVRON TECHNOLOGY VENTURES LLC;MAANA INC.;US;7374;Minority stake unknown %
6.;1909302025;10.10.2016;CHEVRON TECHNOLOGY VENTURES LLC;AIRBORNE OIL & GAS BV;NL;3084;Minority stake unknown %
7.;1601483170;06.06.2013;CHEVRON TECHNOLOGY VENTURES LLC;PANZURA INC.;US;3575 / 5045 / 7371 / 7372 / 7374;Minority stake unknown %
8.;624638;20.02.2008;CHEVRON TECHNOLOGY VENTURES LLC;SUB-ONE TECHNOLOGY INC.;US;3553 / 3555 / 3556 / 3559 / 8731;Minority stake unknown %
9.;1941110485;18.07.2018;CHEVRON TECHNOLOGY VENTURES LLC;SEEQ CORPORATION;US;7372 / 7374;Minority stake unknown %
10.;1601022677;04.09.2008;CHEVRON TECHNOLOGY VENTURES LLC;MICROFABRICA INC.;US;3553 / 3555 / 3556 / 3559 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731;Minority stake unknown %
11.;419225;13.02.2006;CHEVRON TECHNOLOGY VENTURES LLC;KONARKA TECHNOLOGIES INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
12.;250212;24.05.2004;CHEVRON TECHNOLOGY VENTURES LLC;TACIT NETWORKS INC.;US;3663 / 7371 / 7373;Minority stake unknown %
13.;192114;24.09.2003;CHEVRON TECHNOLOGY VENTURES LLC;INFINICON SYSTEMS INC.;US;3571 / 3572 / 3575 / 3661 / 3663 / 3669 / 7371;Minority stake unknown %
14.;1601379575;19.06.2012;CHEVRON TECHNOLOGY VENTURES LLC;PANZURA INC.;US;3575 / 5045 / 7371 / 7372 / 7374;Minority stake unknown %
15.;200656;27.10.2003;CHEVRON TECHNOLOGY VENTURES LLC;IRONPORT SYSTEMS INC.;US;7371 / 7372 / 7382 / 7699;Minority stake unknown %
16.;430588;23.03.2006;CHEVRON TECHNOLOGY VENTURES LLC;STINGRAY GEOPHYSICAL LTD;GB;3357 / 3827;Minority stake unknown %
17.;180973;02.03.2001;CHEVRON TECHNOLOGY VENTURES LLC;MEMGEN CORPORATION;US;3553 / 3555 / 3556 / 3559 / 3589 / 3599 / 8731;Minority stake unknown %
18.;1909236050;20.05.2015;CHEVRON TECHNOLOGY VENTURES LLC;MAANA INC.;US;7374;Minority stake unknown %
19.;1941109947;16.07.2018;CHEVRON TECHNOLOGY VENTURES LLC;INVENTYS THERMAL TECHNOLOGIES INC.;CA;8731;Minority stake unknown %
20.;1909000648;02.07.2014;CHEVRON TECHNOLOGY VENTURES LLC;VEROS SYSTEMS INC.;US;3823 / 7371 / 7372 / 7374;Minority stake unknown %
21.;1909064149;20.01.2014;CHEVRON TECHNOLOGY VENTURES LLC;ZIEBEL AS;NO;7371 / 8731;Minority stake unknown %
22.;1601418191;05.11.2012;CHEVRON TECHNOLOGY VENTURES LLC;MODUMETAL LLC;US;3499;Minority stake unknown %
23.;1601067009;06.04.2009;CHEVRON TECHNOLOGY VENTURES LLC;EMBER CORPORATION;US;3674 / 5065;Minority stake unknown %
24.;1909221511;14.04.2015;CHEVRON TECHNOLOGY VENTURES LLC;NSS LABS INC.;US;7373 / 7374 / 8734;Minority stake unknown %
25.;485150;19.10.2006;CHEVRON TECHNOLOGY VENTURES LLC;SUB-ONE TECHNOLOGY INC.;US;3553 / 3555 / 3556 / 3559 / 8731;Minority stake unknown %
26.;216515;07.01.2004;CHEVRON TECHNOLOGY VENTURES LLC;METACARTA INC.;US;7371 / 7372;Minority stake unknown %
27.;1601368624;09.05.2012;CHEVRON TECHNOLOGY VENTURES LLC;ZI-LIFT LTD;GB;3561 / 8731;Minority stake unknown %
28.;1601080230;21.05.2009;CHEVRON TECHNOLOGY VENTURES LLC;SPECTRASENSORS INC.;US;3553 / 3555 / 3556 / 3559 / 3825;Minority stake unknown %
29.;1601275119;31.05.2011;CHEVRON TECHNOLOGY VENTURES LLC;NOVOPHAGE INC.;US;2836 / 8731;Minority stake unknown %
30.;192621;15.07.2002;CHEVRON TECHNOLOGY VENTURES LLC;MEMGEN CORPORATION;US;3553 / 3555 / 3556 / 3559 / 3589 / 3599 / 8731;Minority stake unknown %
31.;1601314823;08.11.2011;CHEVRON TECHNOLOGY VENTURES LLC;BITZER MOBILE INC.;US;7371 / 7372;Minority stake unknown %Minority stake
32.;1601206187;27.05.2010;CHEVRON TECHNOLOGY VENTURES LLC;STINGRAY GEOPHYSICAL LTD;GB;3357 / 3827;Minority stake unknown %
33.;1601113989;16.08.2001;CHEVRON TECHNOLOGY VENTURES LLC;AXXON LLC;US;8999;Minority stake unknown %
34.;191054;08.10.2003;CHEVRON TECHNOLOGY VENTURES LLC;FIVE STAR TECHNOLOGIES INC.;US;3823 / 7371;Minority stake unknown %
35.;1909453999;24.06.2016;CHEVRON TECHNOLOGY VENTURES LLC;LUX ASSURE LTD;GB;3823 / 8734;Minority stake unknown %
36.;414682;30.01.2006;CHEVRON TECHNOLOGY VENTURES LLC;DEEPFLEX INC.;US;3084 / 3498;Minority stake unknown %
37.;442399;12.05.2006;CHEVRON TECHNOLOGY VENTURES LLC;GALVESTON BAY BIODIESEL LP;US;2911;Minority stake unknown %
38.;1601099877;13.03.2009;CHEVRON TECHNOLOGY VENTURES LLC;NIMBUS PARTNERS LTD;GB;7371 / 7372;Minority stake unknown %
39.;1909131594;30.07.2014;CHEVRON TECHNOLOGY VENTURES LLC;INVENTYS THERMAL TECHNOLOGIES INC.;CA;8731;Minority stake unknown %
