;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941093631;11.06.2018;CISCO SYSTEMS INVESTMENTS LTD;COHESITY INC.;US;7374;Minority stake unknown %
2.;1909234922;19.05.2015;CISCO SYSTEMS INVESTMENTS LTD;MULESOFT INC.;US;7372 / 7374;Minority stake unknown %
3.;1909564171;04.04.2017;CISCO SYSTEMS INVESTMENTS LTD;COHESITY INC.;US;7374;Minority stake unknown %
4.;1941146887;23.10.2018;CISCO SYSTEMS INVESTMENTS LTD;TEAM8 LABS LTD;IL;6799 / 7374 / 8742;Minority stake unknown %
5.;1941091940;06.06.2018;CISCO SYSTEMS INVESTMENTS LTD;AVI NETWORKS INC.;US;7374;Minority stake unknown %
6.;1909577967;09.05.2017;CISCO SYSTEMS INVESTMENTS LTD;GAINSIGHT INC.;US;7374;Minority stake unknown %
7.;1941125208;14.08.2018;CISCO SYSTEMS INVESTMENTS LTD;EXABEAM INC.;US;7374;Minority stake unknown %
8.;1907123552;11.04.2017;CISCO SYSTEMS INVESTMENTS LTD;ONE MOBIKWIK SYSTEMS PVT LTD;IN;7372 / 7374;Minority stake unknown %
9.;1941073664;26.04.2018;CISCO SYSTEMS INVESTMENTS LTD;RSTOR INC.;US;7374;Minority stake unknown %
10.;1909454072;27.06.2016;CISCO SYSTEMS INVESTMENTS LTD;AYLA NETWORKS INC.;US;7374;Minority stake unknown %
11.;1941020136;04.01.2018;CISCO SYSTEMS INVESTMENTS LTD;AIMOTIVE INFORMATIKAI KFT;HU;7371 / 7372;Minority stake unknown %
12.;1909293674;05.10.2015;CISCO SYSTEMS INVESTMENTS LTD;AQUANTIA CORPORATION;US;3674;Minority stake unknown %
13.;1941051168;20.02.2018;CISCO SYSTEMS INVESTMENTS LTD;DYNAMIC SIGNAL INC.;US;7372 / 7374;Minority stake unknown %
14.;1909402942;16.02.2016;CISCO SYSTEMS INVESTMENTS LTD;LIVEACTION INC.;US;7371 / 7372;Minority stake unknown %
15.;1909261617;20.07.2015;CISCO SYSTEMS INVESTMENTS LTD;SENSITY SYSTEMS INC.;US;7374;Minority stake unknown %
16.;1909464037;01.08.2017;CISCO SYSTEMS INVESTMENTS LTD;GUARDICORE LTD;IL;7372 / 7374;Minority stake unknown %
17.;1909550464;02.03.2017;CISCO SYSTEMS INVESTMENTS LTD;VELOCLOUD NETWORKS INC.;US;7374;Minority stake unknown %
18.;1909500507;24.10.2016;CISCO SYSTEMS INVESTMENTS LTD;PAXATA INC.;US;7374;Minority stake unknown %
19.;1941010209;05.12.2017;CISCO SYSTEMS INVESTMENTS LTD;KESPRY INC.;US;7374;Minority stake unknown %
20.;1909163997;04.11.2014;CISCO SYSTEMS INVESTMENTS LTD;STRATOSCALE LTD;IL;7371 / 7372;Minority stake unknown %
21.;1909415623;15.03.2016;CISCO SYSTEMS INVESTMENTS LTD;SKYPORT SYSTEMS INC.;US;7373;Minority stake unknown %
22.;1909652905;13.11.2017;CISCO SYSTEMS INVESTMENTS LTD;THREATQUOTIENT INC.;US;7374;Minority stake unknown %
23.;1909539914;07.02.2017;CISCO SYSTEMS INVESTMENTS LTD;EXABEAM INC.;US;7374;Minority stake unknown %
24.;1909604964;12.07.2017;CISCO SYSTEMS INVESTMENTS LTD;EJ2 COMMUNICATIONS INC.;US;7374;Minority stake unknown %
25.;1941054816;12.10.2016;CISCO SYSTEMS INVESTMENTS LTD;MIST SYSTEMS INC.;US;3663 / 7374;Minority stake unknown %
26.;1909331597;14.01.2016;CISCO SYSTEMS INVESTMENTS LTD;VELOCLOUD NETWORKS INC.;US;7374;Minority stake unknown %
27.;1909419275;23.03.2016;CISCO SYSTEMS INVESTMENTS LTD;STRATOSCALE LTD;IL;7371 / 7372;Minority stake unknown %
