;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;146123;05.06.2000;DELL TECHNOLOGIES CAPITAL;COLLABNET INC.;US;7372 / 7374
2.;1601104404;18.07.2000;DELL TECHNOLOGIES CAPITAL;STORAGEAPPS INC;US;3572 / 7371
3.;234617;02.08.2000;DELL TECHNOLOGIES CAPITAL;LINUXCARE INC.;US;7371
4.;185977;18.09.2000;DELL TECHNOLOGIES CAPITAL;NISHAN SYSTEMS INC.;US;3661 / 3663 / 3669 / 7371 / 7372
5.;203548;29.09.2000;DELL TECHNOLOGIES CAPITAL;EXTREME DEVICES INC.;US;3674
6.;191316;11.10.2000;DELL TECHNOLOGIES CAPITAL;AGILITY COMMUNICATIONS INC.;US;3661
7.;82887;09.11.2000;DELL TECHNOLOGIES CAPITAL;CENTERBEAM INC.;US;7379
8.;169257;10.11.2000;DELL TECHNOLOGIES CAPITAL;BOWSTREET INC.;US;7371 / 7372
9.;218071;11.12.2000;DELL TECHNOLOGIES CAPITAL;TONIC SOFTWARE INC.;US;7371 / 7372
10.;184245;29.01.2001;DELL TECHNOLOGIES CAPITAL;MORPHICS TECHNOLOGY INC.;US;3663 / 3674
11.;203254;09.03.2001;DELL TECHNOLOGIES CAPITAL;INTERELATE INC.;US;7371 / 7372
12.;206998;13.03.2001;DELL TECHNOLOGIES CAPITAL;ZEEVO INC.;US;3661 / 3663 / 3669 / 3674
13.;243730;10.04.2001;DELL TECHNOLOGIES CAPITAL;LANE15 SOFTWARE INC.;US;7371
14.;88625;23.04.2001;DELL TECHNOLOGIES CAPITAL;MOBILIAN;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 7371
15.;88957;02.05.2001;DELL TECHNOLOGIES CAPITAL;XACCT TECHNOLOGIES LTD;US;7371 / 7372
16.;90114;07.05.2001;DELL TECHNOLOGIES CAPITAL;BLUEARC CORPORATION;US;3572 / 7371 / 7372 / 7374
17.;96129;13.08.2001;DELL TECHNOLOGIES CAPITAL;INTERACTIVE SILICON INC.;US;7371 / 7373 / 8731
18.;145727;10.12.2001;DELL TECHNOLOGIES CAPITAL;LANE15 SOFTWARE INC.;US;7371
19.;115703;11.03.2002;DELL TECHNOLOGIES CAPITAL;SIRF TECHNOLOGY INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 7371
20.;116076;04.04.2002;DELL TECHNOLOGIES CAPITAL;BLUESTAR SOLUTIONS INC.;US;7322 / 7323 / 7334 / 7338 / 7371 / 7372 / 7389
21.;165901;23.04.2002;DELL TECHNOLOGIES CAPITAL;UBICOM INC.;US;3661 / 7371
22.;151300;14.01.2003;DELL TECHNOLOGIES CAPITAL;COUNTERPANE INTERNET SECURITY INC.;US;7371 / 7372
23.;1601115759;04.03.2004;DELL TECHNOLOGIES CAPITAL;CERTUS SOFTWARE INC.;US;7371
24.;1601067841;07.04.2009;DELL TECHNOLOGIES CAPITAL;FUSION MULTISYSTEMS INC.;US;3572 / 7371 / 7372
25.;1601085704;08.06.2009;DELL TECHNOLOGIES CAPITAL;NEXTIO INC.;US;3674 / 8731
26.;1601449137;12.03.2013;DELL TECHNOLOGIES CAPITAL;SKYERA INC.;US;3572
27.;1601436261;06.06.2013;DELL TECHNOLOGIES CAPITAL;MIRANTIS INC.;US;7371 / 7372 / 7373
28.;1909052424;16.12.2013;DELL TECHNOLOGIES CAPITAL;INVINCEA INC.;US;7371 / 7372
29.;1909137550;21.08.2014;DELL TECHNOLOGIES CAPITAL;LASTLINE INC.;US;7371 / 7372
30.;1909139831;29.08.2014;DELL TECHNOLOGIES CAPITAL;NEXENTA SYSTEMS INC.;US;7372 / 7374
31.;1909146728;17.09.2014;DELL TECHNOLOGIES CAPITAL;FORMATION DATA SYSTEMS;US;7374
32.;1909204187;26.02.2015;DELL TECHNOLOGIES CAPITAL;EXABLOX CORPORATION;US;7374
33.;1909266103;28.07.2015;DELL TECHNOLOGIES CAPITAL;CYLANCE INC.;US;7371 / 7372
34.;1909232028;08.10.2015;DELL TECHNOLOGIES CAPITAL;DOCUSIGN INC.;US;7371 / 7372 / 7374
35.;1909509697;16.11.2016;DELL TECHNOLOGIES CAPITAL;INVINCEA INC.;US;7371 / 7372
36.;1909577413;09.05.2017;DELL TECHNOLOGIES CAPITAL;REDLOCK INC.;US;7374
37.;1909577963;09.05.2017;DELL TECHNOLOGIES CAPITAL;EDICO GENOME CORPORATION;US;3826 / 7372 / 7374
38.;1909466886;15.05.2017;DELL TECHNOLOGIES CAPITAL;FOGHORN SYSTEMS INC.;US;7372 / 7374
39.;1909586500;01.06.2017;DELL TECHNOLOGIES CAPITAL;RISKRECON INC.;US;7372 / 7374
40.;1909596424;22.06.2017;DELL TECHNOLOGIES CAPITAL;DATOMETRY INC.;US;7374
41.;1909597629;27.06.2017;DELL TECHNOLOGIES CAPITAL;JASK INC.;US;7374
42.;1909607799;20.07.2017;DELL TECHNOLOGIES CAPITAL;GRAPHCORE LTD;GB;8731
43.;1909610395;25.07.2017;DELL TECHNOLOGIES CAPITAL;IGUAZIO SYSTEMS LTD;IL;7374
44.;1909620362;21.08.2017;DELL TECHNOLOGIES CAPITAL;REDIS LABS INC.;US;7374
45.;1909627052;06.09.2017;DELL TECHNOLOGIES CAPITAL;ELASTIFILE LTD;IL;7372 / 7374
46.;1909631547;19.09.2017;DELL TECHNOLOGIES CAPITAL;MINIO INC.;US;7374
47.;1941013704;01.10.2017;DELL TECHNOLOGIES CAPITAL;BINARIS INC.;US;7372 / 7374
48.;1909637379;04.10.2017;DELL TECHNOLOGIES CAPITAL;FOGHORN SYSTEMS INC.;US;7372 / 7374
49.;1941028897;17.01.2018;DELL TECHNOLOGIES CAPITAL;VDOO CONNECTED TRUST LTD;IL;7371
50.;1941058244;15.03.2018;DELL TECHNOLOGIES CAPITAL;FACTION INC.;US;7374
51.;1941063266;05.04.2018;DELL TECHNOLOGIES CAPITAL;NANTERO INC.;US;3674 / 8731
52.;1941094186;12.06.2018;DELL TECHNOLOGIES CAPITAL;YUGABYTE INC.;US;7372 / 7374
53.;1941094536;12.06.2018;DELL TECHNOLOGIES CAPITAL;IOTECH SYSTEMS LTD;GB;7371 / 7372
54.;1941097725;20.06.2018;DELL TECHNOLOGIES CAPITAL;IMMUTA INC.;US;7374
55.;1941110054;26.06.2018;DELL TECHNOLOGIES CAPITAL;NOODLE ANALYTICS INC.;US;7371 / 7372 / 7374
56.;1941102125;28.06.2018;DELL TECHNOLOGIES CAPITAL;JASK INC.;US;7374
