;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909531388;17.01.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;APPSFLYER LTD;IL;7374
2.;1909169532;19.11.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;CIPHERCLOUD INC.;US;7371 / 7372
3.;1909534658;25.01.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;ARYAKA NETWORKS INC.;US;7374
4.;1941109232;16.07.2018;DEUTSCHE TELEKOM CAPITAL PARTNERS;FASTLY INC.;US;7374
5.;1601490605;26.06.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;NUMBERFOUR AG;DE;7374
6.;266084;23.07.2004;DEUTSCHE TELEKOM CAPITAL PARTNERS;DANGER INC.;US;4899 / 7371
7.;101349;15.10.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;DANGER INC.;US;4899 / 7371
8.;1909500507;24.10.2016;DEUTSCHE TELEKOM CAPITAL PARTNERS;PAXATA INC.;US;7374
9.;1909607664;20.07.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;DYNAMIC YIELD LTD;IL;7372 / 7374
10.;1941045775;19.02.2018;DEUTSCHE TELEKOM CAPITAL PARTNERS;RELAYR GMBH;DE;7374
11.;417518;31.12.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;APERTIO LTD;GB;7371
12.;1601413418;17.10.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETBISCUITS GMBH;DE;7371 / 7372
13.;1601485919;11.03.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;ADAPTIVE SPECTRUM AND SIGNAL ALIGNMENT INC.;US;7371 / 7372 / 7373
14.;1601118920;30.09.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;DELIVERY AGENT INC.;US;7311 / 7374
15.;1941008741;08.03.2018;DEUTSCHE TELEKOM CAPITAL PARTNERS;MOJIO INC.;CA;7372 / 7374
16.;1601457261;20.03.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;NEXTUMI INC.;US;4899 / 7371
17.;98012;21.11.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETCENTREX SA;FR;3661 / 7371
18.;1601377337;02.08.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;SCVNGR INC.;US;7372 / 7374
19.;1601300518;29.11.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;SKORPIOS TECHNOLOGIES INC.;US;3674
20.;49411;31.07.1999;DEUTSCHE TELEKOM CAPITAL PARTNERS;FANTASTIC CORPORATION, THE;CH;7371
21.;76614;02.10.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETWORK MULTIMEDIA TELEVISION;GB;8999
22.;536386;29.05.2007;DEUTSCHE TELEKOM CAPITAL PARTNERS;JAJAH INC.;US;4813 / 4822
23.;1909627410;07.09.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;NSONE INC.;US;7372 / 7374
24.;1909489322;27.09.2016;DEUTSCHE TELEKOM CAPITAL PARTNERS;NSONE INC.;US;7372 / 7374
25.;1601494416;08.07.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZIMORY GMBH;DE;7371
26.;389479;26.10.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;BELAIR NETWORKS INC.;CA;3661
27.;73926;06.09.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;AUDIOBASKET INC.;US;7383
28.;480879;02.10.2006;DEUTSCHE TELEKOM CAPITAL PARTNERS;BELAIR NETWORKS INC.;CA;3661
29.;1909037293;12.11.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;6 WUNDERKINDER GMBH;DE;7372
30.;51608;19.10.1999;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETWORK MULTIMEDIA TELEVISION;GB;8999
31.;606756;18.12.2007;DEUTSCHE TELEKOM CAPITAL PARTNERS;BELAIR NETWORKS INC.;CA;3661
32.;1909574624;02.05.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;FORNOVA LTD;IL;7374
