;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601467939;18.06.2013;DOCOMO CAPITAL;FAB INC.;US;7374 / 8999;Minority stake unknown %
2.;1601372298;18.07.2012;DOCOMO CAPITAL;FAB INC.;US;7374 / 8999;Minority stake unknown %
3.;511765;25.10.2006;DOCOMO CAPITAL;PICSEL (GROUP) LTD;GB;7371 / 7372;Minority stake unknown %
4.;1909105061;20.05.2014;DOCOMO CAPITAL;CENTRIFY CORPORATION;US;7374;Minority stake unknown %
5.;514175;07.02.2007;DOCOMO CAPITAL;BECEEM COMMUNICATIONS INC.;US;3661;Minority stake unknown %
6.;1909257182;02.03.2016;DOCOMO CAPITAL;INFLUITIVE INC.;CA;7372 / 7374;Minority stake unknown %
7.;607674;10.03.2008;DOCOMO CAPITAL;DECENTRAL.TV CORPORATION;US;7371 / 8999;Minority stake unknown %
8.;1601223101;19.10.2010;DOCOMO CAPITAL;EVERNOTE CORPORATION;US;7371 / 7372 / 7374;Minority stake unknown %
9.;1601070650;21.10.2009;DOCOMO CAPITAL;STOKE INC.;US;3661 / 5045 / 7371 / 7372;Minority stake unknown %
10.;654038;28.04.2008;DOCOMO CAPITAL;INVENSENSE INC.;US;3674 / 3823;Minority stake unknown %
11.;1909150918;30.09.2014;DOCOMO CAPITAL;NETPULSE INC.;US;7374;Minority stake unknown %
12.;484777;10.03.2008;DOCOMO CAPITAL;WISPRY INC.;US;3674;Minority stake unknown %
13.;1601239560;18.01.2011;DOCOMO CAPITAL;STOKE INC.;US;3661 / 5045 / 7371 / 7372;Minority stake unknown %
14.;1601302137;10.08.2011;DOCOMO CAPITAL;COUCHBASE INC.;US;7374;Minority stake unknown %
15.;1601463568;11.04.2013;DOCOMO CAPITAL;QUANTANCE INC.;US;3674;Minority stake unknown %
16.;1601031392;19.11.2008;DOCOMO CAPITAL;QUANTANCE INC.;US;3674;Minority stake unknown %
17.;1601272795;23.05.2011;DOCOMO CAPITAL;SKYCROSS INC.;US;3663;Minority stake unknown %
18.;1601303244;26.09.2011;DOCOMO CAPITAL;QUANTANCE INC.;US;3674;Minority stake unknown %
19.;1601134826;16.11.2009;DOCOMO CAPITAL;EVERNOTE CORPORATION;US;7371 / 7372 / 7374;Minority stake unknown %
20.;1601141317;;DOCOMO CAPITAL;ARTERIS INC.;US;3674;Minority stake unknown %
21.;1601031046;17.11.2008;DOCOMO CAPITAL;SIIMPEL CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
22.;1601004927;21.05.2008;DOCOMO CAPITAL;ARTERIS INC.;US;3674;Minority stake unknown %
23.;1601143812;15.02.2010;DOCOMO CAPITAL;SWYPE INC.;US;7371 / 7372;Minority stake unknown %
24.;631356;17.03.2008;DOCOMO CAPITAL;GIZMOZ INC.;US;7371;Minority stake unknown %
25.;1601041562;09.09.2009;DOCOMO CAPITAL;EVERNOTE CORPORATION;US;7371 / 7372 / 7374;Minority stake unknown %
26.;1601259580;12.07.2011;DOCOMO CAPITAL;SWYPE INC.;US;7371 / 7372;Minority stake unknown %
27.;470019;21.08.2006;DOCOMO CAPITAL;GCT SEMICONDUCTOR INC.;US;3674;Minority stake unknown %
28.;1601486603;18.06.2013;DOCOMO CAPITAL;MUZY INC.;US;7374;Minority stake unknown %
29.;1601320802;29.11.2011;DOCOMO CAPITAL;HIGHLIGHTCAM INC.;US;7371;Minority stake unknown %
30.;435364;11.04.2006;DOCOMO CAPITAL;BECEEM COMMUNICATIONS INC.;US;3661;Minority stake unknown %
31.;1601089367;22.06.2009;DOCOMO CAPITAL;TENSILICA INC.;US;3571 / 3674;Minority stake unknown %
32.;1601145526;16.12.2009;DOCOMO CAPITAL;DAZ PRODUCTIONS INC.;US;7371 / 7372;Minority stake unknown %
33.;1601158070;16.02.2010;DOCOMO CAPITAL;TUNEWIKI LTD;VG;7371 / 7999 / 8999;Minority stake unknown %
