;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601216256;30.06.2011;DOW VENTURE CAPITAL;SORBENT THERAPEUTICS INC.;US;2834 / 8731
2.;456924;24.07.2006;DOW VENTURE CAPITAL;AMBRX INC.;US;8731
3.;535459;03.05.2007;DOW VENTURE CAPITAL;NOXXON PHARMA AG;DE;2834 / 8731
4.;399413;21.12.2005;DOW VENTURE CAPITAL;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679
5.;1601007114;04.08.2008;DOW VENTURE CAPITAL;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679
6.;1601192179;12.10.2010;DOW VENTURE CAPITAL;NOXXON PHARMA AG;DE;2834 / 8731
7.;540477;24.05.2007;DOW VENTURE CAPITAL;BIOLEX THERAPEUTICS INC.;US;2834 / 8731
8.;1601206041;27.07.2010;DOW VENTURE CAPITAL;XTREME POWER INC.;US;3629 / 3699 / 7372
9.;406720;04.01.2006;DOW VENTURE CAPITAL;ENTROPIC COMMUNICATIONS INC.;US;3674
10.;437889;25.04.2006;DOW VENTURE CAPITAL;VARIOPTIC SA;FR;3827
11.;1601110313;28.07.2008;DOW VENTURE CAPITAL;HANDYLAB INC.;US;3829
12.;457208;06.07.2006;DOW VENTURE CAPITAL;INSILICA INC.;US;3674
13.;271512;21.12.2004;DOW VENTURE CAPITAL;CYMBET CORPORATION;US;3674 / 3691
14.;532056;;DOW VENTURE CAPITAL;SUPERPROTONIC INC.;US;3691 / 3692 / 8731
15.;248620;19.05.2004;DOW VENTURE CAPITAL;PATHSCALE INC.;US;3571 / 3572 / 3575 / 7371
16.;472146;21.08.2007;DOW VENTURE CAPITAL;MIRABILIS MEDICA INC.;US;3845 / 8731
17.;410740;11.05.2006;DOW VENTURE CAPITAL;SPOTWAVE WIRELESS INC.;CA;3571 / 3572 / 3575 / 3661 / 3663 / 3669 / 4899 / 5045
18.;148961;05.02.2003;DOW VENTURE CAPITAL;KEY RESEARCH INC.;US;7373
19.;401942;07.12.2005;DOW VENTURE CAPITAL;SIONEX CORPORATION;US;3845 / 8731
20.;488694;19.12.2006;DOW VENTURE CAPITAL;WATERHEALTH INTERNATIONAL INC.;US;3589 / 3599
21.;1601042724;13.01.2009;DOW VENTURE CAPITAL;WATERHEALTH INTERNATIONAL INC.;US;3589 / 3599
22.;1601034871;23.10.2006;DOW VENTURE CAPITAL;AVESO INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
23.;479223;25.09.2006;DOW VENTURE CAPITAL;SICONNECT LTD;GB;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
24.;380695;26.09.2005;DOW VENTURE CAPITAL;VERALIGHT INC.;US;3841 / 8731
25.;240411;10.12.1999;DOW VENTURE CAPITAL;FILLFACTORY NV;BE;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
26.;258614;11.09.2003;DOW VENTURE CAPITAL;DNA RESEARCH INNOVATIONS LTD;GB;8731
27.;1601152609;19.05.2010;DOW VENTURE CAPITAL;CLEAN FILTRATION TECHNOLOGIES INC.;US;3559
28.;80640;27.11.2000;DOW VENTURE CAPITAL;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679
29.;74753;26.07.2000;DOW VENTURE CAPITAL;ZBD DISPLAYS LTD;GB;2672 / 2673 / 2759 / 5099 / 7371 / 7374 / 7379
30.;1601141755;07.12.2009;DOW VENTURE CAPITAL;PFENEX INC.;US;2834 / 8731
31.;1601210874;17.08.2010;DOW VENTURE CAPITAL;BLADE DYNAMICS LTD;GB;3499
