;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;452165;19.06.2006;DUPONT CAPITAL MANAGEMENT CORPORATION;NEOPHOTONICS CORPORATION;US;3661 / 3663 / 3679 / 8731
2.;215757;26.04.2004;DUPONT CAPITAL MANAGEMENT CORPORATION;CALIENT NETWORKS INC.;US;3661
3.;629760;23.05.2008;DUPONT CAPITAL MANAGEMENT CORPORATION;ALTIERRE CORPORATION;US;3575 / 3823 / 7371
4.;234285;18.03.2004;DUPONT CAPITAL MANAGEMENT CORPORATION;RESTORE MEDICAL INC.;US;3841 / 8731
5.;1909052363;16.12.2013;DUPONT CAPITAL MANAGEMENT CORPORATION;CROWDTILT INC.;US;7374
6.;312382;07.02.2005;DUPONT CAPITAL MANAGEMENT CORPORATION;ACTELIS NETWORKS INC.;US;3669 / 4899 / 7379
7.;1909148539;23.09.2014;DUPONT CAPITAL MANAGEMENT CORPORATION;NEXSTEPPE INC.;US;8731
8.;508712;22.01.2007;DUPONT CAPITAL MANAGEMENT CORPORATION;ACTELIS NETWORKS INC.;US;3669 / 4899 / 7379
9.;1909124452;10.07.2014;DUPONT CAPITAL MANAGEMENT CORPORATION;ALTIERRE CORPORATION;US;3575 / 3823 / 7371
10.;1909297503;;DUPONT CAPITAL MANAGEMENT CORPORATION;JAGUAR MINING INC.;CA;1041 / 1081
11.;654866;03.04.2009;DUPONT CAPITAL MANAGEMENT CORPORATION;ACTELIS NETWORKS INC.;US;3669 / 4899 / 7379
12.;531062;11.04.2007;DUPONT CAPITAL MANAGEMENT CORPORATION;ALTIERRE CORPORATION;US;3575 / 3823 / 7371
13.;1909000033;15.07.2013;DUPONT CAPITAL MANAGEMENT CORPORATION;UNITED SAMPLE INC.;US;7371 / 7372 / 7374 / 8999
14.;205225;13.11.2003;DUPONT CAPITAL MANAGEMENT CORPORATION;LINGUAGEN CORPORATION;US;8731
15.;1601342459;07.02.2012;DUPONT CAPITAL MANAGEMENT CORPORATION;NOBLE BIOMATERIALS INC.;US;2299 / 2399 / 3674 / 3679 / 3841 / 8731
16.;216016;05.01.2004;DUPONT CAPITAL MANAGEMENT CORPORATION;PSILOQUEST INC.;US;5169
17.;283014;08.09.2004;DUPONT CAPITAL MANAGEMENT CORPORATION;HANDYLAB INC.;US;3829
18.;1601393311;06.08.2012;DUPONT CAPITAL MANAGEMENT CORPORATION;HIKMA PHARMACEUTICALS PLC;GB;2834
19.;428144;16.03.2006;DUPONT CAPITAL MANAGEMENT CORPORATION;CHROMOGENICS AB;SE;3674
20.;1601110543;08.09.2009;DUPONT CAPITAL MANAGEMENT CORPORATION;ACTELIS NETWORKS INC.;US;3669 / 4899 / 7379
