;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601107431;13.04.2000;EMC VENTURES;FUSIONONE INC.;US;7371
2.;230150;24.07.2000;EMC VENTURES;RIOPORT INC.;US;2741 / 4899
3.;155757;31.07.2000;EMC VENTURES;ZANTAZ INC.;US;7371 / 7372
4.;281940;22.09.2000;EMC VENTURES;ABRIDGE INC.;US;7371 / 7372
5.;1601133133;28.09.2000;EMC VENTURES;MANAGEDSTORAGE INTERNATIONAL INC.;US;7371 / 7373
6.;161505;19.10.2000;EMC VENTURES;AMICAS INC.;US;7371 / 7372
7.;178395;19.10.2000;EMC VENTURES;STENTOR INC.;US;7371
8.;281534;27.11.2000;EMC VENTURES;MAGNIFI INC.;US;4899 / 7371
9.;1601125079;02.05.2002;EMC VENTURES;RIOPORT INC.;US;2741 / 4899
10.;139759;11.11.2002;EMC VENTURES;DILIGENT TECHNOLOGIES CORPORATION;US;7371 / 7373 / 7374
11.;404524;20.12.2005;EMC VENTURES;EDGE DYNAMICS INC.;US;7371 / 7372
12.;562727;02.08.2007;EMC VENTURES;ARISTOS LOGIC CORPORATION;US;3572 / 3674 / 7371
13.;1601011136;26.06.2008;EMC VENTURES;INITIATE SYSTEMS INC.;US;7374
14.;1601034957;30.10.2008;EMC VENTURES;VMWARE INC.;US;7371 / 7372 / 7374 / 7379
15.;1601045448;22.01.2009;EMC VENTURES;VARONIS SYSTEMS INC.;US;7372 / 7374
16.;1601210193;12.08.2010;EMC VENTURES;VMWARE INC.;US;7371 / 7372 / 7374 / 7379
17.;1601222034;08.10.2010;EMC VENTURES;VMWARE INC.;US;7371 / 7372 / 7374 / 7379
18.;1601486337;08.07.2013;EMC VENTURES;PREDIXION SOFTWARE INC.;US;7371 / 7372 / 7374
19.;1909098356;29.04.2014;EMC VENTURES;VORSTACK CORPORATION;US;7371
20.;1909289796;26.02.2015;EMC VENTURES;ATOS SE;FR;7371 / 7372 / 7373 / 7374
21.;1909268093;23.09.2015;EMC VENTURES;ZSCALER INC.;US;7372 / 7374
22.;1909434862;06.05.2016;EMC VENTURES;PIVOTAL SOFTWARE INC.;US;7372 / 7374
23.;1633016875;13.12.2010 ;EMC VENTURES;NET ONE SYSTEMS CO., LTD;JP;1731 / 5045 / 7373 / 7379
