;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909190690;21.01.2015;ERICSSON VENTURE PARTNERS;PLURIBUS NETWORKS INC.;US;3661 / 7371 / 7374
2.;413999;27.01.2006;ERICSSON VENTURE PARTNERS;RADIOFRAME NETWORKS INC.;US;3663
3.;230511;31.05.2001;ERICSSON VENTURE PARTNERS;REDFERN PHOTONICS PTY LTD;AU;3661
4.;104091;12.12.2001;ERICSSON VENTURE PARTNERS;WATCHMARK CORPORATION;US;7371
5.;1601436261;06.06.2013;ERICSSON VENTURE PARTNERS;MIRANTIS INC.;US;7371 / 7372 / 7373
6.;152619;25.03.2002;ERICSSON VENTURE PARTNERS;RADIOFRAME NETWORKS INC.;US;3663
7.;559461;05.11.2007;ERICSSON VENTURE PARTNERS;KIRUSA INC.;US;7374 / 8999
8.;205014;12.11.2003;ERICSSON VENTURE PARTNERS;REEFEDGE INC.;US;3661 / 3663
9.;130621;17.09.2002;ERICSSON VENTURE PARTNERS;I-CONTROL, INC.;US;7371
10.;276124;07.09.2004;ERICSSON VENTURE PARTNERS;ATRUA TECHNOLOGIES INC.;US;3661 / 3663 / 3669 / 7371
11.;191562;22.09.2003;ERICSSON VENTURE PARTNERS;RADIOFRAME NETWORKS INC.;US;3663
12.;384772;10.10.2005;ERICSSON VENTURE PARTNERS;SENSORY NETWORKS INC.;US;3669 / 7371
13.;1601122039;04.11.2004;ERICSSON VENTURE PARTNERS;BYTEMOBILE INC.;US;7371 / 7372 / 7374 / 8243
14.;498023;07.12.2006;ERICSSON VENTURE PARTNERS;ATRUA TECHNOLOGIES INC.;US;3661 / 3663 / 3669 / 7371
15.;134964;17.12.2001;ERICSSON VENTURE PARTNERS;REEFEDGE INC.;US;3661 / 3663
16.;1601021265;27.08.2008;ERICSSON VENTURE PARTNERS;RADIOFRAME NETWORKS INC.;US;3663
17.;1601051963;16.02.2009;ERICSSON VENTURE PARTNERS;ONTELA INC.;US;7371 / 7372
