;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909061521;07.05.2014;EVONIK VENTURE CAPITAL GMBH;FRX POLYMERS INC.;US;2821 / 3089;Minority stake unknown %
2.;1909483276;08.09.2016;EVONIK VENTURE CAPITAL GMBH;VIVASURE MEDICAL LTD;IE;8731;Minority stake unknown %
3.;1909216517;31.03.2015;EVONIK VENTURE CAPITAL GMBH;ALGAL SCIENTIFIC CORPORATION;US;2099 / 2869 / 4941 / 4971;Minority stake unknown %
4.;1941060370;26.04.2018;EVONIK VENTURE CAPITAL GMBH;MYSKIN INC.;US;3634 / 3635 / 3639;Minority stake unknown %
5.;1909540960;08.02.2017;EVONIK VENTURE CAPITAL GMBH;WIIVV WEARABLES INC.;CA;2759;Minority stake unknown %
6.;1909097957;28.04.2014;EVONIK VENTURE CAPITAL GMBH;ALGAL SCIENTIFIC CORPORATION;US;2099 / 2869 / 4941 / 4971;Minority stake unknown %
7.;1907055344;16.07.2014;EVONIK VENTURE CAPITAL GMBH;BIOSYNTHETIC TECHNOLOGIES LLC;US;2992;Minority stake unknown %
8.;1909257150;07.07.2015;EVONIK VENTURE CAPITAL GMBH;JENACELL GMBH;DE;2836 / 8731;Minority stake unknown %
9.;1909299372;19.10.2015;EVONIK VENTURE CAPITAL GMBH;AIRBORNE OIL & GAS BV;NL;3084;Minority stake unknown %
10.;1909532851;18.01.2017;EVONIK VENTURE CAPITAL GMBH;NANOTECH INDUSTRIAL SOLUTIONS INC.;US;2899;Minority stake unknown %
11.;1909579308;11.05.2017;EVONIK VENTURE CAPITAL GMBH;NUMAFERM GMBH;DE;8731;Minority stake unknown %
12.;1941056544;02.03.2018;EVONIK VENTURE CAPITAL GMBH;VELOX LTD;IL;3555;Minority stake unknown %
13.;1941148388;29.10.2018;EVONIK VENTURE CAPITAL GMBH;IN OVO BV;NL;2015;Minority stake unknown %
14.;1941155944;06.11.2018;EVONIK VENTURE CAPITAL GMBH;OPTIFARM LTD;GB;7372 / 7374 / 8999;Minority stake unknown %
