;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1907127806;19.11.2015;FOSUN KINZON CAPITAL;BEIJING ZHIXING HUIKE EDUCATION TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
2.;1909247100;16.06.2015;FOSUN KINZON CAPITAL;ORIENT HUIWO (BEIJING) TECHNOLOGY DEVELOPMENT CO., LTD;CN;7372 / 7374;Minority stake unknown %
3.;1907178792;27.10.2015;FOSUN KINZON CAPITAL;SHENZHEN LICAIWANG INFORMATION TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
4.;1909265077;07.07.2015;FOSUN KINZON CAPITAL;BEIJING HUIBAO HAITAI NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
5.;1909285864;01.06.2016;FOSUN KINZON CAPITAL;USENS INC.;US;3575;Minority stake unknown %
6.;1907148873;25.03.2016;FOSUN KINZON CAPITAL;BEIJING HUIBAO HAITAI NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
7.;1907121160;17.02.2014;FOSUN KINZON CAPITAL;BEIJING ZHIXING HUIKE EDUCATION TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
8.;1907061082;15.04.2015;FOSUN KINZON CAPITAL;SHENZHEN JINDIE FEIDEE TECHNOLOGY CO., LTD;CN;7371 / 7372 / 7374;Minority stake 8.25%
9.;1907125876;02.11.2015;FOSUN KINZON CAPITAL;WUHAN BANMA KUAIPAO TECHNOLOGY CO., LTD;CN;4212 / 4214 / 6799 / 7372;Minority stake unknown %
10.;1907222563;08.06.2017;FOSUN KINZON CAPITAL;SHANGHAI ZHUYUN INFORMATION TECHNOLOGY CO., LTD;CN;7371 / 7373;Minority stake unknown %
11.;1943025215;11.10.2018;FOSUN KINZON CAPITAL;DIPTAB VENTURES PVT LTD;IN;7374;Minority stake unknown %
12.;1907195773;01.04.2014;FOSUN KINZON CAPITAL;BEIJING CLOUD LEARNING TIMES TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
13.;1907203448;08.03.2017;FOSUN KINZON CAPITAL;YUNDING NETWORK TECHNOLOGY (BEIJING) CO., LTD;CN;3679 / 7371 / 7372;Minority stake unknown %
14.;1907206257;22.03.2017;FOSUN KINZON CAPITAL;BEIJING ZHUGE ROOM SEARCH INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
15.;1907195262;15.12.2016;FOSUN KINZON CAPITAL;BEIJING JINGGUAN TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
16.;1907072578;16.06.2015;FOSUN KINZON CAPITAL;SHANGHAI MOLBASE TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake 10%
17.;1907138090;25.01.2016;FOSUN KINZON CAPITAL;AIWAN INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;7374;Minority stake unknown %
18.;1907155351;29.04.2016;FOSUN KINZON CAPITAL;BEIJING AGRICUM TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
19.;1907184404;28.02.2015;FOSUN KINZON CAPITAL;XIMU FINANCIAL INFORMATION SERVICES (SHANGHAI) CO., LTD;CN;7323;Minority stake unknown %
20.;1907195943;04.02.2017;FOSUN KINZON CAPITAL;SHANGHAI CARWINS INFORMATION TECHNOLOGY CO., LTD;CN;7371 / 7372;Minority stake 20%
21.;1907216235;31.03.2017;FOSUN KINZON CAPITAL;SHANGHAI MOLBASE TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
22.;1909283346;03.03.2015;FOSUN KINZON CAPITAL;NANJING EIGHT DAYS ONLINE NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
23.;1939002402;23.06.2016;FOSUN KINZON CAPITAL;HANGZHOU RISI YEXIANG DATA TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
