;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909606833;19.07.2017;GENERAL MOTORS VENTURES LLC;NAUTO INC.;US;3651 / 7374;Minority stake unknown %
2.;1909525128;03.01.2017;GENERAL MOTORS VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
3.;1909031780;23.12.2013;GENERAL MOTORS VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
4.;1909254297;30.06.2015;GENERAL MOTORS VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
5.;1601278177;13.06.2011;GENERAL MOTORS VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
6.;1909461559;13.07.2016;GENERAL MOTORS VENTURES LLC;ALPHABET ENERGY INC.;US;3674 / 8731;Minority stake unknown %
7.;1601422698;21.11.2012;GENERAL MOTORS VENTURES LLC;PROTERRA INC.;US;3711 / 8731;Minority stake unknown %
8.;1909210846;15.03.2015;GENERAL MOTORS VENTURES LLC;SAKTI3 INC.;US;3692;Minority stake unknown %
9.;1601243616;26.01.2011;GENERAL MOTORS VENTURES LLC;ENVIA SYSTEMS INC.;US;3692;Minority stake unknown %
10.;1941025451;17.01.2018;GENERAL MOTORS VENTURES LLC;SEURAT TECHNOLOGIES INC.;US;8731;Minority stake unknown %
11.;1601293711;26.10.2011;GENERAL MOTORS VENTURES LLC;RELAYRIDES INC.;US;7374 / 7514;Minority stake unknown %
12.;1941015071;29.01.2016;GENERAL MOTORS VENTURES LLC;SOLIDENERGY SYSTEMS CORPORATION;US;2834;Minority stake unknown %
13.;1909631009;18.09.2017;GENERAL MOTORS VENTURES LLC;USHR INC.;US;3829 / 7371 / 7372;Minority stake unknown %
14.;1601289209;28.07.2011;GENERAL MOTORS VENTURES LLC;SUNLOGICS INC.;US;1711 / 3621;Minority stake unknown %
15.;1909228409;30.04.2015;GENERAL MOTORS VENTURES LLC;SIRRUS INC.;US;2821 / 2891;Minority stake unknown %
16.;1601255001;06.01.2011;GENERAL MOTORS VENTURES LLC;POWERMAT USA LLC;US;3629 / 3699;Minority stake unknown %
17.;1601207744;03.08.2010;GENERAL MOTORS VENTURES LLC;BRIGHT AUTOMOTIVE INC.;US;3711;Minority stake unknown %
18.;1601216129;10.09.2010;GENERAL MOTORS VENTURES LLC;SAKTI3 INC.;US;3692;Minority stake unknown %
19.;1601294609;;GENERAL MOTORS VENTURES LLC;COSKATA INC.;US;2869 / 5084 / 5169 / 6792 / 6794;Minority stake unknown %
20.;1601393867;06.08.2012;GENERAL MOTORS VENTURES LLC;NANOSTEEL COMPANY INC.;US;2851 / 3312 / 3313 / 3399 / 8731;Minority stake unknown %
21.;1909259740;13.07.2015;GENERAL MOTORS VENTURES LLC;FLINC AG;DE;7372;Minority stake unknown %
22.;1909265149;28.07.2015;GENERAL MOTORS VENTURES LLC;SDCMATERIALS INC.;US;8731;Minority stake unknown %
23.;1909542678;13.02.2017;GENERAL MOTORS VENTURES LLC;NANOSTEEL COMPANY INC.;US;2851 / 3312 / 3313 / 3399 / 8731;Minority stake unknown %
24.;1909635200;01.01.2014;GENERAL MOTORS VENTURES LLC;FLINC AG;DE;7372;Minority stake unknown %
25.;1909160710;27.10.2014;GENERAL MOTORS VENTURES LLC;TELOGIS INC.;US;7372 / 7374;Minority stake unknown %
