;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909103607;06.06.2014;GV;UBER TECHNOLOGIES INC.;US;7372
2.;1909084453;18.03.2014;GV;CLOUDERA INC.;US;7372 / 7374
3.;1941091345;09.07.2018;GV;NEUTRON HOLDINGS INC.;US;7372 / 7374
4.;1909000045;23.08.2013;GV;UBER TECHNOLOGIES INC.;US;7372
5.;1909248457;19.06.2015;GV;OXFORD SCIENCES INNOVATION PLC;GB;6799
6.;1909392959;20.01.2016;GV;FLURISH INC.;US;7374
7.;1909198957;11.02.2015;GV;JET.COM INC.;US;7374
8.;1941115242;27.07.2018;GV;ALECTOR LLC;US;8731
9.;1941070095;18.04.2018;GV;INTANGIBLE LABS INC.;US;7372 / 7374
10.;1909578322;10.05.2017;GV;CLOVER HEALTH INC.;US;7372 / 7374
11.;1909100692;07.05.2014;GV;FLATIRON HEALTH INC.;US;7371 / 7372 / 7374
12.;1941060242;27.03.2018;GV;INTERCOM INC.;US;7372 / 7374
13.;1941015203;;GV;LEMONADE INC.;US;6311 / 6321 / 6324 / 6331 / 6351
14.;1909271122;10.08.2015;GV;EDITAS MEDICINE INC.;US;8731
15.;1909162620;31.10.2014;GV;SLACK TECHNOLOGIES INC.;US;7372 / 7374
16.;1909605669;17.07.2017;GV;DESKTOP METAL INC.;US;3589 / 3599
17.;1909296993;14.10.2015;GV;23ANDME INC.;US;7371 / 7372 / 7374
18.;1941008928;30.11.2017;GV;FARMER'S BUSINESS NETWORK INC.;US;7372 / 7374
19.;1941046871;28.02.2018;GV;COLLECTIVE HEALTH INC.;US;7374
20.;1909654371;13.11.2017;GV;ARCUS BIOSCIENCES INC.;US;8731
21.;1909307307;11.11.2015;GV;UDACITY INC.;US;7374
22.;1941134184;19.09.2018;GV;GITLAB INC.;US;7372 / 7374
23.;1909394770;12.01.2015;GV;JUICERO INC.;US;2037
24.;1601483516;31.03.2014;GV;COOL PLANET ENERGY SYSTEMS INC.;US;4911
25.;1601144044;15.12.2009;GV;SILVER SPRING NETWORKS INC.;US;7374
26.;1909275830;20.08.2015;GV;CARBON3D INC.;US;2821 / 3089
27.;1941089230;30.05.2018;GV;PACT PHARMA INC.;US;8731
28.;1909491125;03.10.2016;GV;CARRICK THERAPEUTICS LTD;IE;8731
29.;1941058237;15.03.2018;GV;IDEAYA BIOSCIENCES INC.;US;8731
30.;1909626943;07.09.2017;GV;GRITSTONE ONCOLOGY INC.;US;2834 / 8731
31.;1909626377;06.09.2017;GV;TURO INC.;US;7374 / 7514
32.;1909564171;04.04.2017;GV;COHESITY INC.;US;7374
33.;1601273644;26.05.2011;GV;KABAM INC.;US;7374
34.;1909299216;20.10.2015;GV;COLLECTIVE HEALTH INC.;US;7374
35.;1601441769;30.01.2013;GV;NEST LABS INC.;US;3669 / 3822 / 7371 / 7372
36.;1909466970;27.07.2016;GV;UPTHERE INC.;US;7372 / 7374
37.;1909081081;06.03.2014;GV;ON DECK CAPITAL INC.;US;6159 / 7374
38.;1909642648;17.10.2017;GV;FORTY SEVEN INC.;US;2834 / 8731
39.;1909406943;24.02.2016;GV;FORTY SEVEN INC.;US;2834 / 8731
40.;1909156811;15.10.2014;GV;IMPOSSIBLE FOODS INC.;US;2022 / 2099
41.;1909396175;28.01.2016;GV;PINDROP SECURITY INC.;US;7371 / 7372
42.;1941118924;08.08.2018;GV;SQZ BIOTECHNOLOGIES COMPANY;US;8731
43.;1909549707;28.08.2017;GV;FREENOME INC.;US;7374
44.;1909593871;16.06.2017;GV;CLASSPASS INC.;US;7374
45.;1909541519;29.08.2016;GV;ARCUS BIOSCIENCES INC.;US;8731
46.;1909407060;24.02.2016;GV;RANI THERAPEUTICS INC.;US;2834
47.;1909623343;29.08.2017;GV;ARMO BIOSCIENCES INC.;US;8731
48.;1941085162;16.05.2018;GV;FOG PHARMACEUTICALS INC.;US;8731
49.;1941081609;;GV;CELSIUS THERAPEUTICS;US;8731
50.;1941030968;29.01.2018;GV;RIPPLE FOODS PBC;US;2023
51.;1909605002;13.07.2017;GV;SEGMENT.IO INC.;US;7374
52.;1909591208;13.06.2017;GV;CLUTTER INC.;US;4225 / 7374
53.;1941013968;14.12.2017;GV;RELAY THERAPEUTICS INC.;US;2834
54.;1909264932;27.07.2015;GV;SECRET ESCAPES LTD;GB;7374
55.;1941092466;07.06.2018;GV;PODIUM CORPORATION INC.;US;7372 / 7374
56.;1941017273;21.12.2017;GV;FLX BIO INC.;US;8731
57.;1909211154;06.04.2015;GV;ZENPAYROLL INC.;US;7374
58.;1909204893;26.02.2015;GV;KOBALT MUSIC GROUP LTD;GB;2741
59.;1941131140;10.09.2018;GV;BENSON HILL BIOSYSTEMS INC.;US;8731
60.;1601446405;01.05.2013;GV;ON DECK CAPITAL INC.;US;6159 / 7374
61.;1941018965;02.01.2018;GV;DNANEXUS INC.;US;7374
62.;1909291502;28.09.2015;GV;MEDIUM CORPORATION;US;7374
63.;1601462057;14.08.2013;GV;CLEAN POWER FINANCE INC.;US;6141 / 6153 / 6159 / 7374
64.;1601404527;09.01.2013;GV;FOUNDATION MEDICINE INC.;US;2835 / 8731
65.;1601386817;12.07.2012;GV;DOCUSIGN INC.;US;7371 / 7372 / 7374
66.;1941098990;19.06.2018;GV;DECIBEL THERAPEUTICS INC.;US;8731
67.;1909631004;18.09.2017;GV;LIFEMINE THERAPEUTICS INC.;US;2834 / 8731
68.;1909247587;31.05.2015;GV;COHESITY INC.;US;7374
69.;1909634143;26.09.2017;GV;PROSPERWORKS INC.;US;7372 / 7374
70.;1909553040;08.03.2017;GV;SPERO THERAPEUTICS INC.;US;2834 / 8731
71.;1601428852;19.12.2012;GV;23ANDME INC.;US;7371 / 7372 / 7374
72.;1909603629;11.07.2017;GV;EVELO THERAPEUTICS INC.;US;8731
73.;1909575843;04.05.2017;GV;MEOW GLOBAL NETWORKS INC.;US;2099 / 8731
74.;1909574377;02.05.2017;GV;ORBITAL INSIGHT INC.;US;7374
75.;1909574278;02.05.2017;GV;MAGENTA THERAPEUTICS INC.;US;8731
76.;1909430201;21.04.2016;GV;MEDIUM CORPORATION;US;7374
77.;1909246375;10.01.2017;GV;ALEDADE INC.;US;7374
78.;1909223298;20.04.2015;GV;FRESHDESK INC.;US;7372 / 7374
79.;1941055398;20.03.2018;GV;KEEPTRUCKIN INC.;US;7372
80.;1909401075;10.02.2016;GV;ARMO BIOSCIENCES INC.;US;8731
81.;1601378496;14.06.2012;GV;CLIMATE CORPORATION, THE;US;7374
82.;1941011180;06.12.2017;GV;OBSIDIAN THERAPEUTICS INC.;US;8731
83.;1909510796;16.11.2016;GV;MAGENTA THERAPEUTICS INC.;US;8731
84.;1941039501;31.01.2018;GV;TRIFACTA INC.;US;7372 / 7374
85.;1909479574;22.08.2016;GV;LENDUP GLOBAL INC.;US;7374
86.;1909304039;03.11.2015;GV;RELAYRIDES INC.;US;7374 / 7514
87.;1909457760;29.06.2016;GV;CARE.COM INC.;US;7374
88.;1941046888;28.02.2018;GV;MIST SYSTEMS INC.;US;3663 / 7374
89.;1941127221;03.09.2018;GV;EVOX THERAPEUTICS LTD;GB;8731
90.;1909572304;26.04.2017;GV;ARSANIS INC.;US;8731
91.;1909209856;12.03.2015;GV;HIGHFIVE TECHNOLOGIES INC.;US;7374
92.;1909539713;06.02.2017;GV;DESKTOP METAL INC.;US;3589 / 3599
93.;1941148519;13.09.2018;GV;STOCKX LLC;US;7374
94.;1941116619;31.07.2018;GV;YELLOWBRICK DATA INC.;US;7374
95.;1941011444;30.11.2017;GV;FRACTYL LABORATORIES INC.;US;8731
96.;1601251090;28.02.2011;GV;WEATHERBILL INC.;US;6411
97.;1909187281;13.01.2015;GV;IONIC SECURITY INC.;US;7371 / 7374
98.;1943012833;03.01.2018;GV;QUARTET HEALTH INC.;US;7372 / 7374
99.;1941022462;10.01.2018;GV;ANOMALI INC.;US;7372 / 7374
100.;1909639782;10.10.2017;GV;ANDELA INC.;US;7361 / 8243
101.;1909596305;22.06.2017;GV;BLOCKCHAIN LTD;GB;7372 / 7374
102.;1909501629;26.10.2016;GV;GENOMICS MEDICINE IRELAND LTD;IE;8731
103.;1909116314;19.06.2014;GV;PUPPET LABS INC.;US;7371 / 7372
104.;1909075862;25.02.2014;GV;SHAPE SECURITY INC.;US;7371 / 7372
105.;1941009254;07.03.2017;GV;FARMER'S BUSINESS NETWORK INC.;US;7372 / 7374
106.;1909552703;07.03.2017;GV;FARMER’S BUSINESS NETWORK INC.;US;7374
107.;1909426689;14.04.2016;GV;QUARTET HEALTH INC.;US;7372 / 7374
108.;1909330881;29.09.2016;GV;SHAPE SECURITY INC.;US;7371 / 7372
109.;1909050473;05.12.2013;GV;HOMEJOY INC.;US;7374
110.;1907065874;29.09.2014;GV;INNOLIGHT TECHNOLOGY CORPORATION;CN;3663 / 3678 / 3679
111.;1941153268;30.10.2018;GV;ETHOS TECHNOLOGIES INC.;US;6311
112.;1909604048;11.07.2017;GV;BRANDLESS INC.;US;5961
113.;1909407490;25.02.2016;GV;THOUSANDEYES INC.;US;7372 / 7374
114.;1909235472;19.05.2015;GV;SWITCH COMMUNICATIONS INC.;US;7372 / 7374
115.;1909117640;12.08.2014;GV;RELAYRIDES INC.;US;7374 / 7514
116.;1601407138;01.10.2012;GV;TRANSPHORM INC.;US;3674
117.;1601177558;18.10.2011;GV;FOUNDATION MEDICINE INC.;US;2835 / 8731
118.;1909555683;11.05.2017;GV;PODIUM CORPORATION INC.;US;7372 / 7374
119.;1909286848;16.09.2015;GV;ALECTOR LLC;US;8731
120.;1601239873;08.03.2011;GV;HUBSPOT INC.;US;7372 / 7374
121.;1909113616;12.06.2014;GV;FRESHDESK INC.;US;7372 / 7374
122.;1601229376;07.01.2011;GV;23ANDME INC.;US;7371 / 7372 / 7374
123.;1941113596;25.07.2018;GV;SCANDIT AG;CH;7372
