;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941016708;21.12.2017;IBM VENTURES;AUDIMA;BR;7374;Minority stake unknown %
2.;1909218328;01.08.2012;IBM VENTURES;TOSHIBA GLOBAL COMMERCE SOLUTIONS HOLDINGS CORPORATION;JP;3575;Minority stake 19.9%
3.;255287;16.07.2001;IBM VENTURES;CELOX NETWORKS;US;4899 / 7371;Capital Increase unknown stake %
4.;1909629461;13.09.2017;IBM VENTURES;APTTUS CORPORATION;US;7372 / 7374;Minority stake unknown %
5.;137467;18.04.2001;IBM VENTURES;APPLIED SCIENCE FICTION INC.;US;2759 / 2789 / 2796 / 7371 / 7372;Minority stake unknown %
6.;203035;24.03.2004;IBM VENTURES;NOVELL INC.;US;7371 / 7372;Capital Increase unknown stake %
7.;1909327789;06.01.2016;IBM VENTURES;PETRA PHARMA CORPORATION;US;8731;Minority stake unknown %
8.;166980;21.02.2001;IBM VENTURES;RLX TECHNOLOGIES INC.;US;3572 / 7371 / 7372;Minority stake unknown %
9.;1909327934;05.01.2016;IBM VENTURES;PATHWAY GENOMICS CORPORATION;US;8734;Capital Increase unknown stake %
10.;1601106858;03.08.2003;IBM VENTURES;E2OPEN INC.;US;7371 / 7372;Minority stake unknown %
11.;141635;09.12.2002;IBM VENTURES;GARANTI TEKNOLOJI AS;TR;4899 / 7371 / 7372 / 7379;Minority stake unknown %
12.;1941073685;26.04.2018;IBM VENTURES;IFTTT INC.;US;7371 / 7372;Minority stake unknown %
13.;1909071342;12.02.2014;IBM VENTURES;WELLTOK INC.;US;7372 / 7374;Minority stake unknown %
14.;1909326849;11.01.2016;IBM VENTURES;LODO THERAPEUTICS CORPORATION;US;8731;Minority stake unknown %
15.;1909604917;12.07.2017;IBM VENTURES;LIGHTBEND INC.;US;7374;Minority stake unknown %
16.;284420;14.02.2001;IBM VENTURES;SIERRA MONOLITHICS INC.;US;3674;Minority stake unknown %
17.;635343;25.03.2008;IBM VENTURES;ENTERPRISEDB CORPORATION;US;7371 / 7372;Minority stake unknown %
18.;1909235108;19.05.2015;IBM VENTURES;SELLPOINTS INC.;US;7374;Capital Increase unknown stake %
19.;1909235105;19.05.2015;IBM VENTURES;WAYBLAZER INC.;US;7374;Minority stake
20.;1601064268;19.03.2009;IBM VENTURES;BEIJING SMARTDOT TECHNOLOGIES CO., LTD;CN;7371 / 7372;Minority stake 19.45%
21.;1601359209;04.04.2012;IBM VENTURES;SIXX AUTOMAÇÃO COMERCIAL E INFORMATICA LTDA;BR;5044 / 5065 / 7371 / 7376 / 7379;Minority stake 20%
22.;1603004619;15.10.2008;IBM VENTURES;HISENSE TRANSTECH CO., LTD;CN;7371 / 7373;Minority stake 20%
23.;1909167439;12.11.2014;IBM VENTURES;PATHWAY GENOMICS CORPORATION;US;8734;Capital Increase unknown stake %
