;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;642152;28.11.2008;INTEL CAPITAL CORPORATION;CLEARWIRE;US;4899;Minority stake 22%
2.;456786;06.09.2006;INTEL CAPITAL CORPORATION;CLEARWIRE CORPORATION (OLD);US;3661 / 4899;Minority stake unknown %
3.;1601264788;20.04.2011;INTEL CAPITAL CORPORATION;YATRA ONLINE PVT LTD;IN;7374;Minority stake unknown %
4.;113167;08.04.2002;INTEL CAPITAL CORPORATION;COMMUNICANT SEMICONDUCTOR TECHNOLOGIE AG;DE;3674;Minority stake unknown %
5.;1909232028;08.10.2015;INTEL CAPITAL CORPORATION;DOCUSIGN INC.;US;7371 / 7372 / 7374;Minority stake 8.641%
6.;1909510549;18.11.2016;INTEL CAPITAL CORPORATION;SIGFOX WIRELESS SAS;FR;4899;Minority stake unknown %
7.;435761;13.04.2006;INTEL CAPITAL CORPORATION;AMP'D MOBILE INC.;US;4899 / 7371 / 7372;Minority stake unknown %
8.;1909027611;04.10.2013;INTEL CAPITAL CORPORATION;10GEN INC.;US;7371 / 7374;Minority stake unknown %
9.;1909020983;04.10.2013;INTEL CAPITAL CORPORATION;AT&S AUSTRIA TECHNOLOGIE AND SYSTEMTECHNIK AG;AT;3672;Capital Increase unknown stake %
10.;1907013607;26.02.2014;INTEL CAPITAL CORPORATION;JASPER INFOTECH PVT LTD;IN;7374;Minority stake unknown %
11.;1601001489;10.07.2008;INTEL CAPITAL CORPORATION;SULFURCELL SOLARTECHNIK GMBH;DE;3674;Minority stake unknown %
12.;1943011596;28.12.2017;INTEL CAPITAL CORPORATION;HUAQIN TELECOM TECHNOLOGY CO., LTD;CN;3571 / 3661;Minority stake unknown %
13.;144409;;INTEL CAPITAL CORPORATION;ELPIDA MEMORY INC.;JP;3674;Minority stake unknown %
14.;1909486802;19.09.2016;INTEL CAPITAL CORPORATION;THALMIC LABS INC.;CA;3679;Minority stake unknown %
15.;1909198766;11.02.2015;INTEL CAPITAL CORPORATION;SIGFOX WIRELESS SAS;FR;4899;Minority stake unknown %
16.;82887;09.11.2000;INTEL CAPITAL CORPORATION;CENTERBEAM INC.;US;7379;Minority stake unknown %
17.;81563;01.02.2001;INTEL CAPITAL CORPORATION;STRATUS TECHNOLOGIES INC.;US;7371 / 7372 / 7374;Minority stake unknown %
18.;75214;26.09.2000;INTEL CAPITAL CORPORATION;NOVALUX INC.;US;3674;Minority stake unknown %
19.;526951;21.03.2007;INTEL CAPITAL CORPORATION;AMP'D MOBILE INC.;US;4899 / 7371 / 7372;Minority stake unknown %
20.;1909592059;14.06.2017;INTEL CAPITAL CORPORATION;ELEMENT AI INC.;CA;7372 / 7374;Minority stake unknown %
21.;1941148990;25.10.2018;INTEL CAPITAL CORPORATION;DATAROBOT INC.;US;7374;Minority stake unknown %
22.;1941038072;01.02.2018;INTEL CAPITAL CORPORATION;JOBY AVIATION INC.;US;8731;Minority stake unknown %
23.;1909539657;20.10.2017;INTEL CAPITAL CORPORATION;HORIZON ROBOTICS INC.;CN;3674;Minority stake unknown %
24.;1909157893;21.10.2014;INTEL CAPITAL CORPORATION;MIRANTIS INC.;US;7371 / 7372 / 7373;Minority stake unknown %
25.;1601002201;14.07.2008;INTEL CAPITAL CORPORATION;PACIFIC BIOSCIENCES of CALIFORNIA INC.;US;3826 / 7371 / 7372 / 8731;Minority stake unknown %
26.;502943;03.01.2007;INTEL CAPITAL CORPORATION;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
27.;273641;25.09.2000;INTEL CAPITAL CORPORATION;CHIARO NETWORKS INC.;US;3661;Minority stake unknown %
28.;244464;13.03.2001;INTEL CAPITAL CORPORATION;PACKETVIDEO CORPORATION;US;7371 / 7372;Minority stake unknown %
29.;1909276734;24.08.2015;INTEL CAPITAL CORPORATION;MIRANTIS INC.;US;7371 / 7372 / 7373;Minority stake unknown %
30.;1941148698;19.09.2016;INTEL CAPITAL CORPORATION;NORTH INC.;CA;3827;Minority stake unknown %
31.;101845;15.10.2001;INTEL CAPITAL CORPORATION;PHOTONEX CORPORATION;US;3571 / 3572 / 3575 / 7371;Minority stake unknown %
32.;1601273644;26.05.2011;INTEL CAPITAL CORPORATION;KABAM INC.;US;7374;Minority stake unknown %
33.;157773;15.11.2000;INTEL CAPITAL CORPORATION;PHOTONEX CORPORATION;US;3571 / 3572 / 3575 / 7371;Minority stake unknown %
34.;207484;04.01.2001;INTEL CAPITAL CORPORATION;NETWORK ELEMENTS INC.;US;3661 / 3663 / 3669 / 3674;Minority stake unknown %
35.;1941030615;24.01.2018;INTEL CAPITAL CORPORATION;PRECISIONHAWK INC.;US;3721;Minority stake unknown %
36.;116924;15.04.2002;INTEL CAPITAL CORPORATION;SYNDEO CORPORATION;US;3661 / 7371 / 7372;Minority stake unknown %
37.;111877;25.03.2002;INTEL CAPITAL CORPORATION;SMARTPIPES INC.;US;7371;Minority stake unknown %
38.;472050;23.08.2006;INTEL CAPITAL CORPORATION;KINGSOFT CORPORATION LTD;KY;7371 / 7372 / 7373 / 7374 / 8742;Minority stake unknown %
39.;1909279232;28.08.2015;INTEL CAPITAL CORPORATION;IZETTLE AB;SE;3575 / 6019 / 6099 / 7372 / 7374;Minority stake unknown %
40.;527005;;INTEL CAPITAL CORPORATION;POWERTECH TECHNOLOGY INC.;TW;3672 / 3674;Capital Increase unknown minority stake %
41.;1601368828;;INTEL CAPITAL CORPORATION;DBD DEUTSCHE BREITBAND DIENSTE GMBH;DE;4899;Minority stake unknown %
42.;1909101438;09.05.2014;INTEL CAPITAL CORPORATION;IZETTLE AB;SE;3575 / 6019 / 6099 / 7372 / 7374;Minority stake unknown %
43.;274650;16.01.2001;INTEL CAPITAL CORPORATION;TELERA INC.;US;7371;Minority stake unknown %
44.;551751;;INTEL CAPITAL CORPORATION;XDX INC.;US;8731 / 8734;Minority stake unknown %
45.;1909588609;12.04.2017;INTEL CAPITAL CORPORATION;PELOTON TECHNOLOGY INC.;US;3669;Minority stake unknown %
46.;1907247336;16.01.2016;INTEL CAPITAL CORPORATION;NINEBOT (TIANJIN) TECHNOLOGY CO., LTD;CN;3629 / 3699;Minority stake unknown %
47.;1601257407;11.05.2011;INTEL CAPITAL CORPORATION;CARDIODX INC.;US;2835 / 8731;Minority stake unknown %
