;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601299991;13.09.2011;INVENTAGES VENTURE CAPITAL INVESTMENT;AM-PHARMA BV;NL;8731;Minority stake unknown %
2.;1601028470;11.11.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;ACCERA INC.;US;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
3.;164356;30.04.2003;INVENTAGES VENTURE CAPITAL INVESTMENT;GALILEO PHARMACEUTICALS, INC.;US;2834 / 8731;Minority stake unknown %
4.;1601052738;19.05.2009;INVENTAGES VENTURE CAPITAL INVESTMENT;OPSONA THERAPEUTICS LTD;IE;2834 / 8731;Minority stake unknown %
5.;556330;10.07.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;MOOBELLA LLC;US;2024 / 3556 / 5962;Minority stake unknown %
6.;531110;16.04.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;DIOBEX INC.;US;2834 / 8731;Minority stake unknown %
7.;1601028896;22.10.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;NEUROPTIX CORPORATION;US;8731 / 8734;Minority stake unknown %
8.;1601304705;29.09.2011;INVENTAGES VENTURE CAPITAL INVESTMENT;MSI METHYLATION SCIENCES INC.;CA;2834 / 8731;Minority stake unknown %
9.;1601114693;18.09.2009;INVENTAGES VENTURE CAPITAL INVESTMENT;MOOBELLA LLC;US;2024 / 3556 / 5962;Minority stake unknown %
10.;1601153614;31.03.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;DIOBEX INC.;US;2834 / 8731;Minority stake unknown %
11.;1601305693;04.10.2011;INVENTAGES VENTURE CAPITAL INVESTMENT;PHAGENESIS LTD;GB;3841 / 3845;Minority stake unknown %
12.;1909144329;10.09.2014;INVENTAGES VENTURE CAPITAL INVESTMENT;AM-PHARMA BV;NL;8731;Minority stake
13.;1909151472;30.09.2014;INVENTAGES VENTURE CAPITAL INVESTMENT;COGNOPTIX INC.;US;2835 / 8731;Minority stake unknown %
14.;1601348586;05.03.2012;INVENTAGES VENTURE CAPITAL INVESTMENT;PHOSPHATE THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
15.;513894;29.01.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;HONEST TEA INC.;US;2086;Minority stake unknown %
16.;1601275231;01.06.2011;INVENTAGES VENTURE CAPITAL INVESTMENT;IRON THERAPEUTICS (UK) LTD;GB;2834 / 8731;Minority stake unknown %
17.;1601082493;01.06.2009;INVENTAGES VENTURE CAPITAL INVESTMENT;IMMUNOBIOLOGY LTD;GB;8731;Minority stake unknown %
18.;563199;28.05.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;AM-PHARMA BV;NL;8731;Minority stake unknown %
19.;652151;07.05.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;HEALTHY BEVERAGE COMPANY, THE;US;2086 / 2097 / 5141 / 5142 / 5143 / 5144 / 5145 / 5146 / 5147 / 5148 / 5149;Minority stake unknown %
20.;386419;06.10.2005;INVENTAGES VENTURE CAPITAL INVESTMENT;AM-PHARMA BV;NL;8731;Minority stake unknown %
21.;1601363305;30.04.2009;INVENTAGES VENTURE CAPITAL INVESTMENT;PHYTOMEDICS INC.;US;2834 / 8731;Minority stake unknown %
22.;624691;19.02.2008;INVENTAGES VENTURE CAPITAL INVESTMENT;ORGANIC HOLDING COMPANY INC.;US;5812;Capital Increase 20.466%
23.;1601230034;16.11.2010;INVENTAGES VENTURE CAPITAL INVESTMENT;MOOBELLA LLC;US;2024 / 3556 / 5962;Minority stake unknown %
24.;545843;11.06.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;PHYTOMEDICS INC.;US;2834 / 8731;Minority stake unknown %
25.;322461;24.02.2005;INVENTAGES VENTURE CAPITAL INVESTMENT;OPSONA THERAPEUTICS LTD;IE;2834 / 8731;Minority stake unknown %
26.;1601237726;10.01.2011;INVENTAGES VENTURE CAPITAL INVESTMENT;NEUROPTIX CORPORATION;US;8731 / 8734;Minority stake unknown %
27.;522664;08.03.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;CRYOLOG SA;FR;2011 / 2013 / 2015 / 2021 / 2022 / 2023 / 2024 / 2026 / 2032 / 2033 / 2034 / 2035 / 2037 / 2038 / 2041 / 2043 / 2044 / 2045 / 2046 / 2047 / 2048 / 2051 / 2052 / 2053 / 2062 / 2063 / 2064 / 2066 / 2068 / 2075 / 2077 / 2079 / 2083 / 2087 / 2091 / 2095 / 2096 / 2098 / 2099 / 3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845 / 5461 / 8731;Minority stake unknown %
28.;469349;16.08.2006;INVENTAGES VENTURE CAPITAL INVESTMENT;ACCERA INC.;US;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
29.;219525;20.01.2004;INVENTAGES VENTURE CAPITAL INVESTMENT;PHYTOMEDICS INC.;US;2834 / 8731;Minority stake unknown %
30.;1601153033;21.01.2010;INVENTAGES VENTURE CAPITAL INVESTMENT;TANFIELD FOOD COMPANY LTD, THE;GB;2099;Minority stake unknown %
31.;315236;03.02.2005;INVENTAGES VENTURE CAPITAL INVESTMENT;CAVIS MICROCAPS GMBH;DE;2834 / 8731;Minority stake unknown %
32.;417898;07.02.2006;INVENTAGES VENTURE CAPITAL INVESTMENT;TECHNOLOGIE BIOLACTIS INC.;CA;2834 / 8731;Minority stake unknown %
33.;354312;20.06.2005;INVENTAGES VENTURE CAPITAL INVESTMENT;TRIMED RESEARCH INC.;US;2834 / 8731;Minority stake unknown %
34.;278655;16.09.2004;INVENTAGES VENTURE CAPITAL INVESTMENT;ACCERA INC.;US;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
35.;570256;27.08.2007;INVENTAGES VENTURE CAPITAL INVESTMENT;FOOD QUALITY SENSOR INTERNATIONAL INC.;US;3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845;Minority stake unknown %
36.;486337;31.01.2006;INVENTAGES VENTURE CAPITAL INVESTMENT;CMP THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
37.;220684;22.01.2004;INVENTAGES VENTURE CAPITAL INVESTMENT;SELECTX PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
38.;1601410335;02.10.2012;INVENTAGES VENTURE CAPITAL INVESTMENT;IMMUNOBIOLOGY LTD;GB;8731;Minority stake unknown %
39.;266874;28.07.2004;INVENTAGES VENTURE CAPITAL INVESTMENT;CRYOLOG SA;FR;2011 / 2013 / 2015 / 2021 / 2022 / 2023 / 2024 / 2026 / 2032 / 2033 / 2034 / 2035 / 2037 / 2038 / 2041 / 2043 / 2044 / 2045 / 2046 / 2047 / 2048 / 2051 / 2052 / 2053 / 2062 / 2063 / 2064 / 2066 / 2068 / 2075 / 2077 / 2079 / 2083 / 2087 / 2091 / 2095 / 2096 / 2098 / 2099 / 3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845 / 5461 / 8731;Minority stake unknown %
40.;335657;13.04.2005;INVENTAGES VENTURE CAPITAL INVESTMENT;DNAGE BV;NL;8731;Minority stake unknown %
