;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;377428;31.01.2007;JCI VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373;Minority stake unknown %
2.;234738;30.03.2001;JCI VENTURES;TERABURST NETWORKS INC.;US;3661 / 3674;Minority stake unknown %
3.;260769;19.06.2000;JCI VENTURES;IKNOWMED INC.;US;4899 / 7322 / 7323 / 7334 / 7338 / 7389 / 8999;Minority stake unknown %
4.;224675;02.11.2000;JCI VENTURES;ISUPPLI CORPORATION;US;7322 / 7323 / 7334 / 7338 / 7389 / 8742 / 8748;Minority stake unknown %
5.;145918;03.10.2000;JCI VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373;Minority stake unknown %
6.;184106;30.01.2002;JCI VENTURES;SANTEL NETWORKS INC.;US;3674;Minority stake unknown %
7.;143556;16.12.2002;JCI VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373;Minority stake unknown %
8.;235633;24.04.2001;JCI VENTURES;AXYA MEDICAL INC.;US;3841 / 8731;Minority stake unknown %
9.;231147;08.03.2004;JCI VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373;Minority stake unknown %
10.;1909217878;07.04.2015;JCI VENTURES;REDSEAL INC.;US;7371 / 7372;Minority stake unknown %
11.;198025;16.02.2002;JCI VENTURES;SOUND ID;US;3841 / 3845 / 8731;Minority stake unknown %
12.;224669;15.11.2001;JCI VENTURES;ISUPPLI CORPORATION;US;7322 / 7323 / 7334 / 7338 / 7389 / 8742 / 8748;Minority stake unknown %
13.;317242;29.05.2000;JCI VENTURES;ADVANCED HARDWARE ARCHITECTURES;US;3674;Minority stake unknown %
14.;1941095993;12.06.2018;JCI VENTURES;ALCATRAZ AI INC.;US;7372 / 7374;Minority stake unknown %
15.;239895;13.04.2004;JCI VENTURES;AXYA MEDICAL INC.;US;3841 / 8731;Minority stake unknown %
16.;1909190461;20.01.2015;JCI VENTURES;ALCHEMIST ACCELERATOR LLC;US;6799 / 8742;Minority stake unknown %
17.;1909215502;27.03.2015;JCI VENTURES;WAYGUM INC.;US;7372;Minority stake unknown %
18.;1909445171;31.05.2016;JCI VENTURES;CONTINUSE BIOMETRICS LTD;IL;3845 / 8731;Minority stake unknown %
19.;306022;04.01.2005;JCI VENTURES;SUTURTEK INC.;US;3841 / 8731;Minority stake unknown %
