;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909547826;01.07.2015;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;ACHILLION PHARMACEUTICALS INC.;US;8731;Capital Increase 15.6%
2.;1909064278;29.01.2014;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;GENMAB A/S;DK;2834 / 8731;Capital Increase 8.162%
3.;1601317715;17.11.2011;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;BIOCARTIS SA;CH;3826 / 3845 / 8731;Minority stake unknown %
4.;1909471855;09.08.2016;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CVRX INC.;US;3841 / 8731;Minority stake unknown %
5.;1909141751;04.09.2014;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;BIOCARTIS NV;BE;3826 / 3845 / 8731;Minority stake unknown %
6.;1601006245;30.07.2008;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CVRX INC.;US;3841 / 8731;Minority stake unknown %
7.;1909278237;26.08.2015;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;MERUS BV;NL;8731;Minority stake unknown %
8.;1601411873;16.10.2012;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;GENMAB A/S;DK;2834 / 8731;Capital Increase 10.734%
9.;1601026843;29.10.2010;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;BIOLEX THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
10.;1941075525;26.04.2018;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;V-WAVE LTD;IL;3842;Minority stake unknown %
11.;385873;14.12.2005;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;LIGHT SCIENCES ONCOLOGY INC.;US;3841 / 8731;Minority stake unknown %
12.;1941129116;06.09.2018;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;TWENTYEIGHT-SEVEN INC.;US;8731;Minority stake unknown %
13.;536972;09.05.2007;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CVRX INC.;US;3841 / 8731;Minority stake unknown %
14.;1909604183;12.07.2017;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;E-SCAPE BIO INC.;US;8731;Minority stake unknown %
15.;161020;14.03.2000;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;GENAISSANCE PHARMACEUTICALS INC.;US;8731;Minority stake unknown %
16.;1601286841;19.07.2011;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;NEVRO CORPORATION;US;3841 / 8731;Minority stake unknown %
17.;195445;08.10.2003;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CRITICAL THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
18.;1909005164;29.07.2013;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;REVISION OPTICS INC.;US;3841 / 3842 / 3843 / 3851 / 8072 / 8731;Minority stake unknown %
19.;1909112949;11.06.2014;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;ADURO BIOTECH INC.;US;8731;Minority stake unknown %
20.;1941145030;17.10.2018;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CURASEN THERAPEUTICS INC.;US;8731;Minority stake unknown %
21.;585139;19.11.2008;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;TENGION INC.;US;2834 / 2836 / 8731;Minority stake unknown %
22.;1601343487;07.05.2012;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;CELLADON CORPORATION;US;2834 / 8731;Minority stake unknown %
23.;454107;26.06.2006;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;TENGION INC.;US;2834 / 2836 / 8731;Minority stake unknown %
24.;1909429018;05.04.2016;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;TESARO INC.;US;2834 / 8731;Capital Increase 2.729%
25.;511213;29.01.2007;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;INNERPULSE INC.;US;3841 / 3842 / 3843 / 3851 / 8072 / 8731;Minority stake unknown %
26.;216836;06.01.2005;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;INFINITY PHARMACEUTICALS INC. (OLD);US;2834 / 8731;Minority stake 15%
27.;212398;10.12.2003;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;VOLCANO THERAPEUTICS INC.;US;3841 / 3845 / 8731;Minority stake unknown %
28.;1601148448;05.06.2012;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;PHASEBIO PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
29.;1909327789;06.01.2016;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;PETRA PHARMA CORPORATION;US;8731;Minority stake unknown %
30.;1601453260;07.03.2013;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;NEVRO CORPORATION;US;3841 / 8731;Minority stake unknown %
31.;1909634509;25.09.2017;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;FUSION PHARMACEUTICALS INC.;CA;8731;Minority stake unknown %
32.;129336;03.09.2002;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;KUDOS PHARMACEUTICALS LTD;GB;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
33.;1601429179;12.12.2012;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;BIOCARTIS SA;CH;3826 / 3845 / 8731;Minority stake unknown %
34.;1909395341;26.01.2016;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;INIVATA LTD;GB;8731;Minority stake unknown %
35.;1601143794;15.12.2009;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;MOLECULAR PARTNERS AG;CH;8731;Minority stake unknown %
36.;135459;26.09.2000;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;LUMENOS INC.;US;6321 / 6324;Minority stake unknown %
37.;195609;02.03.2004;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;OMNISONICS MEDICAL TECHNOLOGIES INC.;US;3841 / 3845 / 8731;Minority stake unknown %
38.;1909158656;29.10.2014;JOHNSON & JOHNSON DEVELOPMENT CORPORATION;BAVARIAN NORDIC A/S;DK;2834 / 8731;Capital Increase 4.85%
