;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909270550;05.08.2015;KDDI OPEN INNOVATION FUND;JIBO INC.;US;3575 / 3651
2.;1943053041;28.08.2018;KDDI OPEN INNOVATION FUND;UNABIZ HOLDINGS PTE LTD;SG;4899
3.;1907158591;25.05.2016;KDDI OPEN INNOVATION FUND;CREEMA, INC.;JP;7374
4.;1943045300;15.06.2018;KDDI OPEN INNOVATION FUND;DAILY CO., LTD;KR;7372
5.;1907153382;18.04.2016;KDDI OPEN INNOVATION FUND;LOCO PARTNERS INC.;JP;4725 / 7374 / 7389
6.;1943056134;12.09.2018;KDDI OPEN INNOVATION FUND;CLUSTER INC.;JP;7374
7.;1909129066;28.07.2014;KDDI OPEN INNOVATION FUND;POGOSEAT INC.;US;7372
8.;1907130250;25.11.2015;KDDI OPEN INNOVATION FUND;AOI. CO.;JP;7374 / 8299
9.;1941012938;17.10.2013;KDDI OPEN INNOVATION FUND;IRIDGE INC.;JP;7336 / 7371 / 7372 / 7374 / 8742 / 8999
10.;1939004321;16.01.2012;KDDI OPEN INNOVATION FUND;GIFTEE INC.;JP;7372 / 7374
11.;1907085538;30.01.2015;KDDI OPEN INNOVATION FUND;MIST TECHNOLOGIES INC.;JP;7374
12.;1907158468;19.05.2016;KDDI OPEN INNOVATION FUND;HACOSCO INC.;JP;3861 / 7372
13.;1907203415;08.03.2017;KDDI OPEN INNOVATION FUND;ITANDI, INC.;JP;7373 / 7374
14.;1907218267;18.05.2017;KDDI OPEN INNOVATION FUND;TX INC.;JP;3559 / 3575 / 7374
15.;1909609304;10.11.2016;KDDI OPEN INNOVATION FUND;UNDO TSUSHINSHA, KK;JP;7374
16.;1909621299;30.10.2015;KDDI OPEN INNOVATION FUND;LOGLY INC.;JP;7374
17.;1939004118;18.12.2014;KDDI OPEN INNOVATION FUND;RICHMEDIA CO., LTD;JP;7371 / 7372 / 7374
18.;1941024783;27.02.2015;KDDI OPEN INNOVATION FUND;MONOHM INC.;US;3669
19.;1941129034;04.09.2018;KDDI OPEN INNOVATION FUND;MAD STREET DEN INC.;US;7371 / 7372
20.;1943053403;28.08.2018;KDDI OPEN INNOVATION FUND;UNABIZ HOLDINGS PTE LTD;SG;4899
21.;1943055130;06.09.2018;KDDI OPEN INNOVATION FUND;MAD STREET DEN SYSTEMS PVT LTD;IN;7374
