;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;245650;28.12.2000;KODAK EXTERNAL ALLIANCES;R2 TECHNOLOGY INC.;US;7371 / 8731
2.;289263;05.02.2001;KODAK EXTERNAL ALLIANCES;IFILM CORPORATION;US;4899
3.;159903;23.05.2001;KODAK EXTERNAL ALLIANCES;BE HERE CORPORATION;US;3861 / 7371
4.;267016;11.06.2001;KODAK EXTERNAL ALLIANCES;DATAPLAY INC.;US;7371
5.;156172;14.03.2003;KODAK EXTERNAL ALLIANCES;EASTMAN KODAK (CHINA) CO., LTD;CN;3861 / 5043 / 7384
6.;163285;03.06.2003;KODAK EXTERNAL ALLIANCES;NANOSYS INC.;US;8731
7.;199476;23.02.2004;KODAK EXTERNAL ALLIANCES;LUCKY FILM CO., LTD;CN;2899 / 3861
8.;1601131217;14.02.2005;KODAK EXTERNAL ALLIANCES;MINERVA NETWORKS INC.;US;7371 / 7372
9.;1601115526;31.03.2006;KODAK EXTERNAL ALLIANCES;TOPICA INC.;US;4899 / 7331
10.;1601121794;13.09.2007;KODAK EXTERNAL ALLIANCES;GEMFIRE CORPORATION;US;3674 / 5065 / 8731
11.;1601157245;04.02.2010;KODAK EXTERNAL ALLIANCES;LENSVECTOR INC.;US;3827
12.;85130;;KODAK EXTERNAL ALLIANCES;GRETAG IMAGING HOLDING AG;CH;3861
