;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;495765;29.11.2006;KT VENTURE GROUP LLC;KALYPSYS INC.;US;2834 / 8731;Minority stake unknown %
2.;1601025028;22.10.2008;KT VENTURE GROUP LLC;ADVANCED MICRO-FABRICATION EQUIPMENT INC.;CN;3559;Minority stake unknown %
3.;482786;09.10.2006;KT VENTURE GROUP LLC;ADVANCED MICRO-FABRICATION EQUIPMENT INC.;CN;3559;Minority stake unknown %
4.;268885;04.08.2004;KT VENTURE GROUP LLC;KALYPSYS INC.;US;2834 / 8731;Minority stake unknown %
5.;1601255877;17.03.2011;KT VENTURE GROUP LLC;BIONANOMATRIX INC.;US;2899 / 3674 / 3826 / 3827 / 3829 / 7371;Minority stake unknown %
6.;185686;31.03.2003;KT VENTURE GROUP LLC;NANONEXUS INC.;US;3661 / 3663 / 3669;Minority stake unknown %
7.;454049;12.02.2008;KT VENTURE GROUP LLC;PYXIS TECHNOLOGY INC.;US;7371;Minority stake unknown %
8.;1601003350;19.05.2008;KT VENTURE GROUP LLC;MOLECULAR IMPRINTS INC.;US;3555 / 8731;Minority stake unknown %
9.;1601105238;18.08.2009;KT VENTURE GROUP LLC;ADVANCED INQUIRY SYSTEMS INC.;US;3829;Minority stake unknown %
10.;1601176601;13.04.2010;KT VENTURE GROUP LLC;QCEPT TECHNOLOGIES INC.;US;3823 / 7371;Minority stake unknown %
11.;405669;17.01.2007;KT VENTURE GROUP LLC;ASETEK A/S;DK;3575;Minority stake unknown %
12.;1601047251;15.12.2008;KT VENTURE GROUP LLC;TELA INNOVATIONS INC.;US;3674;Minority stake unknown %
13.;635583;26.03.2008;KT VENTURE GROUP LLC;BIONANOMATRIX INC.;US;2899 / 3674 / 3826 / 3827 / 3829 / 7371;Minority stake unknown %
14.;351469;09.06.2005;KT VENTURE GROUP LLC;CLEAR SHAPE TECHNOLOGIES INC.;US;3674;Minority stake unknown %
15.;483200;18.09.2006;KT VENTURE GROUP LLC;VIGNANI TECHNOLOGIES PVT LTD;IN;7371 / 7372 / 7389 / 8711;Minority stake unknown %
16.;1601067582;07.04.2009;KT VENTURE GROUP LLC;PYXIS TECHNOLOGY INC.;US;7371;Minority stake unknown %
17.;359909;12.07.2005;KT VENTURE GROUP LLC;APRIO TECHNOLOGIES INC.;US;7371;Minority stake unknown %
18.;1601001470;14.05.2008;KT VENTURE GROUP LLC;TESEDA CORPORATION;US;7371;Minority stake unknown %
