;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1943030872;26.04.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;INNOVENT BIOLOGICS INC.;KY;2834 / 8731;Minority stake unknown %
2.;1941115242;27.07.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;ALECTOR LLC;US;8731;Minority stake unknown %
3.;1941031618;23.01.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;TMUNITY THERAPEUTICS INC.;US;8731;Minority stake unknown %
4.;1909191511;22.01.2015;LILLY VENTURES MANAGEMENT COMPANY LLC;INNOVENT BIOLOGICS INC.;KY;2834 / 8731;Minority stake unknown %
5.;1907234427;06.06.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;HANGZHOU JUST BIOTHERAPEUTICS LTD;CN;2833 / 8731;Minority stake unknown %
6.;1909626943;07.09.2017;LILLY VENTURES MANAGEMENT COMPANY LLC;GRITSTONE ONCOLOGY INC.;US;2834 / 8731;Minority stake unknown %
7.;1941113867;26.07.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;SUTRO BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
8.;1941080817;14.05.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;ANSUN BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
9.;1941158402;30.10.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;TERNS PHARMACEUTICALS INC.;US;2834;Minority stake unknown %
10.;1941137618;28.09.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;KSQ THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
11.;1909477449;28.03.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;SINGLERA GENOMICS INC.;CN;8071;Minority stake unknown %
12.;1943009802;30.12.2017;LILLY VENTURES MANAGEMENT COMPANY LLC;HUNAN SHENGXIANG BIOLOGICAL TECHNOLOGY CO., LTD;CN;3841 / 8731;Minority stake unknown %
13.;1941060366;28.03.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;TEMPEST THERAPEUTICS INC.;US;8731;Minority stake unknown %
14.;1941153864;12.11.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;HARPOON THERAPEUTICS INC.;US;8731;Minority stake unknown %
15.;1907212205;19.04.2017;LILLY VENTURES MANAGEMENT COMPANY LLC;TIANJIN CANSINO BIOTECHNOLOGY INC.;CN;2836;Minority stake unknown %
16.;1941093049;06.06.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;METACRINE INC.;US;2834 / 8731;Minority stake unknown %
17.;1941092753;05.06.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
18.;1909604183;12.07.2017;LILLY VENTURES MANAGEMENT COMPANY LLC;E-SCAPE BIO INC.;US;8731;Minority stake unknown %
19.;1909104365;19.05.2014;LILLY VENTURES MANAGEMENT COMPANY LLC;COHERUS BIOSCIENCES INC.;US;2834 / 8731;Minority stake unknown %
20.;1909509757;31.07.2016;LILLY VENTURES MANAGEMENT COMPANY LLC;HANGZHOU JUST BIOTHERAPEUTICS LTD;CN;2833 / 8731;Minority stake unknown %
21.;341051;11.04.2006;LILLY VENTURES MANAGEMENT COMPANY LLC;BAYHILL THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
22.;1909539283;01.10.2008;LILLY VENTURES MANAGEMENT COMPANY LLC;NOVAST LABORATORIES LTD;CN;2834;Minority stake unknown %
23.;1909582883;23.05.2017;LILLY VENTURES MANAGEMENT COMPANY LLC;TP THERAPEUTICS INC.;US;8731;Minority stake unknown %
24.;509275;23.01.2007;LILLY VENTURES MANAGEMENT COMPANY LLC;CYLENE PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
25.;1909213513;23.03.2015;LILLY VENTURES MANAGEMENT COMPANY LLC;AEGLEA BIOTHERAPEUTICS INC.;US;8731;Minority stake unknown %
26.;185993;03.06.2002;LILLY VENTURES MANAGEMENT COMPANY LLC;XENOPORT INC.;US;2834 / 8731;Minority stake unknown %
27.;1909211740;18.03.2015;LILLY VENTURES MANAGEMENT COMPANY LLC;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
28.;1601085405;14.01.2013;LILLY VENTURES MANAGEMENT COMPANY LLC;AILERON THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
29.;580069;26.09.2007;LILLY VENTURES MANAGEMENT COMPANY LLC;GLOBEIMMUNE INC.;US;2834 / 8731;Minority stake unknown %
30.;1943033069;10.05.2018;LILLY VENTURES MANAGEMENT COMPANY LLC;MABSPACE BIOSCIENCES CO., LTD;CN;2834 / 8731;Minority stake unknown %
