;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909231101;01.06.2016;M12;UBER TECHNOLOGIES INC.;US;7372;Minority stake unknown %
2.;1907175032;10.08.2017;M12;FLIPKART INTERNET PVT LTD;IN;7374;Minority stake unknown %
3.;71703;14.07.2000;M12;TELEWEST COMMUNICATIONS PLC;GB;4813 / 4822;Capital Increase 22.98%
4.;1909434862;06.05.2016;M12;PIVOTAL SOFTWARE INC.;US;7372 / 7374;Capital Increase unknown stake %
5.;52917;06.11.1999;M12;TELIGENT INC.;US;4813 / 4822;Minority stake 14%
6.;107143;24.12.2001;M12;KOREA TELECOM CORPORATION;KR;4813 / 4822 / 4899;Capital Increase unknown stake %
7.;40881;03.12.1998;M12;THOMSON MULTIMÉDIA SA;FR;3651;Minority stake 30%
8.;42003;26.01.1999;M12;UNITED PAN-EUROPE COMMUNICATIONS NV;NL;4841 / 4899;Minority stake unknown %
9.;1601365884;04.10.2012;M12;NOOK MEDIA LLC;US;2731 / 5731 / 7372;Minority stake 17.6%
10.;577467;;M12;FACEBOOK INC.;US;7374;Capital increase 1.6%
11.;1909289052;21.09.2015;M12;CLOUDFLARE INC.;US;7374;Minority stake unknown %
12.;1941066132;11.04.2018;M12;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
13.;1909592059;14.06.2017;M12;ELEMENT AI INC.;CA;7372 / 7374;Minority stake unknown %
14.;1941146887;23.10.2018;M12;TEAM8 LABS LTD;IL;6799 / 7374 / 8742;Minority stake unknown %
15.;1941014913;02.12.1999;M12;EQUINIX INC.;US;7372 / 7374;Minority stake unknown %
16.;258371;15.05.2000;M12;2ND CENTURY COMMUNICATIONS;US;7371;Minority stake unknown %
17.;1909419352;24.03.2016;M12;MESOSPHERE INC.;US;7371 / 7372;Minority stake unknown %
18.;111877;25.03.2002;M12;SMARTPIPES INC.;US;7371;Minority stake unknown %
19.;1601302261;21.09.2011;M12;ADCHEMY INC.;US;7371 / 7374;Minority stake unknown %
20.;1909211770;18.03.2015;M12;INSIDESALES.COM INC.;US;7371 / 7372 / 7373 / 7374;Minority stake 4%
21.;1941018965;02.01.2018;M12;DNANEXUS INC.;US;7374;Minority stake unknown %
22.;103756;10.10.2001;M12;GROOVE NETWORKS INC.;US;7371 / 7372;Minority stake 20%
23.;65099;09.06.2000;M12;UNITED PAN-EUROPE COMMUNICATIONS NV;NL;4841 / 4899;Minority stake increased from 7% to 8%
24.;1909556973;16.03.2017;M12;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
25.;1601133073;05.10.2010;M12;APPNEXUS INC.;US;7372 / 7374;Minority stake unknown %
26.;1909531658;18.01.2017;M12;INSIDESALES.COM INC.;US;7371 / 7372 / 7373 / 7374;Minority stake unknown %
27.;1909014959;04.02.2014;M12;FOURSQUARE LABS INC.;US;7372 / 7374;Minority stake unknown %
28.;1601110272;16.04.2001;M12;BLACKBOARD INC.;US;7371 / 7372 / 7374;Minority stake unknown %
29.;31692;24.09.1997;M12;LERNOUT & HAUSPIE SPEECH PRODUCTS NV;BE;7371;Minority stake unknown %
30.;158090;11.12.2001;M12;INFOLIBRIA INC;US;7371 / 7372;Minority stake unknown %
31.;43988;31.03.1999;M12;TV CABO PORTUGAL SA;PT;4841;Minority stake 2.5%
32.;154302;05.03.2003;M12;GROOVE NETWORKS INC.;US;7371 / 7372;Minority stake unknown %
33.;1909319069;10.12.2015;M12;SNAPLOGIC INC.;US;7374;Minority stake unknown %
34.;599895;27.11.2007;M12;PLATFORM SOLUTIONS INC.;US;3572 / 7371;Minority stake unknown %
35.;1941051168;20.02.2018;M12;DYNAMIC SIGNAL INC.;US;7372 / 7374;Minority stake unknown %
36.;1909500507;24.10.2016;M12;PAXATA INC.;US;7374;Minority stake unknown %
37.;1909627462;07.09.2017;M12;AIROBOTICS LTD;IL;3721 / 7372;Minority stake unknown %
38.;1601104520;17.03.2000;M12;NEXTVENUE INC.;US;4899;Minority stake unknown %
39.;1941151916;06.11.2018;M12;RAPIDSOS INC.;US;7372;Minority stake unknown %
40.;1909650740;01.11.2017;M12;MARKFORGED INC.;US;3559 / 7374;Minority stake unknown %
41.;1909635039;28.09.2017;M12;ONFIDO LTD;GB;7372 / 7374;Minority stake unknown %
42.;1941099058;20.06.2018;M12;BEAMERY INC.;US;7374;Minority stake unknown %
43.;1941113356;25.06.2018;M12;TACT.AI TECHNOLOGIES INC.;US;7374;Minority stake unknown %
44.;1909547155;23.02.2017;M12;AIRMAP INC.;US;7374;Minority stake unknown %
45.;1909631948;19.09.2017;M12;AQUA SECURITY SOFTWARE LTD;IL;7372 / 7374;Minority stake unknown %
46.;1941147067;05.11.2018;M12;SYNTIANT CORPORATION;US;3674;Minority stake unknown %
47.;1941051166;12.12.2016;M12;DYNAMIC SIGNAL INC.;US;7372 / 7374;Minority stake unknown %
48.;1909539793;07.02.2017;M12;SNAPROUTE INC.;US;7374;Minority stake unknown %
49.;422049;;M12;LANG CHAO INTERNATIONAL LTD;KY;7371 / 7372;Capital increase 30.369%
50.;1601042501;12.01.2009;M12;N-TRIG LTD;IL;3575 / 7371;Minority stake unknown %
51.;1909447699;07.06.2016;M12;HELPSHIFT INC.;US;7372 / 7374;Minority stake unknown %
52.;1941024310;11.01.2018;M12;UNBABEL UNIPESSOAL LDA;PT;7374;Minority stake unknown %
53.;1909626610;06.09.2017;M12;ZIPWHIP INC.;US;7372 / 7374;Minority stake unknown %
