;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;595376;10.06.2011;MEDIMMUNE VENTURES INC.;AMBIT BIOSCIENCES CORPORATION;US;2834 / 8731
2.;486645;;MEDIMMUNE VENTURES INC.;VAXINNATE CORPORATION;US;2833 / 2834 / 2835 / 2836 / 8731
3.;458576;25.10.2007;MEDIMMUNE VENTURES INC.;XENCOR INC.;US;2834 / 8731
4.;1941075119;25.04.2018;MEDIMMUNE VENTURES INC.;CORVIDIA THERAPEUTICS INC.;US;2834 / 8731
5.;195445;08.10.2003;MEDIMMUNE VENTURES INC.;CRITICAL THERAPEUTICS INC.;US;2834 / 8731
6.;143155;03.01.2003;MEDIMMUNE VENTURES INC.;IOMAI CORPORATION;US;2834 / 8731
7.;452277;16.06.2006;MEDIMMUNE VENTURES INC.;VLST CORPORATION;US;2834 / 8731
8.;520545;12.01.2010;MEDIMMUNE VENTURES INC.;VENTIRX PHARMACEUTICALS INC.;US;2834 / 8731
9.;624296;17.04.2008;MEDIMMUNE VENTURES INC.;BRAINCELLS INC.;US;2834 / 8731
10.;452648;20.06.2006;MEDIMMUNE VENTURES INC.;RIB-X PHARMACEUTICALS INC.;US;2834 / 8731
11.;1601129385;29.10.2009;MEDIMMUNE VENTURES INC.;VIRDANTE PHARMACEUTICALS INC.;US;2833 / 8731
12.;1601177759;13.12.2011;MEDIMMUNE VENTURES INC.;CATABASIS PHARMACEUTICALS INC.;US;2834 / 8731
13.;179475;17.07.2003;MEDIMMUNE VENTURES INC.;TERCICA INC.;US;2834 / 8731
14.;441382;09.05.2006;MEDIMMUNE VENTURES INC.;AVIDIA INC.;US;2834 / 8731
15.;1909030683;15.10.2013;MEDIMMUNE VENTURES INC.;ADC THERAPEUTICS SARL;CH;8731
16.;1601421934;19.11.2012;MEDIMMUNE VENTURES INC.;APPLIED GENETIC TECHNOLOGIES CORPORATION;US;2834 / 8731
17.;1601118140;18.10.2004;MEDIMMUNE VENTURES INC.;VANDA PHARMACEUTICALS INC.;US;2834 / 8731
18.;504421;08.01.2007;MEDIMMUNE VENTURES INC.;SEQUOIA PHARMACEUTICALS INC.;US;2834 / 8731
19.;583116;09.10.2007;MEDIMMUNE VENTURES INC.;METASTATIX INC.;US;2834 / 8731
20.;373601;30.08.2005;MEDIMMUNE VENTURES INC.;INOTEK PHARMACEUTICALS CORPORATION;US;2834 / 8731
21.;339594;28.04.2005;MEDIMMUNE VENTURES INC.;RECEPTOR BIOLOGIX INC.;US;2834 / 8731
22.;1909196659;05.02.2015;MEDIMMUNE VENTURES INC.;G1 THERAPEUTICS INC.;US;2834 / 8731
23.;1909042896;15.11.2013;MEDIMMUNE VENTURES INC.;CATABASIS PHARMACEUTICALS INC.;US;2834 / 8731
24.;470728;23.08.2006;MEDIMMUNE VENTURES INC.;KEMIA INC.;US;2833 / 2834 / 2835 / 2836 / 8731
25.;1601075543;06.05.2009;MEDIMMUNE VENTURES INC.;VAXINNATE CORPORATION;US;2833 / 2834 / 2835 / 2836 / 8731
26.;341404;05.05.2005;MEDIMMUNE VENTURES INC.;AVIDIA INC.;US;2834 / 8731
27.;631660;18.03.2008;MEDIMMUNE VENTURES INC.;LIGOCYTE PHARMACEUTICALS INC.;US;2836 / 8731
28.;281396;29.09.2004;MEDIMMUNE VENTURES INC.;CELLECTIVE THERAPEUTICS INC.;US;2834 / 8731
29.;1601418100;06.11.2012;MEDIMMUNE VENTURES INC.;AMBIT BIOSCIENCES CORPORATION;US;2834 / 8731
30.;1601045753;26.01.2009;MEDIMMUNE VENTURES INC.;RIB-X PHARMACEUTICALS INC.;US;2834 / 8731
31.;1601287780;10.06.2010;MEDIMMUNE VENTURES INC.;INOTEK PHARMACEUTICALS CORPORATION;US;2834 / 8731
32.;232224;11.03.2004;MEDIMMUNE VENTURES INC.;VAXINNATE CORPORATION;US;2833 / 2834 / 2835 / 2836 / 8731
33.;268917;13.07.2006;MEDIMMUNE VENTURES INC.;ELUSYS THERAPEUTICS INC.;US;2834 / 8731
34.;1601046601;16.01.2009;MEDIMMUNE VENTURES INC.;HYDRA BIOSCIENCES INC.;US;2834 / 8731
35.;1909025236;27.09.2013;MEDIMMUNE VENTURES INC.;INOTEK PHARMACEUTICALS CORPORATION;US;2834 / 8731
36.;239862;13.04.2004;MEDIMMUNE VENTURES INC.;INOTEK PHARMACEUTICALS CORPORATION;US;2834 / 8731
37.;570041;23.08.2007;MEDIMMUNE VENTURES INC.;INOTEK PHARMACEUTICALS CORPORATION;US;2834 / 8731
38.;209878;01.12.2003;MEDIMMUNE VENTURES INC.;APPLIED GENETIC TECHNOLOGIES CORPORATION;US;2834 / 8731
39.;1601197938;17.06.2010;MEDIMMUNE VENTURES INC.;CORRIDOR PHARMACEUTICALS INC.;US;2834 / 8731
40.;1909031243;16.10.2013;MEDIMMUNE VENTURES INC.;G1 THERAPEUTICS INC.;US;2834 / 8731
41.;1601411145;12.09.2008;MEDIMMUNE VENTURES INC.;SYNOVEX CORPORATION;US;2834 / 8731
42.;1601387379;16.07.2012;MEDIMMUNE VENTURES INC.;COFERON INC.;US;2834 / 8731
43.;1601078408;01.05.2009;MEDIMMUNE VENTURES INC.;APPLIED GENETIC TECHNOLOGIES CORPORATION;US;2834 / 8731
44.;1601060779;16.03.2009;MEDIMMUNE VENTURES INC.;NKT THERAPEUTICS INC.;US;2834 / 8731
45.;1601125857;29.02.2008;MEDIMMUNE VENTURES INC.;ARRIVA PHARMACEUTICALS INC.;US;2833 / 2834 / 2835 / 2836 / 5122 / 8731
46.;474778;07.09.2006;MEDIMMUNE VENTURES INC.;METASTATIX INC.;US;2834 / 8731
47.;1601411134;08.06.2006;MEDIMMUNE VENTURES INC.;SYNOVEX CORPORATION;US;2834 / 8731
48.;1601028661;23.10.2008;MEDIMMUNE VENTURES INC.;ARGINETIX INC.;US;2834 / 8731
49.;175933;09.06.2003;MEDIMMUNE VENTURES INC.;MICROMET AG;DE;2834 / 8731
50.;1601429308;12.12.2012;MEDIMMUNE VENTURES INC.;CERAPEDICS INC.;US;3842 / 8731
51.;1633054989;01.12.2011;MEDIMMUNE VENTURES INC.;NEUPROTECT PTY LTD;AU;2834 / 8731
