;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;449409;08.06.2006;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SCHERING AG;DE;2833 / 2834;Minority stake increased from 5.461% to 10.1%
2.;1909526319;01.03.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;GRAIL INC.;US;8731;Minority stake unknown %
3.;450637;13.06.2006;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SCHERING AG;DE;2833 / 2834;Minority stake increased from 20.72% to 21.8%
4.;1941115242;27.07.2018;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ALECTOR LLC;US;8731;Minority stake unknown %
5.;1941066132;11.04.2018;MERCK GLOBAL HEALTH INNOVATION FUND LLC;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
6.;1941147869;26.10.2018;MERCK GLOBAL HEALTH INNOVATION FUND LLC;GALECTO BIOTECH AB;SE;2834 / 8731;Minority stake unknown %
7.;1941119719;10.08.2018;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
8.;1909628840;29.11.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ELECTROCORE LLC;US;3841 / 8731;Minority stake unknown %
9.;1909263167;30.07.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;RANA THERAPEUTICS INC.;US;8731;Minority stake unknown %
10.;1909312452;23.11.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;OBSEVA SA;CH;2834 / 8731;Minority stake unknown %
11.;1909631004;18.09.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;LIFEMINE THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
12.;535400;03.05.2007;MERCK GLOBAL HEALTH INNOVATION FUND LLC;AVEO PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
13.;1941100137;27.06.2018;MERCK GLOBAL HEALTH INNOVATION FUND LLC;CARISMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
14.;1909553040;08.03.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SPERO THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
15.;1601040624;06.01.2009;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ANACOR PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
16.;1601464367;30.06.2014;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ELECTROCORE LLC;US;3841 / 8731;Minority stake unknown %
17.;1909493226;22.09.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;IOMX THERAPEUTICS AG;DE;2834;Minority stake unknown %
18.;1909425804;12.04.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
19.;1909393998;20.07.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;AKILI INTERACTIVE LABS INC.;US;7371 / 7372;Minority stake unknown %
20.;1909306232;10.11.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
21.;1909505176;13.02.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
22.;1601041555;22.03.2012;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ANAPHORE INC.;US;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
23.;1909409529;29.02.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;MEDCPU INC.;US;7374;Minority stake unknown %
24.;1909487382;21.09.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
25.;1909286848;16.09.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ALECTOR LLC;US;8731;Minority stake unknown %
26.;1909539812;07.02.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;PREXTON THERAPEUTICS SA;CH;2834 / 8731;Minority stake unknown %
27.;1909292471;29.09.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ASCENEURON SA;CH;8731;Minority stake unknown %
28.;1909397992;02.02.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SPERO THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
29.;1909243735;08.06.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SPERO THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
30.;1909653571;14.11.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;SYAPSE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
31.;1909151957;02.10.2014;MERCK GLOBAL HEALTH INNOVATION FUND LLC;VISTERRA INC.;US;2834 / 8731;Minority stake unknown %
32.;1909545144;05.01.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ARCADIA HEALTHCARE SOLUTIONS INC.;US;7371 / 7373 / 7374;Minority stake unknown %
33.;1601327318;21.06.2013;MERCK GLOBAL HEALTH INNOVATION FUND LLC;AVIIR INC.;US;8071 / 8731;Minority stake unknown %
34.;1909328463;07.01.2016;MERCK GLOBAL HEALTH INNOVATION FUND LLC;ALECTOR LLC;US;8731;Minority stake unknown %
35.;1601434966;24.09.2013;MERCK GLOBAL HEALTH INNOVATION FUND LLC;PATIENTSAFE SOLUTIONS INC.;US;7372 / 7374;Minority stake unknown %
36.;1909162486;31.10.2014;MERCK GLOBAL HEALTH INNOVATION FUND LLC;IMAGO BIOSCIENCES INC.;US;2834 / 8731;Minority stake unknown %
37.;1909633610;24.09.2017;MERCK GLOBAL HEALTH INNOVATION FUND LLC;PATIENTSAFE SOLUTIONS INC.;US;7372 / 7374;Minority stake unknown %
38.;1909238702;28.05.2015;MERCK GLOBAL HEALTH INNOVATION FUND LLC;CLEARDATA NETWORKS INC.;US;7374;Minority stake unknown %
39.;573509;06.01.2010;MERCK GLOBAL HEALTH INNOVATION FUND LLC;F-STAR BIOTECHNOLOGISCHE FORSCHUNGS UND ENTWICKLUNGSGES MBH;AT;2834 / 8731;Minority stake unknown %
40.;1909155807;14.10.2014;MERCK GLOBAL HEALTH INNOVATION FUND LLC;RAZE THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
41.;1909180340;18.12.2014;MERCK GLOBAL HEALTH INNOVATION FUND LLC;PADLOCK THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
42.;1909059806;;MERCK GLOBAL HEALTH INNOVATION FUND LLC;WELLDOC INC.;US;7371 / 7372;Minority stake unknown %
43.;1601263089;13.04.2011;MERCK GLOBAL HEALTH INNOVATION FUND LLC;F-STAR BIOTECHNOLOGISCHE FORSCHUNGS UND ENTWICKLUNGSGES MBH;AT;2834 / 8731;Minority stake unknown %
