;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601347049;06.04.2012;MICRON VENTURES;INTEL CORPORATION'S TWO WAFER FACTORIES;US;3674;Minority stake unknown %
2.;1600004386;26.11.2008;MICRON VENTURES;INOTERA MEMORIES INC.;TW;3674;Minority stake 35.6%
3.;1633084699;29.06.2012;MICRON VENTURES;REXCHIP ELECTRONICS CORPORATION;TW;3674 / 5065;Minority stake 21.312%
4.;1633084704;29.06.2012;MICRON VENTURES;REXCHIP ELECTRONICS CORPORATION;TW;3674 / 5065;Minority stake 2.155%
5.;643107;09.04.2008;MICRON VENTURES;LINK_A_MEDIA DEVICES CORPORATION;US;3674;Minority stake unknown %
6.;588151;23.10.2007;MICRON VENTURES;SIIMPEL CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
7.;544221;05.06.2007;MICRON VENTURES;ARTIFICIAL MUSCLE INC.;US;2821 / 3357 / 3398 / 3411 / 3412 / 3421 / 3425 / 3429 / 3432 / 3441 / 3442 / 3443 / 3444 / 3446 / 3448 / 3449 / 3451 / 3452 / 3462 / 3463 / 3466 / 3469 / 3471 / 3479 / 3482 / 3483 / 3484 / 3489 / 3491 / 3492 / 3493 / 3494 / 3495 / 3496 / 3498 / 3499 / 3562 / 3599 / 3624 / 3629 / 3643 / 3644 / 3691 / 3692 / 3699;Minority stake unknown %
8.;1601031046;17.11.2008;MICRON VENTURES;SIIMPEL CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
9.;1601061900;17.03.2009;MICRON VENTURES;EDGEWARE AB;SE;7372;Minority stake unknown %
10.;1909107122;31.08.2012;MICRON VENTURES;OVONYX INC.;US;3674;Minority stake unknown %
