;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941109815;12.07.2018;MONSANTO GROWTH VENTURES;AGBIOME LLC;US;8731;Minority stake unknown %
2.;1941049104;07.03.2018;MONSANTO GROWTH VENTURES;ATOMWISE INC.;US;7374;Minority stake unknown %
3.;1909276084;20.08.2015;MONSANTO GROWTH VENTURES;AGBIOME LLC;US;8731;Minority stake unknown %
4.;1941056662;20.03.2018;MONSANTO GROWTH VENTURES;PAIRWISE PLANTS LLC;US;0139 / 0161 / 0191 / 8731;Minority stake unknown %
5.;1909602959;09.07.2017;MONSANTO GROWTH VENTURES;NEWLEAF SYMBIOTICS INC.;US;2836 / 8731;Minority stake unknown %
6.;1909321629;16.12.2015;MONSANTO GROWTH VENTURES;BLUE RIVER TECHNOLOGY INC.;US;3523 / 7371 / 8731;Minority stake unknown %
7.;1909453448;22.06.2016;MONSANTO GROWTH VENTURES;RESSON INC.;CA;7372;Minority stake unknown %
8.;1941084389;08.05.2018;MONSANTO GROWTH VENTURES;RESSON INC.;CA;7372;Minority stake unknown %
9.;1909558121;20.03.2017;MONSANTO GROWTH VENTURES;FARMLEAD RESOURCES LTD;CA;7374;Minority stake unknown %
10.;1909313690;25.11.2015;MONSANTO GROWTH VENTURES;PLANTRESPONSE BIOTECH SL;ES;8731;Minority stake unknown %
11.;1909560424;07.05.2015;MONSANTO GROWTH VENTURES;ARVEGENIX INC.;US;0711 / 0721;Minority stake unknown %
12.;1909560425;22.03.2017;MONSANTO GROWTH VENTURES;ARVEGENIX INC.;US;0711 / 0721;Minority stake unknown %
13.;1909379612;01.10.2014;MONSANTO GROWTH VENTURES;PIVOT BIO INC.;US;0723;Minority stake unknown %
14.;1941085185;23.05.2018;MONSANTO GROWTH VENTURES;GRAO DIRETO LTDA;BR;7372 / 7374;Minority stake unknown %
15.;1909511021;06.01.2016;MONSANTO GROWTH VENTURES;WEATHERME OU;EE;7372 / 7374;Minority stake unknown %
16.;1909576822;06.01.2016;MONSANTO GROWTH VENTURES;HYDROBIO INC.;US;7372 / 7374;Minority stake unknown %
