;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;456786;06.09.2006;MOTOROLA VENTURES;CLEARWIRE CORPORATION (OLD);US;3661 / 4899;Minority stake unknown %
2.;540573;22.05.2007;MOTOROLA VENTURES;NAVINI NETWORKS INC.;US;3663;Minority stake unknown %
3.;510344;25.01.2007;MOTOROLA VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
4.;519418;27.02.2007;MOTOROLA VENTURES;DEXTERRA INC.;US;7371;Minority stake unknown %
5.;486611;25.10.2006;MOTOROLA VENTURES;ZOOMSYSTEMS CORPORATION;US;7371 / 7372;Minority stake unknown %
6.;392344;02.11.2005;MOTOROLA VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
7.;1601225015;27.10.2010;MOTOROLA VENTURES;CLEVERSAFE INC.;US;7374;Minority stake unknown %
8.;1601179858;22.04.2010;MOTOROLA VENTURES;ZENVERGE INC.;US;3674 / 7371 / 7372;Minority stake unknown %
9.;417518;31.12.2005;MOTOROLA VENTURES;APERTIO LTD;GB;7371;Minority stake unknown %
10.;417152;06.02.2006;MOTOROLA VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
11.;1601178318;17.05.2011;MOTOROLA VENTURES;BLACKARROW INC.;US;7371 / 7372;Minority stake unknown %
12.;539336;11.05.2007;MOTOROLA VENTURES;TURIN NETWORKS INC.;US;3663;Minority stake unknown %
13.;450706;13.06.2006;MOTOROLA VENTURES;SEQUOIA COMMUNICATIONS;US;3674;Minority stake unknown %
14.;406720;04.01.2006;MOTOROLA VENTURES;ENTROPIC COMMUNICATIONS INC.;US;3674;Minority stake unknown %
15.;513505;06.02.2007;MOTOROLA VENTURES;TANGO NETWORKS INC.;US;3571 / 3572 / 3575 / 7371 / 7372;Minority stake unknown %
16.;372066;24.08.2005;MOTOROLA VENTURES;INTELLON CORPORATION;US;3661 / 3663 / 3669 / 3674;Minority stake unknown %
17.;1601281313;27.06.2011;MOTOROLA VENTURES;VIVOTECH INC.;US;3575 / 7371 / 7374;Minority stake unknown %
18.;461454;21.02.2007;MOTOROLA VENTURES;SEQUANS COMMUNICATIONS SA;FR;3674;Minority stake unknown %
19.;1601185608;05.05.2010;MOTOROLA VENTURES;INVIDI TECHNOLOGIES CORPORATION;US;7371 / 7372;Minority stake unknown %
20.;1909296610;13.10.2015;MOTOROLA VENTURES;CYPHY WORKS INC.;US;3721 / 8731;Minority stake unknown %
21.;1601019163;06.08.2008;MOTOROLA VENTURES;AMOBEE INC.;US;7311 / 7374 / 8742;Minority stake unknown %
