;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909050062;19.02.2014;MP HEALTHCARE VENTURE MANAGEMENT INC;COVAGEN AG;CH;2834 / 8731;Minority stake unknown %
2.;1909306232;10.11.2015;MP HEALTHCARE VENTURE MANAGEMENT INC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
3.;1909505176;13.02.2017;MP HEALTHCARE VENTURE MANAGEMENT INC;MIRAGEN THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
4.;1601414968;25.10.2012;MP HEALTHCARE VENTURE MANAGEMENT INC;THRASOS THERAPEUTICS INC.;CA;2834 / 8731;Minority stake unknown %
5.;1601243619;03.01.2011;MP HEALTHCARE VENTURE MANAGEMENT INC;GENOCEA BIOSCIENCES INC.;US;2836 / 8731;Minority stake unknown %
6.;1909155723;06.09.2016;MP HEALTHCARE VENTURE MANAGEMENT INC;RIGONTEC GMBH;DE;8731;Minority stake unknown %
7.;1601410372;10.10.2012;MP HEALTHCARE VENTURE MANAGEMENT INC;GENOCEA BIOSCIENCES INC.;US;2836 / 8731;Minority stake unknown %
8.;573509;06.01.2010;MP HEALTHCARE VENTURE MANAGEMENT INC;F-STAR BIOTECHNOLOGISCHE FORSCHUNGS UND ENTWICKLUNGSGES MBH;AT;2834 / 8731;Minority stake unknown %
9.;1601147398;05.01.2010;MP HEALTHCARE VENTURE MANAGEMENT INC;SILENCE THERAPEUTICS PLC;GB;8731;Capital Increase 23.311%
10.;1601263089;13.04.2011;MP HEALTHCARE VENTURE MANAGEMENT INC;F-STAR BIOTECHNOLOGISCHE FORSCHUNGS UND ENTWICKLUNGSGES MBH;AT;2834 / 8731;Minority stake unknown %
11.;1601025831;07.01.2009;MP HEALTHCARE VENTURE MANAGEMENT INC;INTRADIGM CORPORATION;US;2834 / 8731;Minority stake unknown %
12.;1601272773;24.05.2011;MP HEALTHCARE VENTURE MANAGEMENT INC;GENKYOTEX SA;CH;8731;Minority stake unknown %
13.;1909217088;31.03.2015;MP HEALTHCARE VENTURE MANAGEMENT INC;THRASOS THERAPEUTICS INC.;CA;2834 / 8731;Minority stake unknown %
14.;1909571882;25.04.2017;MP HEALTHCARE VENTURE MANAGEMENT INC;FORGE THERAPEUTICS INC.;US;8731;Minority stake unknown %
15.;1909034138;23.10.2013;MP HEALTHCARE VENTURE MANAGEMENT INC;F-STAR ALPHA LTD;GB;2834;Minority stake unknown %
16.;1601197728;17.06.2010;MP HEALTHCARE VENTURE MANAGEMENT INC;FERROKIN BIOSCIENCES INC.;US;2834 / 8731;Minority stake unknown %
17.;1601330537;30.12.2011;MP HEALTHCARE VENTURE MANAGEMENT INC;SYNDEXA PHARMACEUTICALS CORPORATION;US;2834 / 8731;Minority stake unknown %
18.;1601030004;01.10.2008;MP HEALTHCARE VENTURE MANAGEMENT INC;PHARMESTE SRL;IT;8731;Minority stake unknown %
19.;1601232361;29.11.2010;MP HEALTHCARE VENTURE MANAGEMENT INC;COVAGEN AG;CH;2834 / 8731;Minority stake unknown %
20.;1601335316;19.01.2012;MP HEALTHCARE VENTURE MANAGEMENT INC;PRONOTA NV;BE;8731;Minority stake unknown %
21.;1941156924;19.11.2018;MP HEALTHCARE VENTURE MANAGEMENT INC;QURALIS CORPORATION;US;2834 / 8731;Minority stake unknown %
22.;1601130012;30.10.2009;MP HEALTHCARE VENTURE MANAGEMENT INC;PRONOTA NV;BE;8731;Minority stake unknown %
23.;1601123826;05.10.2009;MP HEALTHCARE VENTURE MANAGEMENT INC;COVAGEN AG;CH;2834 / 8731;Minority stake unknown %
24.;1941062878;26.03.2018;MP HEALTHCARE VENTURE MANAGEMENT INC;QURALIS CORPORATION;US;2834 / 8731;Minority stake unknown %
