;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909221743;15.04.2015;NOKIA GROWTH PARTNERS US LLC;RETAILNEXT INC.;US;7372 / 7374;Minority stake unknown %
2.;1907034874;12.03.2014;NOKIA GROWTH PARTNERS US LLC;QUIKR MAURITIUS HOLDING PVT LTD;MU;7374;Minority stake unknown %
3.;1909651254;02.11.2017;NOKIA GROWTH PARTNERS US LLC;GETYOURGUIDE AG;CH;7374;Minority stake unknown %
4.;1909588609;12.04.2017;NOKIA GROWTH PARTNERS US LLC;PELOTON TECHNOLOGY INC.;US;3669;Minority stake unknown %
5.;1907063951;17.09.2014;NOKIA GROWTH PARTNERS US LLC;QUIKR MAURITIUS HOLDING PVT LTD;MU;7374;Minority stake unknown %
6.;1909308513;13.11.2015;NOKIA GROWTH PARTNERS US LLC;GETYOURGUIDE AG;CH;7374;Minority stake unknown %
7.;1601382641;28.06.2012;NOKIA GROWTH PARTNERS US LLC;ROCKET FUEL INC.;US;7371 / 7372 / 7374;Minority stake unknown %
8.;1941043881;21.02.2018;NOKIA GROWTH PARTNERS US LLC;MOOVIT APP GLOBAL LTD;IL;7371 / 7372 / 7374;Minority stake unknown %
9.;1909182558;25.12.2014;NOKIA GROWTH PARTNERS US LLC;TRANZMATE LTD;IL;7372 / 7374;Minority stake unknown %
10.;1909070993;11.02.2014;NOKIA GROWTH PARTNERS US LLC;KALTURA INC.;US;7372 / 7374;Minority stake unknown %
11.;1909582121;16.05.2017;NOKIA GROWTH PARTNERS US LLC;MENA 360 DWC LLC;AE;4215 / 4513 / 7372;Minority stake unknown %
12.;601342;11.02.2009;NOKIA GROWTH PARTNERS US LLC;INSIDE CONTACTLESS SA;FR;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731;Minority stake unknown %
13.;1633053082;15.11.2011;NOKIA GROWTH PARTNERS US LLC;GOLDSQUARE SALES INDIA PVT LTD;IN;7374;Minority stake unknown %
14.;535370;16.02.2009;NOKIA GROWTH PARTNERS US LLC;VIVOTECH INC.;US;3575 / 7371 / 7374;Minority stake unknown %
15.;1909432146;28.04.2016;NOKIA GROWTH PARTNERS US LLC;VOITURELIB SAS;FR;7372 / 7374 / 7514;Minority stake unknown %
16.;1909535292;26.01.2017;NOKIA GROWTH PARTNERS US LLC;WORKFUSION INC.;US;7372 / 7374;Minority stake unknown %
17.;1909179480;16.12.2014;NOKIA GROWTH PARTNERS US LLC;INVISAGE TECHNOLOGIES INC.;US;3674 / 8731;Minority stake unknown %
18.;1941113596;25.07.2018;NOKIA GROWTH PARTNERS US LLC;SCANDIT AG;CH;7372;Minority stake unknown %
19.;1909123202;08.07.2014;NOKIA GROWTH PARTNERS US LLC;RETAILNEXT INC.;US;7372 / 7374;Minority stake unknown %
20.;1909640339;12.10.2017;NOKIA GROWTH PARTNERS US LLC;SECURITYSCORECARD INC.;US;7372 / 7373 / 7374;Minority stake unknown %
21.;1601281313;27.06.2011;NOKIA GROWTH PARTNERS US LLC;VIVOTECH INC.;US;3575 / 7371 / 7374;Minority stake unknown %
22.;1601025582;30.09.2008;NOKIA GROWTH PARTNERS US LLC;ZVENTS INC.;US;7374;Minority stake unknown %
23.;1907070593;30.10.2014;NOKIA GROWTH PARTNERS US LLC;DIGITAL LUMENS INC.;US;3648 / 7372;Minority stake unknown %
24.;1601165144;03.03.2010;NOKIA GROWTH PARTNERS US LLC;CLOUDMARK INC.;US;7371 / 7372;Minority stake unknown %
25.;1907233664;07.04.2015;NOKIA GROWTH PARTNERS US LLC;BEIJING MEICAN QIAODA TECHNOLOGY CO., LTD;CN;5812;Minority stake unknown %
26.;1907094932;07.04.2015;NOKIA GROWTH PARTNERS US LLC;BEIJING QINGSONG MEICAN TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
27.;1909258131;08.07.2015;NOKIA GROWTH PARTNERS US LLC;LESSON NINE GMBH;DE;7372 / 7374;Minority stake unknown %
28.;1943049042;07.08.2018;NOKIA GROWTH PARTNERS US LLC;SHADOWFAX TECHNOLOGIES PVT LTD;IN;7374;Minority stake unknown %
29.;1909394991;25.01.2016;NOKIA GROWTH PARTNERS US LLC;CEDEXIS INC.;US;7372 / 7374;Minority stake unknown %
30.;1601098529;20.07.2009;NOKIA GROWTH PARTNERS US LLC;HEPTAGON;CH;3679;Minority stake unknown %
31.;607674;10.03.2008;NOKIA GROWTH PARTNERS US LLC;DECENTRAL.TV CORPORATION;US;7371 / 8999;Minority stake unknown %
32.;1941093248;04.06.2018;NOKIA GROWTH PARTNERS US LLC;CAROOBI GMBH;DE;7374;Minority stake unknown %
33.;1909514461;30.11.2016;NOKIA GROWTH PARTNERS US LLC;BIOWINK GMBH;DE;7372;Minority stake unknown %
