;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909218072;07.04.2015;NOVARTIS VENTURE FUND;NABRIVA THERAPEUTICS AG;AT;8731;Minority stake unknown %
2.;1909278237;26.08.2015;NOVARTIS VENTURE FUND;MERUS BV;NL;8731;Minority stake unknown %
3.;1941119719;10.08.2018;NOVARTIS VENTURE FUND;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
4.;464164;07.08.2008;NOVARTIS VENTURE FUND;ESBATECH AG;CH;2834 / 8731 / 8734;Minority stake unknown %
5.;1941129116;06.09.2018;NOVARTIS VENTURE FUND;TWENTYEIGHT-SEVEN INC.;US;8731;Minority stake unknown %
6.;1909604183;12.07.2017;NOVARTIS VENTURE FUND;E-SCAPE BIO INC.;US;8731;Minority stake unknown %
7.;515170;12.02.2007;NOVARTIS VENTURE FUND;OMEROS CORPORATION;US;2834 / 8731;Minority stake unknown %
8.;1601470692;01.05.2013;NOVARTIS VENTURE FUND;PROTEUS DIGITAL HEALTH INC.;US;7371 / 7372 / 8731;Minority stake unknown %
9.;1909452031;20.06.2016;NOVARTIS VENTURE FUND;F2G LTD;GB;8731;Minority stake unknown %
10.;1909263477;23.07.2015;NOVARTIS VENTURE FUND;RA PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
11.;195867;09.01.2004;NOVARTIS VENTURE FUND;SPEEDEL PHARMA AG;CH;2833 / 2834 / 2835 / 2836 / 8731;Minority stake unknown %
12.;1601216256;30.06.2011;NOVARTIS VENTURE FUND;SORBENT THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
13.;1941019235;03.01.2018;NOVARTIS VENTURE FUND;EXPANSION THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
14.;1601343487;07.05.2012;NOVARTIS VENTURE FUND;CELLADON CORPORATION;US;2834 / 8731;Minority stake unknown %
15.;1909170469;20.11.2014;NOVARTIS VENTURE FUND;BIONANO GENOMICS INC.;US;2899 / 3674 / 3826 / 3827 / 3829 / 7371;Minority stake unknown %
16.;1909586010;01.06.2017;NOVARTIS VENTURE FUND;BICYCLE THERAPEUTICS LTD;GB;8731;Minority stake unknown %
17.;1909395725;27.01.2016;NOVARTIS VENTURE FUND;ADICET BIO INC.;US;8731;Minority stake unknown %
18.;417793;31.01.2006;NOVARTIS VENTURE FUND;NABRIVA THERAPEUTICS FORSCHUNGS GMBH;AT;2834 / 8731;Minority stake unknown %
19.;1909050062;19.02.2014;NOVARTIS VENTURE FUND;COVAGEN AG;CH;2834 / 8731;Minority stake unknown %
20.;216836;06.01.2005;NOVARTIS VENTURE FUND;INFINITY PHARMACEUTICALS INC. (OLD);US;2834 / 8731;Minority stake 15%
21.;1601470642;29.04.2013;NOVARTIS VENTURE FUND;OPSONA THERAPEUTICS LTD;IE;2834 / 8731;Minority stake unknown %
22.;487530;30.10.2006;NOVARTIS VENTURE FUND;NOVIMMUNE SA;CH;2834 / 8731;Minority stake unknown %
23.;1941156343;19.11.2018;NOVARTIS VENTURE FUND;INFLAZOME LTD;IE;8731;Minority stake unknown %
24.;1601476933;20.05.2013;NOVARTIS VENTURE FUND;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
25.;1601020906;25.08.2008;NOVARTIS VENTURE FUND;PROTEOSTASIS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
26.;1909452977;23.06.2016;NOVARTIS VENTURE FUND;ANNEXON INC.;US;2836 / 8731;Minority stake unknown %
27.;1909213513;23.03.2015;NOVARTIS VENTURE FUND;AEGLEA BIOTHERAPEUTICS INC.;US;8731;Minority stake unknown %
28.;1909232032;25.06.2015;NOVARTIS VENTURE FUND;AUTONOMIC TECHNOLOGIES INC.;US;3841;Minority stake unknown %
29.;1909027290;03.10.2013;NOVARTIS VENTURE FUND;MERUS BV;NL;8731;Minority stake unknown %
30.;1601085405;14.01.2013;NOVARTIS VENTURE FUND;AILERON THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
31.;1601461878;08.04.2013;NOVARTIS VENTURE FUND;GENSIGHT BIOLOGICS SA;FR;8731;Minority stake unknown %
32.;1941065876;12.04.2018;NOVARTIS VENTURE FUND;ENTERPRISE THERAPEUTICS LTD;GB;8731;Minority stake unknown %
33.;1909091149;07.04.2014;NOVARTIS VENTURE FUND;ALIOS BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
34.;1601482071;04.06.2013;NOVARTIS VENTURE FUND;AKEBIA THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
35.;1909575269;04.05.2017;NOVARTIS VENTURE FUND;VIVET THERAPEUTICS SAS;FR;8731;Minority stake unknown %
36.;1601033066;11.11.2009;NOVARTIS VENTURE FUND;CELLERIX SA;ES;2834 / 8731;Minority stake 25%
37.;181842;07.04.2004;NOVARTIS VENTURE FUND;AGY THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
38.;1909323856;22.12.2015;NOVARTIS VENTURE FUND;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
39.;1601073023;27.04.2009;NOVARTIS VENTURE FUND;VISIOGEN INC.;US;3827 / 8731;Minority stake unknown %
40.;1909608583;24.07.2017;NOVARTIS VENTURE FUND;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
41.;1601125832;20.10.2009;NOVARTIS VENTURE FUND;GLYCOMIMETICS INC.;US;2834 / 8731;Minority stake unknown %
42.;576731;20.09.2007;NOVARTIS VENTURE FUND;CELLERIX SA;ES;2834 / 8731;Minority stake unknown %
43.;1909099722;05.05.2014;NOVARTIS VENTURE FUND;ANOKION SA;CH;8731;Minority stake unknown %
44.;1909283697;08.09.2015;NOVARTIS VENTURE FUND;PROTEOSTASIS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
45.;1909297070;14.10.2015;NOVARTIS VENTURE FUND;GALERA THERAPEUTICS LLC;US;2834 / 8731;Minority stake unknown %
46.;1909263134;23.07.2015;NOVARTIS VENTURE FUND;GENSIGHT BIOLOGICS SA;FR;8731;Minority stake unknown %
47.;1601475023;15.05.2013;NOVARTIS VENTURE FUND;TOKAI PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
48.;1907187881;23.01.2017;NOVARTIS VENTURE FUND;ATLAS GENETICS LTD;GB;3845 / 8731;Minority stake unknown %
49.;1909042574;29.10.2014;NOVARTIS VENTURE FUND;AILERON THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
50.;327612;16.03.2005;NOVARTIS VENTURE FUND;TORREYPINES THERAPEUTICS INC. (OLD);US;2834 / 8731;Minority stake unknown %
51.;1909178787;15.12.2014;NOVARTIS VENTURE FUND;ANNEXON INC.;US;2836 / 8731;Minority stake unknown %
52.;1909155957;14.10.2014;NOVARTIS VENTURE FUND;BICYCLE THERAPEUTICS LTD;GB;8731;Minority stake unknown %
53.;1601051297;11.06.2009;NOVARTIS VENTURE FUND;ALIOS BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
54.;164356;30.04.2003;NOVARTIS VENTURE FUND;GALILEO PHARMACEUTICALS, INC.;US;2834 / 8731;Minority stake unknown %
55.;1601155544;29.01.2010;NOVARTIS VENTURE FUND;MERUS BV;NL;8731;Minority stake unknown %
56.;1601130185;02.11.2009;NOVARTIS VENTURE FUND;PULMATRIX INC.;US;2834 / 8731;Minority stake unknown %
57.;1601098834;27.07.2009;NOVARTIS VENTURE FUND;AVILA THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
58.;418097;09.02.2006;NOVARTIS VENTURE FUND;CATALYST BIOSCIENCES INC.;US;2834 / 8731;Minority stake unknown %
59.;1601196692;15.06.2010;NOVARTIS VENTURE FUND;FOLDRX PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
60.;1601052738;19.05.2009;NOVARTIS VENTURE FUND;OPSONA THERAPEUTICS LTD;IE;2834 / 8731;Minority stake unknown %
61.;1601250429;29.04.2014;NOVARTIS VENTURE FUND;ATLAS GENETICS LTD;GB;3845 / 8731;Minority stake unknown %
62.;1909221079;14.04.2015;NOVARTIS VENTURE FUND;INNOCRIN PHARMACEUTICALS INC.;US;2834;Minority stake unknown %
63.;1909201792;19.02.2015;NOVARTIS VENTURE FUND;MERGANSER BIOTECH INC.;US;2834 / 8731;Minority stake unknown %
64.;1601061267;16.06.2010;NOVARTIS VENTURE FUND;AKEBIA THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
65.;631660;18.03.2008;NOVARTIS VENTURE FUND;LIGOCYTE PHARMACEUTICALS INC.;US;2836 / 8731;Minority stake unknown %
66.;1601205021;09.03.2011;NOVARTIS VENTURE FUND;EUTHYMICS BIOSCIENCE INC.;US;2834 / 8731;Minority stake unknown %
67.;1601164153;16.05.2012;NOVARTIS VENTURE FUND;RA PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
68.;1601137258;24.11.2009;NOVARTIS VENTURE FUND;OXAGEN LTD;GB;8731 / 8734;Minority stake unknown %
69.;95479;06.08.2001;NOVARTIS VENTURE FUND;IGENEON KREBS-IMMUNTHERAPIE FORSCHUNGS- UND ENTWICKLUNGS AG;AT;2834 / 8731;Minority stake unknown %
70.;1909527568;06.01.2017;NOVARTIS VENTURE FUND;CAVION INC.;US;8731;Minority stake unknown %
71.;1601221126;07.10.2010;NOVARTIS VENTURE FUND;SYMETIS SA;CH;3841 / 8731;Minority stake unknown %
72.;546554;08.06.2007;NOVARTIS VENTURE FUND;BIORELIX INC.;US;2834 / 8731;Minority stake unknown %
73.;1601139654;01.12.2009;NOVARTIS VENTURE FUND;FORMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
74.;1941115888;01.08.2018;NOVARTIS VENTURE FUND;AKOUOS INC.;US;8731;Minority stake unknown %
75.;1601370192;15.05.2012;NOVARTIS VENTURE FUND;SONITUS MEDICAL INC.;US;3841 / 8731;Minority stake unknown %
76.;1601346222;21.04.2010;NOVARTIS VENTURE FUND;PROTEUS BIOMEDICAL INC.;US;3841 / 5047 / 8731;Minority stake unknown %
77.;1601139709;06.01.2009;NOVARTIS VENTURE FUND;FORMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
78.;1909155807;14.10.2014;NOVARTIS VENTURE FUND;RAZE THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
79.;138552;30.07.2001;NOVARTIS VENTURE FUND;NEREUS PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
80.;1909159546;07.10.2015;NOVARTIS VENTURE FUND;QUARTET MEDICINE INC.;US;2834 / 8731;Minority stake unknown %
81.;557094;;NOVARTIS VENTURE FUND;IMMUNE TARGETING SYSTEMS (ITS) LTD;GB;8731;Minority stake unknown %
82.;1601301771;20.09.2011;NOVARTIS VENTURE FUND;TOKAI PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
83.;1601128531;28.10.2009;NOVARTIS VENTURE FUND;NABRIVA THERAPEUTICS AG;AT;8731;Minority stake unknown %
84.;1909206495;04.03.2015;NOVARTIS VENTURE FUND;MACROLIDE PHARMACEUTICALS INC.;US;2833 / 8731;Minority stake unknown %
85.;1909096574;23.04.2014;NOVARTIS VENTURE FUND;AERPIO THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
86.;1601076318;08.05.2009;NOVARTIS VENTURE FUND;TOKAI PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
87.;557739;17.07.2007;NOVARTIS VENTURE FUND;ABLATION FRONTIERS INC.;US;3841 / 3842 / 3843 / 3851 / 8072 / 8731;Minority stake unknown %
88.;1601092026;02.07.2009;NOVARTIS VENTURE FUND;SYMETIS SA;CH;3841 / 8731;Minority stake unknown %
89.;1601025831;07.01.2009;NOVARTIS VENTURE FUND;INTRADIGM CORPORATION;US;2834 / 8731;Minority stake unknown %
90.;1909101348;08.05.2014;NOVARTIS VENTURE FUND;IMAGINAB INC.;US;2834 / 8731;Minority stake unknown %
91.;1601216644;14.09.2010;NOVARTIS VENTURE FUND;OKAIROS AG;CH;2834 / 8731;Minority stake unknown %
92.;1941021517;04.01.2018;NOVARTIS VENTURE FUND;OCULIS SA;CH;8731;Minority stake unknown %
93.;1909193443;29.01.2015;NOVARTIS VENTURE FUND;ATLAS GENETICS LTD;GB;3845 / 8731;Minority stake unknown %
94.;300801;07.12.2004;NOVARTIS VENTURE FUND;AMPHORA DISCOVERY CORPORATION;US;2834 / 8731;Minority stake unknown %
95.;1601412977;25.03.2015;NOVARTIS VENTURE FUND;NEUROVANCE INC.;US;8731;Minority stake
96.;1941060529;02.04.2018;NOVARTIS VENTURE FUND;MACROLIDE PHARMACEUTICALS INC.;US;2833 / 8731;Minority stake unknown %
97.;404761;20.12.2005;NOVARTIS VENTURE FUND;SANTHERA PHARMACEUTICALS HOLDING AG;CH;2834 / 8731;Minority stake unknown %
98.;135347;29.10.2002;NOVARTIS VENTURE FUND;NEUROGENETICS INC.;US;2834 / 8731;Minority stake unknown %
99.;1601285018;05.07.2011;NOVARTIS VENTURE FUND;MYOPOWERS MEDICAL TECHNOLOGIES SA;CH;3841;Minority stake unknown %
100.;303774;16.12.2004;NOVARTIS VENTURE FUND;SANTHERA PHARMACEUTICALS HOLDING AG;CH;2834 / 8731;Minority stake unknown %
101.;271455;21.03.2005;NOVARTIS VENTURE FUND;EVOLVA A/S;DK;2834 / 8731;Minority stake unknown %
102.;1601093127;07.07.2009;NOVARTIS VENTURE FUND;VIAMET PHARMACEUTICALS HOLDINGS LLC;US;2834 / 8731;Minority stake unknown %
103.;560930;19.07.2007;NOVARTIS VENTURE FUND;NEOVACS SA;FR;2834 / 8731;Minority stake unknown %
104.;213032;01.05.2003;NOVARTIS VENTURE FUND;GENESOFT PHARMACEUTICALS;US;2834 / 8731;Minority stake unknown %
105.;1909483293;11.09.2016;NOVARTIS VENTURE FUND;INFLAZOME LTD;IE;8731;Minority stake unknown %
