;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601331900;29.03.2012;NOVO VENTURES;CHR HANSEN HOLDING A/S;DK;2833 / 2865 / 2869 / 8731;Minority stake 25.66%
2.;1909567994;12.04.2017;NOVO VENTURES;SYNLAB LTD;GB;8071;Minority stake unknown %
3.;76933;13.11.2000;NOVO VENTURES;ZYMOGENETICS INC.;US;2834 / 8731;Minority stake 35%
4.;1601479412;;NOVO VENTURES;OPHTHOTECH CORPORATION;US;2834 / 8731;Minority stake unknown %
5.;1909207100;06.03.2015;NOVO VENTURES;NNIT A/S;DK;7371 / 7373;Minority stake 25.5%
6.;1909149940;25.09.2014;NOVO VENTURES;ADAPTIMMUNE LTD;GB;8731;Minority stake unknown %
7.;1601164490;02.03.2010;NOVO VENTURES;ARCHIMEDES PHARMA LTD;GB;2834 / 8731;Minority stake unknown %
8.;1909541427;09.02.2017;NOVO VENTURES;EVOTEC AG;DE;2834 / 8731;Capital Increase 8.992%
9.;1909474366;16.08.2016;NOVO VENTURES;TIOMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
10.;1909278237;26.08.2015;NOVO VENTURES;MERUS BV;NL;8731;Minority stake unknown %
11.;1909295979;08.10.2015;NOVO VENTURES;FLSMIDTH & CO A/S;DK;1011 / 1021 / 1041 / 1221 / 2874 / 3241 / 5032 / 8711;Minority stake 5.02%
12.;1601203389;12.07.2010;NOVO VENTURES;REATA PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
13.;1909300076;22.10.2015;NOVO VENTURES;SYMPHOGEN A/S;DK;2834 / 8731;Minority stake unknown %
14.;1909290731;29.09.2015;NOVO VENTURES;CORVUS PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
15.;186841;30.11.2004;NOVO VENTURES;METABOLEX INC.;US;2834 / 8731;Minority stake unknown %
16.;1601397088;13.11.2012;NOVO VENTURES;VELOXIS PHARMACEUTICALS A/S;DK;2834 / 8731;Capital Increase 72.727%
17.;385873;14.12.2005;NOVO VENTURES;LIGHT SCIENCES ONCOLOGY INC.;US;3841 / 8731;Minority stake unknown %
18.;1909245344;11.06.2015;NOVO VENTURES;UNUM THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
19.;239559;18.05.2004;NOVO VENTURES;CORUS PHARMA INC.;US;2834 / 8731;Minority stake unknown %
20.;503958;08.01.2007;NOVO VENTURES;NOVEXEL SA;FR;8731 / 8734;Minority stake unknown %
21.;1909541186;31.12.2016;NOVO VENTURES;IRHYTHM TECHNOLOGIES INC.;US;3845;Minority stake 9.1%
22.;1601453258;07.03.2013;NOVO VENTURES;PTC THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
23.;1909452031;20.06.2016;NOVO VENTURES;F2G LTD;GB;8731;Minority stake unknown %
24.;1909450594;29.07.2016;NOVO VENTURES;VERONA PHARMA PLC;GB;2834 / 8731;Capital Increase 60.638%
25.;1909263477;23.07.2015;NOVO VENTURES;RA PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
26.;1909080403;05.03.2014;NOVO VENTURES;ZS PHARMA INC.;US;2834 / 8731;Minority stake unknown %
27.;1941116056;01.08.2018;NOVO VENTURES;REVIRAL LTD;GB;8731;Minority stake unknown %
28.;1909429585;03.05.2013;NOVO VENTURES;SYMPHOGEN A/S;DK;2834 / 8731;Minority stake unknown %
29.;275911;06.09.2004;NOVO VENTURES;ARAKIS LTD;GB;2834 / 8071 / 8731 / 8732 / 8733;Minority stake unknown %
30.;216511;23.06.2004;NOVO VENTURES;PTC THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
31.;1909422346;04.04.2016;NOVO VENTURES;ENTASIS THERAPEUTICS INC.;US;8731;Minority stake unknown %
32.;1601145944;22.12.2009;NOVO VENTURES;PTC THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
