;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941129670;05.09.2018;PFIZER VENTURE INVESTMENTS;4D MOLECULAR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
2.;1909398107;02.02.2016;PFIZER VENTURE INVESTMENTS;MISSION THERAPEUTICS LTD;GB;8731;Minority stake unknown %
3.;1909278237;26.08.2015;PFIZER VENTURE INVESTMENTS;MERUS BV;NL;8731;Minority stake unknown %
4.;1941119719;10.08.2018;PFIZER VENTURE INVESTMENTS;ARTIOS PHARMA LTD;GB;8731;Minority stake unknown %
5.;1941092753;05.06.2018;PFIZER VENTURE INVESTMENTS;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
6.;1909263167;30.07.2015;PFIZER VENTURE INVESTMENTS;RANA THERAPEUTICS INC.;US;8731;Minority stake unknown %
7.;1941142646;09.08.2018;PFIZER VENTURE INVESTMENTS;THERACHON AG;CH;8731;Minority stake unknown %
8.;1601209445;05.01.2011;PFIZER VENTURE INVESTMENTS;TETRALOGIC PHARMACEUTICALS CORPORATION;US;2834 / 8731;Minority stake unknown %
9.;1601343487;07.05.2012;PFIZER VENTURE INVESTMENTS;CELLADON CORPORATION;US;2834 / 8731;Minority stake unknown %
10.;1909456480;30.06.2016;PFIZER VENTURE INVESTMENTS;MORPHIC THERAPEUTICS;US;2834;Minority stake unknown %
11.;1941014193;15.12.2017;PFIZER VENTURE INVESTMENTS;JNANA THERAPEUTICS INC.;US;8731;Minority stake unknown %
12.;1909327789;06.01.2016;PFIZER VENTURE INVESTMENTS;PETRA PHARMA CORPORATION;US;8731;Minority stake unknown %
13.;1909637296;04.10.2017;PFIZER VENTURE INVESTMENTS;PALLEON PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
14.;1909426765;14.04.2016;PFIZER VENTURE INVESTMENTS;REFLEXION MEDICAL INC.;US;8731;Minority stake unknown %
15.;1909211740;18.03.2015;PFIZER VENTURE INVESTMENTS;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
16.;1909428961;20.04.2016;PFIZER VENTURE INVESTMENTS;SECOND GENOME INC.;US;3826 / 8731 / 8734;Minority stake unknown %
17.;1909027290;03.10.2013;PFIZER VENTURE INVESTMENTS;MERUS BV;NL;8731;Minority stake unknown %
18.;1909186421;25.07.2016;PFIZER VENTURE INVESTMENTS;VTESSE INC.;US;8731;Minority stake unknown %
19.;1909228371;30.04.2015;PFIZER VENTURE INVESTMENTS;MIRNA THERAPEUTICS INC.;US;8731;Minority stake unknown %
20.;1909608583;24.07.2017;PFIZER VENTURE INVESTMENTS;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
21.;1909258498;10.07.2015;PFIZER VENTURE INVESTMENTS;AUTIFONY THERAPEUTICS LTD;GB;8731;Minority stake unknown %
22.;1909205386;02.03.2015;PFIZER VENTURE INVESTMENTS;MERSANA THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
23.;1601414506;24.10.2012;PFIZER VENTURE INVESTMENTS;MIRNA THERAPEUTICS INC.;US;8731;Minority stake unknown %
24.;1601079865;21.05.2009;PFIZER VENTURE INVESTMENTS;AVID RADIOPHARMACEUTICALS INC.;US;3841 / 8731;Minority stake unknown %
25.;1909226158;27.04.2015;PFIZER VENTURE INVESTMENTS;NEURONETICS INC.;US;3841;Minority stake unknown %
26.;1909642524;17.10.2017;PFIZER VENTURE INVESTMENTS;CYDAN LLC;US;8731;Minority stake unknown %
27.;1909165940;10.11.2014;PFIZER VENTURE INVESTMENTS;ZIARCO GROUP LTD;GB;2834 / 8731;Minority stake unknown %
28.;1601375363;27.11.2012;PFIZER VENTURE INVESTMENTS;RHYTHM PHARMACEUTICALS INC.;US;8731;Minority stake unknown %
29.;1909042473;18.11.2013;PFIZER VENTURE INVESTMENTS;MISSION THERAPEUTICS LTD;GB;8731;Minority stake unknown %
30.;1909427470;14.04.2016;PFIZER VENTURE INVESTMENTS;IMARA INC.;US;2834;Minority stake unknown %
31.;1909130072;30.07.2014;PFIZER VENTURE INVESTMENTS;EPIC SCIENCES INC.;US;2835 / 8071 / 8731;Minority stake unknown %
