;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1943036770;31.05.2018;QUALCOMM VENTURES;BEIJING SENSETIME TECHNOLOGY DEVELOPMENT CO., LTD;CN;7371 / 7372 / 7373;Minority stake 20%
2.;1909319384;02.02.2016;QUALCOMM VENTURES;MAGIC LEAP INC.;US;7372;Minority stake unknown %
3.;1909084447;19.03.2014;QUALCOMM VENTURES;TANGOME INC.;US;7371 / 7372 / 7374;Minority stake unknown %
4.;435761;13.04.2006;QUALCOMM VENTURES;AMP'D MOBILE INC.;US;4899 / 7371 / 7372;Minority stake unknown %
5.;1909221743;15.04.2015;QUALCOMM VENTURES;RETAILNEXT INC.;US;7372 / 7374;Minority stake unknown %
6.;1909531151;26.01.2017;QUALCOMM VENTURES;ZOOM VIDEO COMMUNICATIONS INC.;US;7374;Minority stake unknown %
7.;1909608357;19.07.2017;QUALCOMM VENTURES;BRAIN CORPORATION;US;7372 / 7374;Minority stake unknown %
8.;1909534686;25.01.2017;QUALCOMM VENTURES;BOT HOME AUTOMATION INC.;US;3651 / 7372;Minority stake unknown %
9.;1909564171;04.04.2017;QUALCOMM VENTURES;COHESITY INC.;US;7374;Minority stake unknown %
10.;1907068577;17.12.2014;QUALCOMM VENTURES;LOCON SOLUTIONS PVT LTD;IN;7372 / 7374;Minority stake unknown %
11.;1909160107;25.10.2014;QUALCOMM VENTURES;BRACKET COMPUTING INC.;US;7372 / 7374;Minority stake unknown %
12.;1909119661;30.06.2014;QUALCOMM VENTURES;MAPR TECHNOLOGIES INC.;US;7374;Minority stake unknown %
13.;1941073680;25.04.2018;QUALCOMM VENTURES;INNOVIUM INC.;US;8731;Minority stake unknown %
14.;1909103432;14.05.2014;QUALCOMM VENTURES;FORMULA E HOLDINGS LTD;HK;8699;Minority stake unknown %
15.;1909146899;23.04.2015;QUALCOMM VENTURES;3D ROBOTICS INC.;US;3721 / 5961 / 5999;Minority stake unknown %
16.;1941125363;28.08.2018;QUALCOMM VENTURES;CARGOX TRANSPORTADORA;BR;7374;Minority stake unknown %
17.;1909543994;15.02.2017;QUALCOMM VENTURES;LYTRO INC.;US;3861;Minority stake unknown %
18.;1601025028;22.10.2008;QUALCOMM VENTURES;ADVANCED MICRO-FABRICATION EQUIPMENT INC.;CN;3559;Minority stake unknown %
19.;1909472478;09.08.2016;QUALCOMM VENTURES;MAPR TECHNOLOGIES INC.;US;7374;Minority stake unknown %
20.;1909247568;17.06.2015;QUALCOMM VENTURES;DOCTOR ON DEMAND INC.;US;7372 / 7374;Minority stake unknown %
21.;1909444534;31.12.2015;QUALCOMM VENTURES;INNOVIUM INC.;US;8731;Minority stake unknown %
22.;1907079589;18.01.2016;QUALCOMM VENTURES;BEIJING UNISOUND INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
23.;1601167318;10.03.2010;QUALCOMM VENTURES;ADVANCED MICRO-FABRICATION EQUIPMENT INC.;CN;3559;Minority stake unknown %
24.;1909297193;14.10.2015;QUALCOMM VENTURES;BRACKET COMPUTING INC.;US;7372 / 7374;Minority stake unknown %
25.;1909010528;13.08.2013;QUALCOMM VENTURES;FITBIT INC.;US;3829 / 7371 / 7372;Minority stake unknown %
26.;601342;11.02.2009;QUALCOMM VENTURES;INSIDE CONTACTLESS SA;FR;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731;Minority stake unknown %
27.;1907030640;31.07.2014;QUALCOMM VENTURES;HEALTHVISTA INDIA PVT LTD;IN;8082;Minority stake unknown %
28.;1601362810;19.04.2012;QUALCOMM VENTURES;TANGOME INC.;US;7371 / 7372 / 7374;Minority stake unknown %
29.;510344;25.01.2007;QUALCOMM VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
30.;1601215688;09.09.2010;QUALCOMM VENTURES;LIVESCRIBE INC.;US;3571 / 3572 / 3575 / 7374;Minority stake unknown %
31.;1909555493;14.03.2017;QUALCOMM VENTURES;INNOVIUM INC.;US;8731;Minority stake unknown %
32.;1909643168;26.03.2015;QUALCOMM VENTURES;AUGUST HOME INC.;US;3429;Minority stake unknown %
33.;1909214698;25.03.2015;QUALCOMM VENTURES;AUGUST INC.;US;5065 / 7371 / 7372 / 7382;Minority stake unknown %
34.;1907106654;20.09.2015;QUALCOMM VENTURES;HEALTHVISTA INDIA PVT LTD;IN;8082;Minority stake unknown %
35.;1943003605;19.11.2017;QUALCOMM VENTURES;SHUOBAOTANG INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;7374;Minority stake unknown %
36.;1941133034;17.09.2018;QUALCOMM VENTURES;BLIPPAR.COM LTD;GB;7371 / 7372;Minority stake unknown %
37.;1601391290;14.03.2013;QUALCOMM VENTURES;AVALANCHE TECHNOLOGY INC.;US;3572;Minority stake unknown %
38.;1909158950;20.10.2014;QUALCOMM VENTURES;TELCARE INC.;US;3845 / 7371 / 7372;Minority stake unknown %
39.;392344;02.11.2005;QUALCOMM VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
40.;1909470881;25.10.2016;QUALCOMM VENTURES;CLARIFAI INC.;US;7372 / 7374;Minority stake unknown %
41.;1909251475;25.06.2015;QUALCOMM VENTURES;MATTERPORT INC.;US;3575 / 3861 / 7371 / 7372 / 7374;Minority stake unknown %
42.;1909196043;04.02.2015;QUALCOMM VENTURES;ZOOM VIDEO COMMUNICATIONS INC.;US;7374;Minority stake unknown %
43.;417152;06.02.2006;QUALCOMM VENTURES;A123 SYSTEMS INC.;US;3691 / 3692 / 5063;Minority stake unknown %
44.;1909123202;08.07.2014;QUALCOMM VENTURES;RETAILNEXT INC.;US;7372 / 7374;Minority stake unknown %
