;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909327481;04.01.2016;RAKUTEN VENTURES;LYFT INC.;US;7372 / 7374;Minority stake 18.182%
2.;598881;30.09.2007;RAKUTEN VENTURES;TOKYO BROADCASTING SYSTEM INC.;JP;4832 / 4833 / 7812;Minority stake 16.494%
3.;1909199235;15.05.2015;RAKUTEN VENTURES;LYFT INC.;US;7372 / 7374;Minority stake 27.2%
4.;1909473893;11.04.2017;RAKUTEN VENTURES;LYFT INC.;US;7372 / 7374;Minority stake unknown %
5.;1909462405;31.12.2016;RAKUTEN VENTURES;GO-JEK INDONESIA, PT;ID;7372;Minority stake unknown %
6.;1909521869;15.06.2017;RAKUTEN VENTURES;CAREEM NETWORKS FZ LLC;AE;7372 / 7374;Minority stake unknown %
7.;604235;;RAKUTEN VENTURES;RAKUTEN KC CO., LTD;JP;6141;Minority stake unknown %
8.;389553;26.10.2005;RAKUTEN VENTURES;TOKYO BROADCASTING SYSTEM INC.;JP;4832 / 4833 / 7812;Minority stake increased from 15.46% to 19.09%
9.;1941027504;22.01.2018;RAKUTEN VENTURES;MAXI MOBILITY SPAIN SL;ES;7372 / 7374;Minority stake unknown %
10.;1943011241;22.08.2018;RAKUTEN VENTURES;BLACK FISH TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
11.;1601006635;29.09.2008;RAKUTEN VENTURES;EBANK CORPORATION;JP;4899 / 6021 / 6029;Capital Increase unknown stake %
12.;1941072546;18.07.2018;RAKUTEN VENTURES;GLOVOAPP23 SL;ES;7372;Minority stake unknown %
13.;1909430654;20.04.2016;RAKUTEN VENTURES;MAXI MOBILITY SPAIN SL;ES;7372 / 7374;Minority stake unknown %
14.;256733;21.06.2004;RAKUTEN VENTURES;CTRIP.COM INTERNATIONAL LTD;KY;7374;Minority stake 21.61%
15.;1601052630;19.03.2009;RAKUTEN VENTURES;EBANK CORPORATION;JP;4899 / 6021 / 6029;Capital Increase unknown stake %
16.;1909223703;19.04.2015;RAKUTEN VENTURES;CHINA ZHONGYAN HOLDINGS LTD;CN;7374;Minority stake 10%
17.;1601370903;17.05.2012;RAKUTEN VENTURES;PINTEREST INC.;US;7374;Minority stake unknown %
18.;1601298463;07.09.2011;RAKUTEN VENTURES;INTERNET RESHENIYA OOO;RU;5961;Minority stake unknown %
19.;1907248476;14.05.2018;RAKUTEN VENTURES;CAROUSELL PTE LTD;SG;7372 / 7374;Minority stake unknown %
20.;1633030245;12.04.2011;RAKUTEN VENTURES;NANJING TUNIU TECHNOLOGY CO., LTD;KY;4724 / 7374 / 7389 / 8999;Minority stake unknown %
21.;1909235620;20.05.2015;RAKUTEN VENTURES;WEPAY INC.;US;6019 / 6099;Minority stake unknown %
22.;1943047778;;RAKUTEN VENTURES;GURUNAVI INC.;JP;7374;Minority stake 9.997%
23.;1909639115;03.10.2017;RAKUTEN VENTURES;PREMFINA LTD;GB;7372;Minority stake unknown %
24.;1909607995;05.10.2017;RAKUTEN VENTURES;GLOVOAPP23 SL;ES;7372;Minority stake unknown %
25.;1907167841;01.08.2016;RAKUTEN VENTURES;CAROUSELL PTE LTD;SG;7372 / 7374;Minority stake unknown %
26.;1909483649;08.09.2016;RAKUTEN VENTURES;BLACKSTORM LABS INC.;US;7374;Minority stake unknown %
27.;1907149090;29.03.2016;RAKUTEN VENTURES;BIZREACH INC.;JP;7374;Minority stake unknown %
28.;1909551139;02.03.2017;RAKUTEN VENTURES;UPSTART NETWORK INC.;US;7374;Minority stake unknown %
29.;1907217623;16.05.2017;RAKUTEN VENTURES;FROM SCRATCH CO., LTD;JP;7311 / 7371 / 7372 / 7373 / 7374 / 7389 / 8711 / 8742;Minority stake unknown %
30.;1909547155;23.02.2017;RAKUTEN VENTURES;AIRMAP INC.;US;7374;Minority stake unknown %
31.;1941089418;08.05.2018;RAKUTEN VENTURES;SIMPLESURANCE GMBH;DE;7374;Minority stake unknown %
32.;1909013499;23.08.2013;RAKUTEN VENTURES;SLICE TECHNOLOGIES INC.;US;7372;Minority stake unknown %
33.;1941089191;29.05.2018;RAKUTEN VENTURES;AZIMO LTD;GB;6019 / 6099 / 7374;Minority stake unknown %
34.;1633076604;19.06.2012;RAKUTEN VENTURES;KENKO.COM INC.;JP;5912 / 5961;Capital increase 40.482%
35.;1943019396;23.02.2018;RAKUTEN VENTURES;GENESIS HEALTHCARE COMPANY;JP;8731;Capital Increase unknown stake %
36.;1909435135;05.05.2016;RAKUTEN VENTURES;AZIMO LTD;GB;6019 / 6099 / 7374;Minority stake unknown %
37.;1909157876;20.10.2014;RAKUTEN VENTURES;BITNET TECHNOLOGIES;US;6019 / 6099 / 7374;Minority stake unknown %Minority stake
38.;219226;05.01.2004;RAKUTEN VENTURES;LAWSON TICKET INC;JP;4493 / 7933 / 7991 / 7992 / 7997 / 7999;Minority stake 19.6%
39.;403477;25.01.2001;RAKUTEN VENTURES;TECHMATRIX CORPORATION;JP;7371 / 7372;Minority stake 37.04%
40.;1907236479;21.08.2017;RAKUTEN VENTURES;GENESIS HEALTHCARE COMPANY;JP;8731;Capital Increase unknown stake %
41.;1907008293;;RAKUTEN VENTURES;BRANGISTA INC.;JP;8999;Minority stake 16.7%
42.;1909631659;19.09.2017;RAKUTEN VENTURES;AIRWEAVE INC.;JP;2515;Capital Increase unknown stake %
43.;1907173806;15.09.2016;RAKUTEN VENTURES;VISENZE PTE LTD;SG;7371 / 7372 / 7374;Minority stake unknown %
