;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909186226;07.04.2015;ROCHE VENTURE FUND;FOUNDATION MEDICINE INC.;US;2835 / 8731;Capital Increase 15.006%
2.;1909327863;06.01.2016;ROCHE VENTURE FUND;FLATIRON HEALTH INC.;US;7371 / 7372 / 7374;Minority stake unknown %
3.;1941014858;13.12.2017;ROCHE VENTURE FUND;ALLAKOS INC.;US;2834 / 8731;Minority stake unknown %
4.;1941058237;15.03.2018;ROCHE VENTURE FUND;IDEAYA BIOSCIENCES INC.;US;8731;Minority stake unknown %
5.;1909398107;02.02.2016;ROCHE VENTURE FUND;MISSION THERAPEUTICS LTD;GB;8731;Minority stake unknown %
6.;1909474366;16.08.2016;ROCHE VENTURE FUND;TIOMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
7.;1941092449;07.06.2018;ROCHE VENTURE FUND;SUTROVAX INC.;US;2834 / 8731;Minority stake unknown %
8.;595376;10.06.2011;ROCHE VENTURE FUND;AMBIT BIOSCIENCES CORPORATION;US;2834 / 8731;Minority stake unknown %
9.;1909290731;29.09.2015;ROCHE VENTURE FUND;CORVUS PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
10.;1909283397;08.09.2015;ROCHE VENTURE FUND;AVEXIS INC.;US;2834 / 8731;Minority stake unknown %
11.;1909558520;21.03.2017;ROCHE VENTURE FUND;SUTROVAX INC.;US;2834 / 8731;Minority stake unknown %
12.;1941028150;18.01.2018;ROCHE VENTURE FUND;PANDION THERAPEUTICS INC.;US;8731;Minority stake unknown %
13.;1601404527;09.01.2013;ROCHE VENTURE FUND;FOUNDATION MEDICINE INC.;US;2835 / 8731;Minority stake unknown %
14.;456924;24.07.2006;ROCHE VENTURE FUND;AMBRX INC.;US;8731;Minority stake unknown %
15.;1601470642;29.04.2013;ROCHE VENTURE FUND;OPSONA THERAPEUTICS LTD;IE;2834 / 8731;Minority stake unknown %
16.;567598;09.08.2007;ROCHE VENTURE FUND;NEREUS PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
17.;1909428961;20.04.2016;ROCHE VENTURE FUND;SECOND GENOME INC.;US;3826 / 8731 / 8734;Minority stake unknown %
18.;1601085405;14.01.2013;ROCHE VENTURE FUND;AILERON THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
19.;1601430538;17.12.2012;ROCHE VENTURE FUND;ALLAKOS INC.;US;2834 / 8731;Minority stake unknown %
20.;1909091149;07.04.2014;ROCHE VENTURE FUND;ALIOS BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
21.;1601218536;31.07.2012;ROCHE VENTURE FUND;CYTOMX THERAPEUTICS INC.;US;8731;Minority stake unknown %
22.;1909575269;04.05.2017;ROCHE VENTURE FUND;VIVET THERAPEUTICS SAS;FR;8731;Minority stake unknown %
23.;1601033066;11.11.2009;ROCHE VENTURE FUND;CELLERIX SA;ES;2834 / 8731;Minority stake 25%
24.;73349;;ROCHE VENTURE FUND;TRIPATH IMAGING INC.;US;8731;Minority stake increased to 24 per cent
25.;576731;20.09.2007;ROCHE VENTURE FUND;CELLERIX SA;ES;2834 / 8731;Minority stake unknown %
26.;513811;07.02.2007;ROCHE VENTURE FUND;PROACTA INC.;US;2834 / 8731;Minority stake unknown %
27.;1909042574;29.10.2014;ROCHE VENTURE FUND;AILERON THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
28.;1909423471;06.04.2016;ROCHE VENTURE FUND;LUMOS PHARMA INC.;US;2834 / 8731;Minority stake unknown %
29.;1909171731;24.11.2014;ROCHE VENTURE FUND;CURETIS AG;DE;3845;Minority stake unknown %
30.;1909042473;18.11.2013;ROCHE VENTURE FUND;MISSION THERAPEUTICS LTD;GB;8731;Minority stake unknown %
31.;1601051297;11.06.2009;ROCHE VENTURE FUND;ALIOS BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
