;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909510549;18.11.2016;SALESFORCE VENTURES;SIGFOX WIRELESS SAS;FR;4899;Minority stake unknown %
2.;1909266142;29.07.2015;SALESFORCE VENTURES;TWILIO INC.;US;7371 / 7372 / 7374;Minority stake unknown %
3.;1909234922;19.05.2015;SALESFORCE VENTURES;MULESOFT INC.;US;7372 / 7374;Minority stake unknown %
4.;1909214929;26.03.2015;SALESFORCE VENTURES;FINANCIALFORCE.COM INC.;US;7371 / 7374;Minority stake unknown %
5.;1909280169;01.09.2015;SALESFORCE VENTURES;APTTUS CORPORATION;US;7372 / 7374;Minority stake unknown %
6.;1909650468;31.03.2017;SALESFORCE VENTURES;I AM PLUS ELECTRONICS INC.;US;3651 / 3663;Minority stake unknown %
7.;1909211770;18.03.2015;SALESFORCE VENTURES;INSIDESALES.COM INC.;US;7371 / 7372 / 7373 / 7374;Minority stake 4%
8.;1941013892;05.12.2017;SALESFORCE VENTURES;ANAPLAN INC.;US;7372 / 7374;Minority stake unknown %
9.;1909296420;13.10.2015;SALESFORCE VENTURES;OPTIMIZELY INC.;US;7374;Minority stake unknown %
10.;1909396741;29.01.2016;SALESFORCE VENTURES;BLOOMREACH INC.;US;7371 / 7372 / 7374;Minority stake unknown %
11.;1909629461;13.09.2017;SALESFORCE VENTURES;APTTUS CORPORATION;US;7372 / 7374;Minority stake unknown %
12.;1909577967;09.05.2017;SALESFORCE VENTURES;GAINSIGHT INC.;US;7374;Minority stake unknown %
13.;1941141623;26.09.2018;SALESFORCE VENTURES;FORTER LTD;IL;7372 / 7374;Minority stake unknown %
14.;1941136666;26.09.2018;SALESFORCE VENTURES;FORTER INC.;US;7372 / 7374;Minority stake unknown %
15.;1909486589;20.09.2016;SALESFORCE VENTURES;VLOCITY INC.;US;7371 / 7372;Minority stake unknown %
16.;1909308055;12.11.2015;SALESFORCE VENTURES;GAINSIGHT INC.;US;7374;Minority stake unknown %
17.;1909266124;29.07.2015;SALESFORCE VENTURES;RADIUS INTELLIGENCE INC.;US;7372 / 7374;Minority stake unknown %
18.;1909296732;13.10.2015;SALESFORCE VENTURES;STEELBRICK INC.;US;7372 / 7374;Minority stake unknown %
19.;1941085883;24.05.2018;SALESFORCE VENTURES;APPEXTREMES LLC;US;7372 / 7374;Minority stake unknown %
20.;1909201880;19.02.2015;SALESFORCE VENTURES;LIVEFYRE INC.;US;7371 / 7374;Minority stake unknown %
21.;1909222233;16.04.2015;SALESFORCE VENTURES;VLOCITY INC.;US;7371 / 7372;Minority stake unknown %
22.;1909194839;02.02.2015;SALESFORCE VENTURES;APTTUS CORPORATION;US;7372 / 7374;Minority stake unknown %
23.;1909639782;10.10.2017;SALESFORCE VENTURES;ANDELA INC.;US;7361 / 8243;Minority stake unknown %
24.;1909405737;22.02.2016;SALESFORCE VENTURES;QUBIT DIGITAL LTD;GB;7374;Minority stake unknown %
25.;1941137694;27.09.2018;SALESFORCE VENTURES;PYMETRICS INC.;US;7372 / 7374;Minority stake unknown %
26.;1941113196;25.07.2018;SALESFORCE VENTURES;GUILD EDUCATION INC.;US;6371;Minority stake unknown %
27.;1907235338;07.08.2017;SALESFORCE VENTURES;SANSAN INC.;JP;7371 / 7372 / 7374;Minority stake unknown %
28.;1941154529;29.10.2018;SALESFORCE VENTURES;QUID INC.;US;7374;Minority stake unknown %
29.;1941135801;21.09.2018;SALESFORCE VENTURES;HIGHSPOT INC.;US;7374;Minority stake unknown %
30.;1909483053;08.09.2016;SALESFORCE VENTURES;SESSIONM INC.;US;7372 / 7374;Minority stake unknown %
31.;1909395256;26.01.2016;SALESFORCE VENTURES;BUILD SCALE INC.;CA;7374;Minority stake unknown %
32.;1941025180;11.12.2017;SALESFORCE VENTURES;TIER1CRM INC.;CA;7372 / 7374;Minority stake unknown %
33.;1941011256;19.10.2017;SALESFORCE VENTURES;AUTOMILE AB;SE;3679 / 7372 / 7374;Minority stake unknown %
34.;1909643506;19.10.2017;SALESFORCE VENTURES;AUTOMILE INC.;US;7372 / 7374;Minority stake unknown %
35.;1909538379;02.02.2017;SALESFORCE VENTURES;MAPANYTHING INC.;US;7372 / 7374;Minority stake unknown %
36.;1907149090;29.03.2016;SALESFORCE VENTURES;BIZREACH INC.;JP;7374;Minority stake unknown %
37.;1941125984;28.08.2018;SALESFORCE VENTURES;NARVAR INC.;US;7372 / 7374;Minority stake unknown %
38.;1941075115;01.05.2018;SALESFORCE VENTURES;HUSTLE INC.;US;7374;Minority stake unknown %
39.;1909504110;01.11.2016;SALESFORCE VENTURES;CLASSY INC.;US;7374;Minority stake unknown %
40.;1909260010;15.07.2015;SALESFORCE VENTURES;DEMANDBASE INC.;US;7311 / 7371 / 7372 / 7374;Minority stake unknown %
41.;1909420523;30.03.2016;SALESFORCE VENTURES;INVOCA INC.;US;7374;Minority stake unknown %
42.;1909635039;28.09.2017;SALESFORCE VENTURES;ONFIDO LTD;GB;7372 / 7374;Minority stake unknown %
43.;1909396213;28.01.2016;SALESFORCE VENTURES;NEWVOICEMEDIA LTD;GB;7372 / 7374;Minority stake unknown %
44.;1909203293;17.03.2015;SALESFORCE VENTURES;NCINO INC.;US;7374;Minority stake unknown %
45.;1907190832;29.12.2016;SALESFORCE VENTURES;FREEE KK;JP;7374;Minority stake unknown %
46.;1941113356;25.06.2018;SALESFORCE VENTURES;TACT.AI TECHNOLOGIES INC.;US;7374;Minority stake unknown %
47.;1941046483;01.03.2018;SALESFORCE VENTURES;BUGCROWD INC.;US;7372 / 7374;Minority stake unknown %
48.;1909151379;29.09.2014;SALESFORCE VENTURES;QUBIT DIGITAL LTD;GB;7374;Minority stake unknown %
49.;1909604914;13.07.2017;SALESFORCE VENTURES;PENDO.IO INC.;US;7372 / 7374;Minority stake unknown %
50.;1941125220;23.08.2018;SALESFORCE VENTURES;SITETRACKER INC.;US;7374;Minority stake unknown %
