;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;167198;;SAMSUNG VENTURE INVESTMENT CORPORATION;SAMSUNG CARD CO., LTD;KR;6141;Capital Increase unknown stake %
2.;1603007877;;SAMSUNG VENTURE INVESTMENT CORPORATION;SAMSUNG MOBILE DISPLAY CO., LTD;KR;3663 / 3674 / 3679;Capital Increase unknown stake %
3.;1601385578;13.09.2012;SAMSUNG VENTURE INVESTMENT CORPORATION;ASML HOLDING NV;NL;3555 / 3575 / 3674 / 5065 / 5084 / 8731;Capital Increase 3%
4.;1907048019;03.06.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;SAMSUNG SDI CO., LTD;KR;2899 / 3674 / 3679 / 3691 / 3692 / 8731;Minority stake unknown %
5.;1633012367;16.02.2011;SAMSUNG VENTURE INVESTMENT CORPORATION;MEDISON CO., LTD;KR;3841;Minority stake 43.5%
6.;1907179732;27.10.2016;SAMSUNG VENTURE INVESTMENT CORPORATION;CHEIL WORLDWIDE INC.;KR;7311 / 8742;Minority stake increased from 12.603% to 25.241%
7.;1633030846;03.06.2011;SAMSUNG VENTURE INVESTMENT CORPORATION;SHENZHEN CHINA STAR OPTOELECTRONICS TECHNOLOGY CO., LTD;CN;3674;Minority stake 15%
8.;1907074932;27.11.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;CHEIL WORLDWIDE INC.;KR;7311 / 8742;Capital Increase 10.631%
9.;244364;;SAMSUNG VENTURE INVESTMENT CORPORATION;SAMSUNG ELECTRONICS CO., LTD'S CHINESE SEMICONDUCTOR ASSEMBLY UNIT;CN;3674;Minority stake unknown %
10.;1907046796;03.06.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;CHEIL INDUSTRIES INC.;KR;2899 / 3679;Minority stake 4.672%
11.;1909014757;29.08.2013;SAMSUNG VENTURE INVESTMENT CORPORATION;PURE STORAGE INC.;US;3572 / 7374;Minority stake unknown %
12.;1907048035;03.06.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;CHEIL INDUSTRIES INC.;KR;2899 / 3679;Capital Increase 3.953%
13.;1909476916;22.08.2016;SAMSUNG VENTURE INVESTMENT CORPORATION;QUANERGY SYSTEMS INC.;US;3823 / 7371 / 7372;Minority stake unknown %
14.;1909631801;14.09.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;TTTECH COMPUTERTECHNIK AG;AT;3679 / 3694 / 3728 / 3823 / 3829 / 7371 / 7372;Capital Increase unknown stake %
15.;1909441418;19.05.2016;SAMSUNG VENTURE INVESTMENT CORPORATION;KATEEVA INC.;US;3648;Minority stake unknown %
16.;1909153589;07.10.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;SOLIDFIRE INC.;US;3572 / 5045 / 7374;Minority stake unknown %
17.;1909537025;31.01.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;SOUNDHOUND INC.;US;8731;Minority stake unknown %
18.;1909619876;31.10.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;INNOVIZ TECHNOLOGIES LTD;IL;3674;Minority stake unknown %
19.;1909424932;06.07.2016;SAMSUNG VENTURE INVESTMENT CORPORATION;DARKTRACE LTD;GB;3575 / 7371 / 7372;Minority stake unknown %
20.;1909565575;06.04.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;VALENS SEMICONDUCTOR LTD;IL;3674;Minority stake unknown %
21.;1909631181;14.09.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;STOREDOT LTD;IL;3679 / 3691;Minority stake unknown %
22.;1941111389;11.07.2018;SAMSUNG VENTURE INVESTMENT CORPORATION;MANTISVISION LTD;IL;3861 / 7371;Minority stake unknown %
23.;1941126450;28.08.2018;SAMSUNG VENTURE INVESTMENT CORPORATION;PULS TECHNOLOGIES INC.;US;1731;Minority stake unknown %
24.;1907248667;01.11.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;SOULBRAIN CO., LTD;KR;2899;Capital Increase 4.8%
25.;1647003724;;SAMSUNG VENTURE INVESTMENT CORPORATION;PANTECH CO., LTD;KR;3663;Capital Increase 10.035%
26.;1601240869;18.01.2011;SAMSUNG VENTURE INVESTMENT CORPORATION;TILERA CORPORATION;US;3674;Minority stake unknown %
27.;1941116619;31.07.2018;SAMSUNG VENTURE INVESTMENT CORPORATION;YELLOWBRICK DATA INC.;US;7374;Minority stake unknown %
28.;347987;;SAMSUNG VENTURE INVESTMENT CORPORATION;SAMSUNG ELECTRONICS MEXICO SA DE CV;MX;3357 / 3612 / 3613 / 3621 / 3624 / 3625 / 3629 / 3643 / 3644 / 3691 / 3692 / 3699;Capital Increase unknown stake %
29.;1909105061;20.05.2014;SAMSUNG VENTURE INVESTMENT CORPORATION;CENTRIFY CORPORATION;US;7374;Minority stake unknown %
30.;534799;01.05.2007;SAMSUNG VENTURE INVESTMENT CORPORATION;PURE DIGITAL TECHNOLOGIES INC.;US;3651 / 5065;Minority stake unknown %
31.;514175;07.02.2007;SAMSUNG VENTURE INVESTMENT CORPORATION;BECEEM COMMUNICATIONS INC.;US;3661;Minority stake unknown %
32.;1909425391;12.04.2016;SAMSUNG VENTURE INVESTMENT CORPORATION;DATERA INC.;US;7371 / 7372;Minority stake unknown %
33.;1601324786;13.12.2011;SAMSUNG VENTURE INVESTMENT CORPORATION;INTEGENX INC.;US;7372 / 7374;Minority stake unknown %
34.;1909559669;26.06.2017;SAMSUNG VENTURE INVESTMENT CORPORATION;AUTOTALKS LTD;IL;3674;Minority stake unknown %
