;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1909238630;27.05.2015;SANDISK VENTURES;TEGILE SYSTEMS INC.;US;3572
2.;1909146899;23.04.2015;SANDISK VENTURES;3D ROBOTICS INC.;US;3721 / 5961 / 5999
3.;1909214698;25.03.2015;SANDISK VENTURES;AUGUST INC.;US;5065 / 7371 / 7372 / 7382
4.;1909195158;02.02.2015;SANDISK VENTURES;COREPHOTONICS LTD;IL;7371 / 7372
5.;1909190103;20.01.2015;SANDISK VENTURES;RAVELLO SYSTEMS LTD;IL;7371
6.;1909169731;19.11.2014;SANDISK VENTURES;ALTAIR SEMICONDUCTOR LTD;IL;3674
7.;1909035787;29.10.2013;SANDISK VENTURES;SIGHTERA TECHNOLOGIES LTD;IL;7374
8.;1909007439;12.08.2013;SANDISK VENTURES;TEGILE SYSTEMS INC.;US;3572
9.;1909006506;01.08.2013;SANDISK VENTURES;PEBBLES LTD;IL;3575
10.;1601429678;13.12.2012;SANDISK VENTURES;WHIPTAIL TECHNOLOGIES INC.;US;3572
