;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909271668;11.08.2015;SANOFI-GENZYME BIOVENTURES ;OVID THERAPEUTICS INC.;US;8731;Minority stake unknown %
2.;1909245344;11.06.2015;SANOFI-GENZYME BIOVENTURES ;UNUM THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
3.;1941019235;03.01.2018;SANOFI-GENZYME BIOVENTURES ;EXPANSION THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
4.;1909592998;14.06.2017;SANOFI-GENZYME BIOVENTURES ;OMADA HEALTH INC.;US;7374;Minority stake unknown %
5.;1909654287;15.11.2017;SANOFI-GENZYME BIOVENTURES ;INOZYME PHARMA INC.;US;2834 / 8731;Minority stake unknown %
6.;1909228469;30.04.2015;SANOFI-GENZYME BIOVENTURES ;MYOKARDIA INC.;US;2834 / 8731;Minority stake unknown %
7.;1909401386;10.02.2016;SANOFI-GENZYME BIOVENTURES ;YUMANITY THERAPEUTICS CORPORATION;US;8731;Minority stake unknown %
8.;1601020906;25.08.2008;SANOFI-GENZYME BIOVENTURES ;PROTEOSTASIS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
9.;1909283182;08.09.2015;SANOFI-GENZYME BIOVENTURES ;SELECTA BIOSCIENCES INC.;US;8731;Minority stake unknown %
10.;1601125832;20.10.2009;SANOFI-GENZYME BIOVENTURES ;GLYCOMIMETICS INC.;US;2834 / 8731;Minority stake unknown %
11.;1909283697;08.09.2015;SANOFI-GENZYME BIOVENTURES ;PROTEOSTASIS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
12.;1601167897;12.03.2010;SANOFI-GENZYME BIOVENTURES ;GENETIX PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
13.;1909322551;18.12.2015;SANOFI-GENZYME BIOVENTURES ;NAVITOR PHARMACEUTICALS INC.;US;8731;Minority stake unknown %
14.;1601023739;22.12.2008;SANOFI-GENZYME BIOVENTURES ;KALOBIOS PHARMACEUTICALS INC.;US;2836 / 8731;Minority stake unknown %
15.;1601134678;16.11.2009;SANOFI-GENZYME BIOVENTURES ;FATE THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
16.;1941115327;01.08.2018;SANOFI-GENZYME BIOVENTURES ;EVIDATION HEALTH INC.;US;7374;Minority stake unknown %
17.;1909571924;25.04.2017;SANOFI-GENZYME BIOVENTURES ;SCIENCE 37 INC.;US;7371 / 7372 / 7374;Minority stake unknown %
18.;436758;20.04.2006;SANOFI-GENZYME BIOVENTURES ;SIRTRIS PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
19.;1909195371;03.02.2015;SANOFI-GENZYME BIOVENTURES ;LYSOSOMAL THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
20.;1909005615;30.07.2013;SANOFI-GENZYME BIOVENTURES ;EDIMER PHARMACEUTICALS INC.;US;8731;Minority stake unknown %
21.;1909607582;20.07.2017;SANOFI-GENZYME BIOVENTURES ;NEUROVIA INC.;US;2833 / 2834 / 2835 / 2836;Minority stake unknown %
22.;603739;14.12.2007;SANOFI-GENZYME BIOVENTURES ;TCLAND EXPRESSION SA;FR;8731;Minority stake unknown %
23.;1909158726;21.10.2014;SANOFI-GENZYME BIOVENTURES ;UNUM THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
24.;1909156283;15.10.2014;SANOFI-GENZYME BIOVENTURES ;PORTAL INSTRUMENTS INC.;US;7374;Minority stake unknown %
25.;1909101963;12.05.2014;SANOFI-GENZYME BIOVENTURES ;LYSOSOMAL THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
26.;1941013714;14.12.2017;SANOFI-GENZYME BIOVENTURES ;CURISIUM INC.;US;7372 / 7374;Minority stake unknown %
