;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909612329;02.11.2017;SAP VENTURES;TRANSFERWISE LTD;GB;6019 / 6099 / 7374;Minority stake unknown %
2.;1941078609;08.05.2018;SAP VENTURES;THOUGHTSPOT INC.;US;7372 / 7374;Minority stake unknown %
3.;1601390112;31.07.2012;SAP VENTURES;BOX INC.;US;7374;Minority stake unknown %
4.;72308;19.07.2000;SAP VENTURES;ASERA INC.;US;7371 / 7372;Minority stake 10%
5.;1941066132;11.04.2018;SAP VENTURES;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
6.;1909091074;04.08.2014;SAP VENTURES;SCYTL SECURE ELECTRONIC VOTING SA;ES;7374;Minority stake unknown %
7.;1909060500;14.01.2014;SAP VENTURES;NUTANIX INC.;US;3571 / 3572 / 7371 / 7372;Minority stake unknown %
8.;1941148990;25.10.2018;SAP VENTURES;DATAROBOT INC.;US;7374;Minority stake unknown %
9.;1909588198;06.06.2017;SAP VENTURES;NETSKOPE INC.;US;7374;Minority stake unknown %
10.;1909157893;21.10.2014;SAP VENTURES;MIRANTIS INC.;US;7371 / 7372 / 7373;Minority stake unknown %
11.;1909276734;24.08.2015;SAP VENTURES;MIRANTIS INC.;US;7371 / 7372 / 7373;Minority stake unknown %
12.;1601357727;14.02.2013;SAP VENTURES;VIOLIN MEMORY INC.;US;3572 / 7371 / 7372;Minority stake unknown %
13.;1601250321;11.10.2011;SAP VENTURES;BOX INC.;US;7374;Minority stake unknown %
14.;1909081081;06.03.2014;SAP VENTURES;ON DECK CAPITAL INC.;US;6159 / 7374;Minority stake unknown %
15.;651046;23.10.2008;SAP VENTURES;LINKEDIN CORPORATION;US;7374 / 8611;Minority stake unknown %
16.;1909597578;27.06.2017;SAP VENTURES;SUMO LOGIC INC.;US;7372 / 7374;Minority stake unknown %
17.;1909152989;06.10.2014;SAP VENTURES;ALTERYX INC.;US;7374;Minority stake unknown %
18.;1909098149;29.04.2014;SAP VENTURES;APIGEE CORPORATION;US;7374;Minority stake unknown %
19.;1601446405;01.05.2013;SAP VENTURES;ON DECK CAPITAL INC.;US;6159 / 7374;Minority stake unknown %
20.;1601386817;12.07.2012;SAP VENTURES;DOCUSIGN INC.;US;7371 / 7372 / 7374;Minority stake unknown %
21.;1941081138;15.05.2018;SAP VENTURES;AUTH0 INC.;US;7372 / 7374;Minority stake unknown %
22.;1601330247;05.01.2012;SAP VENTURES;LITHIUM TECHNOLOGIES INC.;US;7374;Minority stake unknown %
23.;1941050302;11.05.2000;SAP VENTURES;EXTRICITY INC.;US;7371 / 7372;Minority stake unknown %
24.;1909647056;17.10.2017;SAP VENTURES;FEEDZAI - CONSULTORIA E INOVACAO TECNOLOGICA SA;PT;7372 / 7374;Minority stake unknown %
25.;1909642039;17.10.2017;SAP VENTURES;FEEDZAI INC.;US;7372 / 7374;Minority stake unknown %
26.;1909393384;20.01.2016;SAP VENTURES;JFROG LTD;IL;7372 / 7374;Minority stake unknown %
27.;1909082362;13.03.2014;SAP VENTURES;MULESOFT INC.;US;7372 / 7374;Minority stake 6.25%
28.;1909331404;14.01.2016;SAP VENTURES;LOOKER DATA SCIENCES INC.;US;7374;Minority stake unknown %
29.;1909070993;11.02.2014;SAP VENTURES;KALTURA INC.;US;7372 / 7374;Minority stake unknown %
30.;1909137570;21.08.2014;SAP VENTURES;ALFRESCO SOFTWARE LTD;GB;7372 / 7374;Minority stake unknown %
31.;1909425804;12.04.2016;SAP VENTURES;LIVONGO HEALTH INC.;US;3841 / 7374;Minority stake unknown %
32.;1909010528;13.08.2013;SAP VENTURES;FITBIT INC.;US;3829 / 7371 / 7372;Minority stake unknown %
33.;1941030010;25.01.2018;SAP VENTURES;OSPOTO INC.;US;5961 / 7374;Minority stake unknown %
34.;1909405737;22.02.2016;SAP VENTURES;QUBIT DIGITAL LTD;GB;7374;Minority stake unknown %
35.;1943046305;20.07.2018;SAP VENTURES;CULTURE AMP PTY LTD;AU;7372 / 7374;Minority stake unknown %
36.;1909569075;18.04.2017;SAP VENTURES;RELTIO INC.;US;7374;Minority stake unknown %
37.;1601182788;28.04.2010;SAP VENTURES;TREMOR MEDIA INC.;US;7311 / 7312 / 7313 / 7319 / 7331 / 8743 / 8999;Minority stake unknown %
38.;1601405997;25.09.2012;SAP VENTURES;CRITEO SA;FR;7371;Minority stake unknown %
39.;1601460787;03.04.2013;SAP VENTURES;MULESOFT INC.;US;7372 / 7374;Minority stake unknown %
