;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;72308;19.07.2000;SIEMENS VENTURE CAPITAL GMBH;ASERA INC.;US;7371 / 7372;Minority stake 10%
2.;1909087042;26.03.2014;SIEMENS VENTURE CAPITAL GMBH;LANZATECH INC.;US;2899;Minority stake unknown %
3.;191323;26.02.2002;SIEMENS VENTURE CAPITAL GMBH;AGILITY COMMUNICATIONS INC.;US;3661;Minority stake unknown %
4.;1941122225;16.08.2018;SIEMENS VENTURE CAPITAL GMBH;SILA NANOTECHNOLOGIES INC.;US;3691;Minority stake unknown %
5.;221643;27.09.2000;SIEMENS VENTURE CAPITAL GMBH;HYPERCHIP INC.;CA;3661 / 3663 / 3669;Minority stake unknown %
6.;1941094167;11.06.2018;SIEMENS VENTURE CAPITAL GMBH;OTCLAROTY LTD;IL;7371 / 7374;Minority stake unknown %
7.;185977;18.09.2000;SIEMENS VENTURE CAPITAL GMBH;NISHAN SYSTEMS INC.;US;3661 / 3663 / 3669 / 7371 / 7372;Minority stake unknown %
8.;1941047700;05.02.2018;SIEMENS VENTURE CAPITAL GMBH;FAIR FINANCIAL CORPORATION;US;7372 / 7374;Minority stake unknown %
9.;1909479057;30.08.2016;SIEMENS VENTURE CAPITAL GMBH;LOGRHYTHM INC.;US;7374;Minority stake unknown %
10.;399413;21.12.2005;SIEMENS VENTURE CAPITAL GMBH;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
11.;1601007114;04.08.2008;SIEMENS VENTURE CAPITAL GMBH;PLASTIC LOGIC LTD;GB;3672 / 3674 / 3679;Minority stake unknown %
12.;1601367729;07.05.2012;SIEMENS VENTURE CAPITAL GMBH;COULOMB TECHNOLOGIES INC.;US;4911;Minority stake unknown %
13.;75032;14.12.1999;SIEMENS VENTURE CAPITAL GMBH;ASERA INC.;US;7371 / 7372;Minority stake unknown %
14.;1601213037;13.03.2012;SIEMENS VENTURE CAPITAL GMBH;VIEWRAY INC.;US;3842 / 3845 / 7371 / 8731;Minority stake unknown %
15.;605882;11.12.2007;SIEMENS VENTURE CAPITAL GMBH;SENSORDYNAMICS AG;AT;3674;Minority stake unknown %
16.;1909400854;09.02.2016;SIEMENS VENTURE CAPITAL GMBH;SUNVERGE ENERGY INC.;US;7372 / 7374;Minority stake unknown %
17.;260340;01.07.2004;SIEMENS VENTURE CAPITAL GMBH;ZONARE MEDICAL SYSTEMS INC.;US;3845 / 8731;Minority stake unknown %
18.;180794;12.01.2000;SIEMENS VENTURE CAPITAL GMBH;EMWARE INC.;US;7371 / 7372;Minority stake unknown %
19.;431361;06.06.2006;SIEMENS VENTURE CAPITAL GMBH;SEQUENOM INC.;US;3826 / 3845 / 8731;Capital Increase unknown stake %
20.;1941140967;07.10.2018;SIEMENS VENTURE CAPITAL GMBH;VARJO TECHNOLOGIES OY;FI;3575;Minority stake unknown %
21.;1601282318;28.03.2012;SIEMENS VENTURE CAPITAL GMBH;SEMPRIUS INC.;US;3674 / 3679 / 8731;Minority stake unknown %
22.;1909650740;01.11.2017;SIEMENS VENTURE CAPITAL GMBH;MARKFORGED INC.;US;3559 / 7374;Minority stake unknown %
23.;1909425500;11.04.2016;SIEMENS VENTURE CAPITAL GMBH;STAT DIAGNOSTICA & INNOVATION SL;ES;3845 / 8731;Minority stake unknown %
24.;337342;21.04.2005;SIEMENS VENTURE CAPITAL GMBH;MOLECULAR INSIGHT PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
25.;1601021947;19.08.2008;SIEMENS VENTURE CAPITAL GMBH;BIOIMAGENE INC.;US;3845 / 5045 / 7371 / 8731;Minority stake unknown %
