;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941063291;09.04.2018;SR ONE LTD;CONSTELLATION PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
2.;1909398107;02.02.2016;SR ONE LTD;MISSION THERAPEUTICS LTD;GB;8731;Minority stake unknown %
3.;1909474366;16.08.2016;SR ONE LTD;TIOMA THERAPEUTICS INC.;US;8731;Minority stake unknown %
4.;1909231673;24.06.2016;SR ONE LTD;CRISPR THERAPEUTICS LTD;GB;8731;Minority stake unknown %
5.;228126;24.02.2004;SR ONE LTD;ALGORX PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
6.;1941092753;05.06.2018;SR ONE LTD;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
7.;1909263167;30.07.2015;SR ONE LTD;RANA THERAPEUTICS INC.;US;8731;Minority stake unknown %
8.;1909006096;01.08.2013;SR ONE LTD;DICERNA PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
9.;1909096336;29.04.2015;SR ONE LTD;CRISPR THERAPEUTICS LTD;GB;8731;Minority stake
10.;1941028150;18.01.2018;SR ONE LTD;PANDION THERAPEUTICS INC.;US;8731;Minority stake unknown %
11.;168509;15.07.2003;SR ONE LTD;SANTARUS INC.;US;2834 / 8731;Minority stake unknown %
12.;1941098990;19.06.2018;SR ONE LTD;DECIBEL THERAPEUTICS INC.;US;8731;Minority stake unknown %
13.;1941146909;12.10.2018;SR ONE LTD;GOTHAM THERAPEUTICS CORP;US;2834;Minority stake unknown %
14.;1909297506;15.10.2015;SR ONE LTD;DECIBEL THERAPEUTICS INC.;US;8731;Minority stake unknown %
15.;1909553040;08.03.2017;SR ONE LTD;SPERO THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
16.;1909456480;30.06.2016;SR ONE LTD;MORPHIC THERAPEUTICS;US;2834;Minority stake unknown %
17.;1909586010;01.06.2017;SR ONE LTD;BICYCLE THERAPEUTICS LTD;GB;8731;Minority stake unknown %
18.;432171;23.08.2006;SR ONE LTD;ABLYNX NV;BE;2834 / 8731;Minority stake unknown %
19.;164631;01.05.2003;SR ONE LTD;RIB-X PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
20.;1909096036;22.04.2014;SR ONE LTD;PRINCIPIA BIOPHARMA INC.;US;2834 / 8731;Minority stake unknown %
21.;452648;20.06.2006;SR ONE LTD;RIB-X PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
22.;237739;01.06.2004;SR ONE LTD;NUCLEONICS INC.;US;8731;Minority stake unknown %
23.;1909637296;04.10.2017;SR ONE LTD;PALLEON PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
24.;156213;17.03.2003;SR ONE LTD;HYPNION INC.;US;2834 / 8731;Minority stake unknown %
25.;1909582883;23.05.2017;SR ONE LTD;TP THERAPEUTICS INC.;US;8731;Minority stake unknown %
26.;1601476933;20.05.2013;SR ONE LTD;EFFECTOR THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
27.;1909211740;18.03.2015;SR ONE LTD;NIMBUS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
28.;1601192339;20.05.2010;SR ONE LTD;NEUROTHERAPEUTICS PHARMA INC.;US;8731;Minority stake unknown %
29.;281316;25.01.2005;SR ONE LTD;PREDIX PHARMACEUTICALS HOLDINGS INC.;US;2834 / 8731;Minority stake unknown %
