;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909567567;12.04.2017;SWISSCOM VENTURES AG;ACTILITY SA;FR;3679 / 7371 / 7372 / 7374;Minority stake unknown %
2.;1909043470;18.11.2013;SWISSCOM VENTURES AG;SIMPLIVITY CORPORATION;US;7374;Minority stake unknown %
3.;1941109232;16.07.2018;SWISSCOM VENTURES AG;FASTLY INC.;US;7374;Minority stake unknown %
4.;1601485919;11.03.2013;SWISSCOM VENTURES AG;ADAPTIVE SPECTRUM AND SIGNAL ALIGNMENT INC.;US;7371 / 7372 / 7373;Minority stake unknown %
5.;1909118479;25.06.2014;SWISSCOM VENTURES AG;PLUMGRID INC.;US;7371;Minority stake unknown %
6.;1909122638;08.07.2014;SWISSCOM VENTURES AG;SOPHIA GENETICS SA;CH;7372 / 7374;Minority stake unknown %
7.;1909086354;24.03.2014;SWISSCOM VENTURES AG;AMPLIDATA SA;BE;7371 / 7372;Minority stake unknown %
8.;1941062827;05.04.2018;SWISSCOM VENTURES AG;ARVIEM AG;CH;7371 / 7372;Minority stake unknown %
9.;1601485910;02.11.2009;SWISSCOM VENTURES AG;ADAPTIVE SPECTRUM AND SIGNAL ALIGNMENT INC.;US;7371 / 7372 / 7373;Minority stake unknown %
10.;1601130293;02.11.2009;SWISSCOM VENTURES AG;ASSIA INC.;US;7371;Minority stake unknown %
11.;1909509703;16.11.2016;SWISSCOM VENTURES AG;AVA AG;CH;3829;Minority stake unknown %
12.;1909585447;30.05.2017;SWISSCOM VENTURES AG;NETGUARDIANS SA;CH;7371 / 7372;Minority stake unknown %
13.;1601443689;05.02.2013;SWISSCOM VENTURES AG;PISTON CLOUD COMPUTING INC.;US;7371 / 7372 / 7374 / 8999;Minority stake unknown %
14.;1601347788;29.02.2012;SWISSCOM VENTURES AG;AMPLIDATA SA;BE;7371 / 7372;Minority stake unknown %
15.;1909547970;23.02.2017;SWISSCOM VENTURES AG;BEXIO AG;CH;7372 / 7374;Minority stake unknown %
16.;1601227290;16.09.2010;SWISSCOM VENTURES AG;AMPLIDATA SA;BE;7371 / 7372;Minority stake unknown %
17.;1601402405;12.09.2012;SWISSCOM VENTURES AG;AMPLIDATA SA;BE;7371 / 7372;Minority stake unknown %
18.;1909241463;21.05.2015;SWISSCOM VENTURES AG;OCTONION SA;CH;3823 / 7374;Minority stake unknown %
19.;1909280713;02.09.2015;SWISSCOM VENTURES AG;INSTABRIDGE AB;SE;7372 / 7374;Minority stake unknown %
20.;1941048895;27.02.2018;SWISSCOM VENTURES AG;BRING! LABS AG;CH;7372;Minority stake unknown %
21.;1601261414;07.04.2011;SWISSCOM VENTURES AG;ME2ME AG;CH;7371 / 7372;Minority stake unknown %
22.;1941062839;01.08.2013;SWISSCOM VENTURES AG;ARVIEM AG;CH;7371 / 7372;Minority stake unknown %
23.;1909135324;12.08.2014;SWISSCOM VENTURES AG;ADELLO AG;CH;7374;Minority stake unknown %
24.;1601192049;18.05.2010;SWISSCOM VENTURES AG;POKEN SA;CH;3575 / 3663 / 7371 / 7374;Minority stake unknown %
25.;1909016309;02.09.2013;SWISSCOM VENTURES AG;KEYLEMON SA;CH;7371;Minority stake unknown %
26.;1909492357;04.10.2016;SWISSCOM VENTURES AG;NANOLIVE SA;CH;3827 / 7372;Minority stake unknown %
27.;1601358867;03.04.2012;SWISSCOM VENTURES AG;MATRIXX SOFTWARE INC.;US;7374;Minority stake unknown %
28.;1909072765;14.02.2014;SWISSCOM VENTURES AG;LEMOPTIX SA;CH;3559 / 3564 / 3629 / 3674 / 3699 / 3861;Minority stake unknown %
29.;1909108760;28.05.2014;SWISSCOM VENTURES AG;MATRIXX SOFTWARE INC.;US;7374;Minority stake unknown %
30.;1909265142;27.07.2015;SWISSCOM VENTURES AG;COGNIA CLOUD LTD;GB;7372 / 7374;Minority stake unknown %
31.;1909402571;11.02.2016;SWISSCOM VENTURES AG;AKENES SA;CH;7374;Minority stake unknown %
32.;1909486952;16.09.2016;SWISSCOM VENTURES AG;MYCOSOLUTIONS AG;CH;0182 / 0851 / 5961 / 8731;Minority stake unknown %
33.;1941014484;15.12.2017;SWISSCOM VENTURES AG;PRICEHUBBLE AG;CH;7374;Minority stake unknown %
34.;1909141819;22.07.2014;SWISSCOM VENTURES AG;BEQOM SA;CH;7371;Minority stake unknown %
35.;1909259566;10.07.2015;SWISSCOM VENTURES AG;ACTLIGHT SA;CH;3674;Minority stake unknown %
