;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941030615;24.01.2018;SYNGENTA VENTURES;PRECISIONHAWK INC.;US;3721;Minority stake unknown %
2.;1909276084;20.08.2015;SYNGENTA VENTURES;AGBIOME LLC;US;8731;Minority stake unknown %
3.;1601275549;01.06.2011;SYNGENTA VENTURES;MARRONE BIO INNOVATIONS INC.;US;2879 / 8731;Minority stake unknown %
4.;1909247888;08.06.2015;SYNGENTA VENTURES;BRANDTONE HOLDINGS LTD;IE;7374;Minority stake unknown %
5.;1909060102;13.01.2014;SYNGENTA VENTURES;BRANDTONE LTD;IE;7374;Minority stake unknown %
6.;1909629877;13.09.2017;SYNGENTA VENTURES;GREENLIGHT BIOSCIENCES INC.;US;7374;Minority stake unknown %
7.;1909321629;16.12.2015;SYNGENTA VENTURES;BLUE RIVER TECHNOLOGY INC.;US;3523 / 7371 / 8731;Minority stake unknown %
8.;1909271902;11.08.2015;SYNGENTA VENTURES;ILLUMITEX INC.;US;3648;Minority stake unknown %
9.;1601401962;11.09.2012;SYNGENTA VENTURES;AGRIVIDA INC.;US;8731;Minority stake unknown %
10.;1601296144;29.08.2011;SYNGENTA VENTURES;METABOLON INC.;US;2835 / 8731;Minority stake unknown %
11.;1601076190;27.10.2009;SYNGENTA VENTURES;METABOLON INC.;US;2835 / 8731;Minority stake unknown %
12.;1909637118;28.09.2017;SYNGENTA VENTURES;PHYTECH LTD;IL;3823 / 7371 / 7372;Minority stake unknown %
13.;1909553616;02.03.2017;SYNGENTA VENTURES;BORAGEN INC.;US;8731;Minority stake unknown %
14.;1601392555;;SYNGENTA VENTURES;AGRINOS AS;NO;2873 / 8731;Minority stake 3.53%
15.;1601360096;10.04.2012;SYNGENTA VENTURES;ILLUMITEX INC.;US;3648;Minority stake unknown %
16.;1941063317;01.03.2018;SYNGENTA VENTURES;AGROFY SA;AR;7374;Minority stake unknown %
17.;1601310260;18.10.2011;SYNGENTA VENTURES;POPULATION GENETICS TECHNOLOGIES LTD;GB;8731;Minority stake unknown %
18.;1601313397;31.10.2011;SYNGENTA VENTURES;BIOGNOSYS AG;CH;3826 / 7371 / 8734;Minority stake unknown %
19.;1601210409;16.08.2010;SYNGENTA VENTURES;CHAMELIC LTD;GB;2899;Minority stake unknown %
20.;1601238647;;SYNGENTA VENTURES;AGRIVIDA INC.;US;8731;Capital Increase unknown stake %
21.;1909324936;28.12.2015;SYNGENTA VENTURES;PHYTECH LTD;IL;3823 / 7371 / 7372;Minority stake unknown %
